UniqueCount	AmbigCount
14	125
8	104
0	74
0	42
10	75
0	58
21	37
0	55
0	37
0	13
0	19
0	18
0	16
0	13
0	13
0	2
0	1
6	0
15	4044
2143	1903
11	2507
0	165
523	2145
14	1270
0	213
1	205
0	150
14	137
32	71
0	48
0	41
1	50
0	41
2	69
13	74
0	40
15	30
0	0
0	0
0	119
13	132
0	134
0	94
6	116
1	74
3	57
0	3
0	3
2	14
0	4
10	18
0	23
0	22
0	31
0	20
0	30
17	49
0	81
22	82
2	6
1	61
1	36
0	37
0	36
2	37
5	2550
25	1763
3	1475
1	364
1	377
10	2183
47	1810
2	87
0	87
0	134
16	136
27	90
0	44
0	44
0	26
0	85
1	60
0	52
5	27
0	27
0	8
2	1334
0	1362
0	1362
16	850
327	1359
44	59
14	102
0	60
0	84
0	69
4	95
0	103
2	135
0	422
61	337
350	338
62	380
0	293
1	296
0	92
70	59
7	117
0	115
0	35
0	11
5	11
0	3
5	44
0	10
0	313
0	256
33	304
0	250
19	192
0	1
2	1
0	19
0	17
3	21
0	17
7	15
2	9
0	2
0	2
2	2
1	5
0	8
7	30
6	25
1	157
0	137
0	150
0	126
1	88
16	0
32	31
0	55
0	48
0	45
0	16
1	4
0	300
0	285
8	323
6	370
14	116
1	3
7	13
0	77
0	39
0	36
0	40
0	23
0	19
12	183
0	107
7	139
24	82
5	25
0	643
197	865
6	123
3	58
23	255
0	27
77	151
3	122
168	179
1	275
0	240
21	233
0	235
4	123
0	145
1	7
2	11
0	14
0	10
0	7
0	0
0	184
0	89
13	199
0	0
0	0
0	0
339	2326
1	1555
108	622
273	1234
1	200
0	0
0	8
0	8
0	6
0	4
0	4
0	4
0	4
0	81
0	81
0	186
0	81
0	36
0	87
5	83
2	84
46	47
0	62
0	62
0	3
2	9
0	6
22	135
0	247
21	146
0	242
16	21
0	171
177	135
4	158
0	0
10	16
0	0
2	12
0	5
0	11
0	2
0	5
0	22
0	15
0	16
0	20
1	16
4	10
0	2
2	1
0	159
0	139
12	147
6	102
364	140
5	494
550	746
81	809
0	419
0	9
0	8
0	9
0	13
0	8
2	14
0	13
0	14
1	9
0	7
0	5
0	5
6	7
0	5
0	247
12	259
0	253
0	93
0	93
12	214
0	84
1	4
0	4
0	29
14	53
51	107
4	5
1	84
0	3
0	1
0	11
0	8
2	4
0	3
4	8
0	6
6	4
1	4
67	38
5	1
0	37
9	86
0	52
2	15
35	23
0	19
0	21
1	11
8	107
7	99
6	103
32	54
0	65
0	46
1	63
0	71
0	54
2	39
199	188
31	38
2	7
0	13
0	13
0	13
0	73
0	49
0	51
0	93
0	117
0	62
30	110
0	95
0	52
0	13
159	299
36	280
46	199
0	242
179	206
0	529
0	502
2	515
0	525
0	525
0	457
3	471
1	488
0	522
0	515
0	504
0	526
12	524
0	352
0	489
16	684
0	531
1	447
0	522
3	696
0	523
0	38
0	72
0	74
9	74
2	115
9	36
0	64
0	189
0	145
32	220
0	196
0	180
0	66
23	188
0	163
0	63
0	64
1	55
51	32
5	43
38	64
1	43
0	30
50	67
1	88
0	52
0	40
3	39
1	38
0	7
0	6
1	4
0	6
0	3
0	2
0	2
5	185
0	165
0	189
0	157
0	150
0	172
0	159
0	151
232	611
0	476
0	643
0	634
24	603
0	260
1	337
0	751
0	695
0	487
0	751
0	813
0	465
0	641
46	523
56	139
57	109
54	187
0	116
0	85
1	70
29	52
4	181
8	153
25	5
89	21
55	1463
62	1560
104	1502
0	1062
0	1043
0	0
0	0
0	0
49	22
2	10
8	83
2	7
4	40
0	5
7	2
0	22
2	151
11	16
2	19
39	9
3	43
0	7
13	36
0	36
0	6
23	88
0	15
0	15
0	56
0	48
0	54
0	46
0	43
0	35
0	12
0	14
0	8
0	14
0	12
0	19
0	19
5	18
0	22
0	16
0	12
0	6
0	6
167	5
0	6
0	6
0	6
0	3
0	6
0	24
0	24
0	24
81	36
4	29
0	307
0	165
2	28
0	28
2	33
0	3
0	47
2	73
0	31
98	41
0	22
0	22
0	223
0	201
14	203
0	188
0	137
0	154
0	108
16	87
47	73
0	72
0	69
0	87
0	50
0	60
0	60
0	46
0	48
0	14
1	28
70	55
6	18
0	26
17	7
178	126
3	65
0	69
0	53
0	46
6	40
2	73
1	66
13	70
2	15
0	14
0	17
0	19
0	8
0	5
21	71
0	132
0	17
0	17
0	17
0	13
7	9
0	11
2	11
21	448
6	26
0	31
0	22
1	138
0	246
0	158
0	149
4	249
6	264
6	155
60	108
0	150
12	207
0	227
16	219
0	210
12	198
0	16
0	22
0	15
0	16
0	17
0	16
0	15
1	18
8	25
0	20
2	43
0	63
0	37
1	63
0	33
0	20
0	28
20	12
4	134
9	279
119	125
0	21
0	26
0	26
0	20
0	20
0	5
0	8
0	6
9	120
0	61
1	57
4	51
12	4
1	2
0	12
0	32
2	24
1	21
0	21
0	19
2	13
0	21
0	13
0	3
0	17
3	14
8	23
0	8
3	66
2	51
0	45
0	58
0	45
0	50
0	45
0	53
0	44
0	1
0	232
0	218
157	204
17	227
0	153
0	241
0	240
0	60
0	56
0	18
0	18
17	36
0	30
0	11
64	263
0	442
0	173
83	130
0	83
0	37
0	3
9	436
0	354
1	367
0	275
0	366
13	268
0	0
0	0
4	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	235
3	265
0	231
14	127
0	34
0	40
1	38
0	40
0	40
0	40
0	40
0	36
0	39
0	40
0	36
0	44
0	47
0	44
2	37
3	39
3	19
0	15
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	4
0	2
0	14
0	7
0	14
0	7
2	3
5	21
0	11
0	11
0	30
0	30
0	30
22	119
0	54
0	301
0	301
7	310
0	301
0	234
82	185
0	0
0	80
5	125
0	64
0	77
0	124
0	0
27	13
0	14
30	0
1	25
0	72
0	103
0	72
0	58
1	58
3	80
0	66
0	58
0	58
1	3
0	0
0	0
7	52
0	52
0	54
5	22
14	17
0	6
0	1
0	5
1	6
1	5
0	4
34	36
0	10
0	48
0	94
0	87
0	91
0	87
0	87
0	81
0	77
0	49
0	77
0	32
0	77
0	21
12	137
0	139
0	46
0	40
2	48
0	48
0	24
1	21
25	54
0	33
0	31
0	23
13	3
7	81
0	49
3	54
0	33
35	50
0	59
0	65
0	52
0	50
0	50
0	44
0	41
1	6
0	0
55	104
21	34
0	0
10	91
4	55
0	55
0	1
0	0
0	0
0	2
0	3
0	3
0	2
1	2
0	2
44	69
0	68
3	57
3	9
0	1
0	4
0	5
0	3
0	3
0	26
15	23
6	27
0	22
2	12
0	20
0	18
0	19
0	8
0	78
0	46
1	12
0	8
0	21
0	24
0	19
3	23
0	13
0	56
0	37
0	2
6	7
0	15
0	7
69	35
0	145
0	145
0	75
0	109
0	110
0	143
75	207
3	163
0	110
1	148
0	111
0	110
1	111
0	13
1	13
0	12
0	2
28	1348
0	4
52	312
0	372
3	377
0	414
0	315
0	219
0	321
0	237
2	66
0	51
0	53
0	55
7	57
0	1
34	112
0	61
0	37
0	16
0	31
0	41
7	56
2	18
18	25
10	66
36	36
27	16
5	23
0	23
17	16
0	23
0	23
0	0
0	0
0	0
0	0
0	0
84	159
0	142
3	132
0	27
0	27
0	60
0	28
0	18
0	116
0	131
0	131
0	79
0	77
0	78
0	44
0	47
0	38
0	12
1	29
0	29
6	38
0	32
79	7
6	14
1	58
0	40
0	26
0	32
0	137
88	136
0	142
0	125
0	131
27	60
0	71
1	77
5	71
0	47
0	48
0	47
7	66
18	30
0	44
0	121
0	92
0	64
0	50
0	98
0	48
0	70
0	1
0	1
0	1
0	31
18	69
2	74
1	47
0	8
3	6
76	296
1	311
78	124
0	234
0	55
0	45
0	59
8	90
0	96
0	93
13	81
0	91
0	61
0	71
0	60
1	3
0	66
0	66
1	55
0	56
0	36
1	29
0	29
20	32
1	37
0	38
9	43
2	40
0	47
0	45
4	20
0	27
4	5
4	15
8	18
0	65
5	72
0	68
0	49
0	68
42	321
47	307
3	218
38	248
0	59
1	52
0	66
0	74
0	77
0	72
0	64
0	54
1	79
0	61
0	6
0	28
19	23
0	21
0	27
0	5
5	31
0	21
0	17
0	21
0	1
14	105
6	156
0	3
0	24
0	0
0	0
0	0
3	132
4	125
0	0
0	0
0	0
0	0
0	0
0	0
7	8
1	8
10	5
1	15
0	16
0	11
0	11
57	64
3	68
0	106
0	72
0	54
0	36
0	1
0	2
0	25
0	24
0	12
3	18
1	0
0	2
0	5
0	5
0	1
0	5
0	5
1	882
0	1009
0	615
189	437
4	32
1	24
2	20
0	10
14	34
0	23
0	8
7	10
121	48
18	88
0	0
0	9
0	20
8	11
7	209
96	101
0	209
0	0
0	0
0	0
0	0
0	0
0	7
0	8
0	47
0	7
3	153
4	173
4	149
0	145
0	148
27	187
0	93
0	96
0	51
0	48
0	26
0	16
0	20
2	35
0	1
0	1
0	1
0	27
12	7
4	27
13	63
5	57
0	43
0	49
3	41
0	13
0	7
0	0
0	0
0	0
1	44
0	44
9	45
0	110
0	1
0	1
0	0
0	0
0	1
0	1
0	21
0	9
0	13
0	17
10	14
0	3
14	30
0	0
0	2
0	0
0	15
2	3
0	107
8	152
0	129
0	58
21	62
0	59
0	61
0	48
0	1
0	1
0	1
0	0
0	29
0	18
0	14
0	21
1	570
3	787
0	812
0	807
0	827
1	506
0	24
0	7
0	12
0	12
1	1
1	7
0	23
0	10
3	16
0	19
0	11
9	166
0	197
3	182
0	192
4	186
0	193
8	13
1	34
0	12
0	0
0	0
3	193
1	126
216	193
0	1
0	39
0	45
7	50
0	56
0	20
0	7
1	4
0	6
0	2
0	2
20	586
1	467
0	280
22	415
0	317
0	159
0	17
0	11
0	90
0	62
1	91
0	88
16	46
0	16
0	16
0	31
0	26
4	30
7	6
0	5
0	8
0	8
0	7
0	18
0	22
25	8
0	2
5	35
10	8
2	7
2	9
0	35
0	0
0	4
0	3
2	6
0	1
1	123
0	126
1	111
0	109
11	78
0	77
0	31
61	219
0	0
2	2
0	5
60	44
1	24
4	16
0	21
0	27
0	1
15	54
0	45
0	39
0	45
0	39
0	39
4	1
17	117
85	116
0	59
0	56
1	55
0	51
27	27
1	27
0	50
1	39
0	80
0	63
11	36
0	33
1	35
1	31
3	63
0	5
0	25
1	26
0	89
8	96
1	87
0	81
0	70
30	73
0	65
0	59
0	5
0	1
0	0
0	1
0	46
0	22
0	264
0	261
13	264
2	188
0	113
0	6
0	39
7	50
0	29
0	12
34	38
0	74
11	51
90	37
0	26
0	31
6	32
0	23
4	21
0	18
0	24
0	11
0	37
1	19
1	20
0	16
0	31
0	15
28	82
4	83
0	25
0	28
0	5
0	108
0	118
0	107
0	49
0	14
19	14
26	98
0	107
6	101
16	80
0	95
0	12
2	12
5	12
0	12
0	10
0	10
0	11
0	12
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	4
0	19
3	19
0	17
0	13
0	15
4	15
11	57
3	46
0	40
2	7
1	0
0	46
11	45
0	46
0	46
1	94
7	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	3
0	9
0	1
0	4
4	183
0	20
4	36
0	26
0	18
0	18
46	16
22	12
0	14
0	12
0	10
37	240
9	42
0	107
19	41
0	0
0	27
0	12
3	14
0	9
0	2
0	2
0	1
0	2
0	1
0	2
0	2
0	2
0	2
0	2
0	0
0	1
0	1
0	1
0	0
0	3
0	1
6	11
0	0
0	177
0	184
5	148
0	186
70	26
0	23
0	15
0	15
0	0
1	467
5	743
2	14
0	45
5	53
0	24
0	24
0	26
4	4
0	1467
0	1108
307	1138
5	84
0	96
16	46
0	0
0	2
0	0
0	1
0	4
0	0
0	3
0	0
0	2
0	0
0	1
0	31
2	18
0	33
0	31
0	27
0	5
32	601
3	548
40	713
0	553
0	458
0	435
1	24
0	26
9	118
0	78
0	86
0	82
2	90
1	21
0	41
0	32
0	32
0	1
3	5
1	87
0	63
1	48
0	73
0	54
0	53
2	3
2	42
0	37
2	43
2	41
0	37
0	24
0	63
0	64
0	35
19	19
0	117
1	125
0	133
0	1
0	1
26	46
0	47
20	467
23	507
20	302
66	91
56	24
0	6
0	20
0	15
0	14
0	13
0	11
0	11
0	37
2	372
1	218
42	210
0	125
5	124
43	87
0	66
0	49
1	72
0	40
1	42
0	39
0	37
0	7
0	117
0	88
0	108
0	88
0	102
0	81
0	76
167	126
0	135
53	126
0	109
0	136
0	191
0	70
0	179
0	177
0	100
0	160
0	177
130	120
0	191
0	181
0	210
0	153
0	123
0	94
21	94
0	61
0	45
0	100
3	8
7	29
5	23
1	19
28	29
19	178
0	1
0	1
16	72
0	42
0	68
0	29
0	70
0	84
5	79
8	77
0	67
0	78
0	56
2	50
3	54
5	329
0	524
219	356
0	207
0	212
26	174
0	40
0	41
1	43
0	41
1	17
5	19
29	109
110	112
0	73
36	68
0	54
69	54
6	51
56	83
0	83
0	71
0	63
0	52
8	17
0	88
0	103
0	106
5	105
27	86
0	34
0	409
0	0
1	10
0	14
0	8
0	3
10	35
4	47
0	13
21	29
0	18
0	29
4	17
0	118
0	276
0	338
0	385
0	394
1	394
0	196
8	698
0	498
0	515
34	742
21	670
8	6
0	0
41	10
0	16
0	16
18	40
0	532
0	532
12	516
0	153
0	108
0	0
0	0
0	0
1	16
3	16
0	8
2	7
1	4
4	68
1	59
6	36
0	56
0	59
0	34
0	79
18	78
0	76
7	105
15	69
0	55
11	97
0	76
0	97
15	30
0	24
2	21
0	19
0	50
4	40
34	19
0	23
23	24
0	207
0	128
1	163
0	173
0	130
1	150
0	134
0	124
3	38
1	1
0	0
0	0
0	3
0	2
0	4
0	3
0	2
0	191
0	74
0	111
20	10
0	14
0	17
0	11
0	8
298	739
0	50
0	49
0	49
0	33
6	2
0	10
0	15
0	141
0	154
0	129
0	158
0	158
0	133
0	128
0	147
0	23
0	23
0	16
1	1
0	4
52	96
0	109
0	45
0	164
11	130
0	133
6	105
0	110
0	148
0	143
0	19
0	65
0	75
0	65
0	111
0	111
2	106
0	130
0	45
9	235
8	224
1	194
0	200
2	192
0	149
0	6
0	5
2	11
0	11
0	9
0	8
0	8
0	8
0	9
12	151
0	176
9	151
0	163
0	32
0	168
0	40
