UniqueCount	AmbigCount
16	149
11	122
0	84
0	39
10	81
0	174
64	95
1	155
0	110
0	15
0	22
0	15
0	21
0	15
0	15
0	5
1	1
0	1
1577	6300
3491	4037
7	4570
1	183
1041	3890
16	1925
0	197
0	191
0	151
9	102
40	54
1	40
0	37
5	43
1	38
5	83
22	91
2	56
17	25
0	0
0	0
0	203
16	236
2	222
0	164
4	186
3	120
11	85
0	0
0	0
0	7
0	1
13	12
0	32
0	39
0	42
0	37
0	41
14	52
0	99
25	103
8	9
0	80
1	68
2	73
0	68
1	71
11	3997
44	2672
4	2082
3	456
1	471
16	3267
49	2787
1	86
0	87
0	96
9	98
12	68
0	34
0	34
0	21
0	59
0	38
0	33
9	37
0	37
0	14
3	1343
1	1597
0	1597
24	1038
336	1402
39	60
23	112
0	61
0	69
0	65
0	88
0	94
1	147
0	495
57	343
382	347
104	387
0	314
1	337
0	108
38	56
8	122
0	118
1	21
0	15
5	14
0	3
5	64
4	6
1	335
0	262
43	316
0	254
22	204
0	4
4	4
5	87
0	84
7	96
0	85
21	83
9	26
0	5
0	5
0	2
0	3
1	5
11	32
3	17
1	140
0	123
0	129
0	109
1	84
20	7
32	39
2	89
1	81
0	75
4	41
0	2
9	437
0	411
16	447
24	533
23	186
0	0
0	16
0	81
0	27
0	30
1	29
0	21
0	19
3	150
0	78
1	110
36	66
2	29
0	1157
327	1604
5	154
5	77
24	301
1	31
55	142
1	113
337	383
2	551
0	456
35	488
0	484
9	237
0	304
0	17
4	10
0	25
0	12
0	11
1	2
0	190
0	74
25	205
0	0
0	0
0	0
376	2257
4	1588
9	738
289	1222
0	117
0	0
1	3
0	5
0	4
0	4
0	3
1	1
0	2
0	50
0	51
0	91
0	56
0	24
0	113
3	106
0	112
44	63
0	89
0	88
0	3
0	16
0	12
49	150
1	247
43	180
2	267
15	21
0	200
194	153
3	177
0	0
7	24
0	6
1	9
1	3
0	5
0	2
0	3
0	47
0	40
0	44
0	22
7	33
16	13
0	1
0	1
0	233
0	204
15	221
3	155
317	106
10	440
540	773
58	749
0	404
0	10
0	10
0	10
0	13
0	7
0	11
0	13
0	14
0	0
0	0
0	6
0	6
10	12
1	9
0	217
23	224
0	224
0	83
1	83
4	185
0	73
1	3
0	2
1	33
20	49
121	264
2	15
1	189
0	1
0	1
0	21
0	20
1	4
0	1
1	17
0	11
5	14
0	8
51	35
0	1
0	37
10	79
0	35
4	14
26	34
0	28
1	31
1	10
0	90
11	92
4	94
45	70
0	90
0	55
2	76
3	97
0	66
2	56
173	328
33	22
2	4
0	8
0	8
5	8
0	78
0	47
4	53
0	133
0	143
0	109
24	157
0	110
1	50
0	15
124	223
68	259
56	204
0	237
173	225
0	763
0	711
2	720
0	742
0	742
0	660
1	685
1	713
5	753
0	729
0	738
0	740
12	751
0	494
0	701
24	966
0	751
0	661
0	732
18	981
0	739
1	82
0	144
0	147
8	146
13	229
19	74
0	114
0	358
0	306
71	431
0	364
0	339
0	137
69	347
0	328
0	66
0	69
0	59
57	36
10	50
18	39
0	15
0	30
50	82
1	120
1	73
0	35
1	40
0	42
0	8
0	8
0	7
0	3
0	1
0	1
0	1
4	72
0	69
2	81
0	68
1	63
0	70
0	70
0	65
241	637
0	514
0	690
0	689
61	674
0	277
2	315
0	836
0	776
0	524
0	837
0	894
0	488
0	689
39	537
58	196
80	168
55	204
0	111
0	79
7	75
26	49
1	206
4	162
22	6
44	18
71	1598
64	1799
91	1720
0	1192
0	1185
0	0
0	0
0	0
41	39
0	13
16	126
1	12
18	73
0	5
18	5
0	46
0	120
7	38
2	29
59	19
4	51
0	12
16	38
0	38
0	4
13	106
0	28
0	35
0	79
1	62
0	76
1	54
4	67
0	41
1	43
0	51
0	29
0	45
0	22
0	56
0	51
19	58
0	68
0	48
0	43
0	21
0	19
205	24
0	21
0	21
0	21
0	23
0	19
0	42
0	42
0	42
105	51
10	34
0	452
1	307
0	44
0	44
2	45
0	7
0	71
1	83
0	29
112	37
0	37
0	37
0	211
0	196
15	253
0	246
0	127
0	201
0	100
18	102
52	76
3	75
0	88
0	121
0	66
0	86
0	86
0	38
0	39
0	15
0	25
147	83
11	31
0	67
51	40
238	219
5	82
0	83
0	60
0	62
5	48
5	63
6	54
2	58
2	31
0	31
1	35
1	39
0	6
0	5
13	62
0	154
0	15
0	15
3	16
2	14
3	7
0	11
1	7
37	581
6	34
0	44
0	33
0	180
0	323
0	216
0	199
5	340
5	350
10	218
52	128
0	208
25	374
0	261
17	270
0	262
16	259
0	8
1	11
0	9
1	11
0	11
0	9
0	9
2	10
14	36
0	46
17	60
0	152
0	62
0	152
0	78
2	37
0	28
36	27
3	184
22	366
120	180
0	26
1	30
0	30
0	24
0	23
0	2
0	2
0	2
5	157
0	86
0	66
3	67
14	4
0	6
2	21
0	64
2	53
1	44
0	43
0	43
1	22
0	43
1	21
1	2
0	16
1	14
2	14
0	9
7	95
0	49
0	37
0	57
0	36
0	52
0	36
0	49
1	28
1	2
0	131
0	121
57	115
13	128
0	83
0	138
0	136
1	97
0	92
0	39
0	40
19	68
0	53
0	19
96	309
0	587
0	218
74	171
0	56
0	26
0	6
24	664
0	541
0	589
0	408
0	588
13	412
0	0
0	0
5	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	474
3	577
0	475
36	284
0	67
2	75
0	68
0	75
0	75
0	75
0	75
0	68
0	39
0	45
0	40
0	45
0	45
0	45
0	39
10	32
3	17
1	21
0	1
0	2
0	2
0	2
0	1
0	1
0	1
2	4
0	1
0	20
0	14
0	20
0	13
0	9
7	33
0	15
