UniqueCount	AmbigCount
11	170
5	137
0	87
0	51
7	92
15	175
53	103
7	164
0	130
0	26
2	33
0	29
2	32
0	16
0	16
0	1
0	0
4	1
42	7881
3975	3249
7	5235
1	281
14	3090
65	1473
0	175
0	164
0	131
18	162
49	118
0	88
0	69
3	85
0	69
7	78
20	91
0	57
12	5
0	0
0	0
6	327
19	376
1	364
0	271
0	346
7	166
10	143
0	3
0	3
1	7
0	2
21	35
1	50
0	49
0	60
0	45
4	64
11	68
0	131
23	106
1	1
1	66
1	30
0	30
0	30
2	29
10	4756
36	3716
6	2443
1	662
1	725
14	3833
121	3685
16	57
2	57
0	101
13	114
24	100
0	39
0	40
0	30
0	163
4	103
1	87
16	74
0	74
0	27
1	2418
1	2839
0	2839
8	1610
658	2214
86	25
41	128
0	49
0	60
0	58
2	87
2	95
3	172
0	447
64	286
433	291
97	341
0	285
2	286
0	85
57	79
15	168
0	164
9	43
0	17
6	17
0	9
13	42
8	28
1	393
0	273
53	386
0	283
19	212
0	4
10	4
9	121
0	117
0	128
0	116
26	120
17	37
0	19
0	13
6	11
1	1
1	5
15	57
3	22
5	153
0	141
0	172
0	150
0	78
8	8
26	55
0	75
0	75
0	63
12	28
1	1
32	588
0	591
7	542
21	677
37	215
0	0
0	18
0	159
0	85
0	75
2	88
0	44
0	37
7	127
0	79
7	97
22	58
10	31
0	865
390	993
6	125
4	66
72	118
3	29
29	141
1	121
176	142
0	214
1	190
0	203
0	182
0	108
0	111
0	11
0	16
0	36
0	19
0	13
1	0
0	95
0	52
14	102
0	1
0	1
0	1
1030	4712
84	2620
0	1440
696	3415
0	245
0	1
0	4
0	4
2	2
0	0
0	0
0	0
0	0
0	79
0	83
0	110
0	82
0	45
0	133
10	126
0	132
62	77
0	102
0	102
0	6
0	12
1	6
44	131
0	188
29	154
5	235
4	23
2	233
196	163
1	227
0	1
16	37
0	7
4	28
0	16
0	4
0	9
0	18
0	24
0	24
0	19
0	17
8	58
3	20
0	5
1	1
0	211
0	187
11	190
19	128
551	157
0	776
978	1103
195	1160
1	622
0	12
0	13
0	12
0	15
0	9
1	15
0	15
0	16
3	9
0	7
0	8
0	8
6	8
0	7
0	263
24	271
0	279
0	101
0	101
30	236
0	53
1	7
0	2
4	32
23	24
134	411
8	74
5	317
0	2
0	2
0	33
0	27
3	12
0	10
6	23
0	13
6	5
0	13
140	68
1	1
0	93
15	96
0	88
13	22
16	30
0	24
1	25
0	7
6	106
10	103
1	101
26	113
0	139
0	100
0	132
4	141
0	114
4	103
227	255
36	29
3	8
0	11
0	11
1	11
0	69
0	37
4	42
0	158
1	175
0	107
44	173
0	138
2	53
1	10
68	197
32	179
20	93
0	168
225	132
0	721
0	671
2	686
0	707
0	707
0	628
1	584
9	653
0	690
0	684
0	633
0	695
19	723
0	492
0	655
23	928
0	712
0	533
0	697
6	919
0	693
0	61
0	93
0	101
14	103
5	145
12	49
0	71
0	323
0	191
51	380
1	323
0	301
0	96
0	251
0	283
0	92
0	102
1	62
39	34
2	55
29	46
2	62
0	31
79	44
4	65
0	42
0	23
1	24
2	27
1	18
0	14
0	9
0	10
0	4
0	4
0	3
6	234
0	214
7	253
0	216
0	205
0	214
0	202
0	206
272	683
0	465
0	604
0	610
70	633
0	216
0	414
0	819
0	664
0	488
0	820
0	877
0	468
0	603
59	477
34	140
62	129
73	293
0	163
0	127
4	81
34	117
7	304
10	252
39	10
85	13
56	1187
26	1293
162	1201
2	803
0	798
0	1
0	0
0	3
103	60
0	23
23	130
0	8
12	34
0	5
5	3
0	27
2	192
13	25
3	23
53	10
7	57
0	5
15	39
0	39
0	7
22	127
1	19
