UniqueCount	AmbigCount
12	205
18	173
0	102
0	57
14	108
11	221
59	139
0	199
0	154
0	13
2	16
0	12
1	15
0	5
0	5
0	0
1	0
1	0
14	6836
3936	2399
2	4735
1	177
8	2783
38	1077
0	158
0	148
0	116
10	80
27	52
0	30
0	24
0	34
0	24
3	123
42	142
5	83
63	28
0	0
0	0
1	216
16	247
0	244
0	184
0	233
1	123
3	99
0	2
0	2
0	12
0	2
25	21
0	43
2	51
0	48
0	45
3	50
9	76
0	124
8	105
7	16
1	153
5	81
1	90
0	81
8	89
6	5775
23	3885
5	3027
2	751
0	818
28	4796
71	4492
31	55
0	54
0	792
182	901
157	842
0	326
0	326
0	228
0	178
4	109
1	102
16	29
0	29
0	14
1	1751
1	2089
0	2089
8	1117
422	1598
43	13
36	118
0	79
0	86
0	83
0	107
1	114
4	155
0	1021
174	669
807	675
169	740
0	593
3	680
0	171
68	82
12	159
0	152
7	54
0	22
7	24
0	8
16	55
13	69
1	329
0	248
34	338
0	255
23	177
0	1
1	1
4	37
0	36
0	37
0	36
8	34
2	10
0	33
0	26
19	13
3	5
1	8
9	44
11	44
4	166
0	152
0	172
0	145
0	94
27	10
53	75
4	190
0	191
0	168
17	26
0	4
18	378
0	377
14	338
11	424
19	121
0	0
0	30
0	144
0	76
0	65
2	79
0	37
0	34
0	89
0	48
5	78
30	51
8	36
0	1328
535	1597
3	41
0	29
138	180
1	36
60	139
1	115
505	382
1	569
4	517
1	565
0	487
7	295
0	273
0	3
0	44
1	81
0	49
0	21
0	1
0	208
0	75
26	225
0	5
0	5
0	5
889	5379
78	3136
2	1819
556	3649
0	364
0	0
0	3
0	5
0	4
0	5
0	3
0	3
0	5
0	65
0	68
0	176
0	71
0	40
0	186
1	165
1	175
92	108
0	146
0	146
10	9
1	19
0	14
96	256
1	318
65	325
0	378
8	13
2	171
134	132
4	249
0	1
6	17
0	4
5	55
1	28
0	20
0	8
1	30
0	59
0	59
0	57
0	32
4	60
6	18
0	3
1	0
0	119
0	103
6	107
11	72
513	136
5	627
931	971
148	951
0	480
0	4
0	6
0	4
0	10
0	2
2	10
0	10
0	9
1	12
0	10
0	9
0	9
6	4
2	4
0	247
15	254
0	258
0	106
0	106
14	228
0	64
3	10
1	7
4	35
7	2
74	234
3	33
6	157
0	3
0	2
0	19
0	14
3	7
1	5
10	14
0	5
4	3
0	5
33	43
2	1
0	121
5	64
1	331
69	80
83	137
0	117
23	122
1	32
7	116
1	115
0	110
11	51
0	62
0	38
0	61
2	62
0	50
0	34
335	309
32	31
4	8
0	18
0	18
11	18
0	77
0	58
7	64
0	181
1	157
0	140
50	200
0	121
0	34
0	13
167	312
57	211
51	119
0	187
206	151
0	623
0	562
1	591
0	603
0	604
0	530
3	494
3	522
0	597
0	587
0	544
0	598
26	614
0	436
0	549
12	859
0	605
0	463
0	599
11	848
0	594
0	86
0	179
0	196
12	200
12	266
19	88
0	139
0	407
0	267
41	560
0	408
0	395
0	156
0	339
0	383
0	92
0	98
0	73
43	34
5	66
170	292
0	22
0	62
63	52
1	90
0	59
0	23
0	20
0	22
1	4
0	2
1	1
0	3
0	133
0	130
0	100
36	814
0	587
4	691
0	589
1	542
0	554
0	555
0	548
632	1529
1	1187
0	1381
0	1440
153	1328
0	561
2	854
0	1791
0	1546
0	1228
0	1791
2	1918
0	1164
0	1384
111	1001
61	177
132	160
60	277
0	175
0	131
4	64
23	133
3	152
9	124
27	6
123	35
141	2697
44	2887
369	2716
0	1922
2	1856
1	4
0	0
0	871
65	53
4	30
48	240
1	7
6	34
0	4
26	6
0	78
0	154
21	64
8	56
113	30
8	67
0	9
19	36
0	36
0	3
45	164
0	21
0	27
0	28
0	25
0	29
0	25
0	24
0	19
0	97
0	116
0	60
0	102
0	72
0	134
0	134
22	152
6	154
0	107
0	94
0	29
0	31
12	42
0	31
0	29
0	31
0	41
0	27
