UniqueCount	AmbigCount
31	347
24	285
0	212
0	108
35	215
14	289
95	165
1	255
0	192
0	29
1	42
0	38
0	40
0	24
0	25
0	8
0	2
6	2
23	14365
9565	5981
8	11195
3	414
21	6779
94	2633
0	476
0	461
0	352
34	309
79	160
1	145
0	116
4	144
0	116
14	173
61	195
2	133
218	70
0	1
0	0
8	423
39	465
3	482
0	370
0	450
5	260
33	223
0	9
0	9
0	15
2	10
38	56
1	88
0	99
1	102
0	89
7	104
14	159
0	240
25	221
4	16
2	154
4	98
1	104
0	98
5	102
19	10289
134	6983
9	5153
3	1666
0	1732
38	8828
164	8194
33	150
0	152
0	339
63	376
76	351
0	134
0	137
0	96
0	385
8	252
4	231
48	97
0	97
1	50
2	4258
2	5039
0	5039
21	2853
973	4151
122	47
100	353
0	172
0	164
0	191
7	228
1	243
7	459
2	1043
207	717
690	727
138	775
0	668
1	722
0	191
104	144
25	296
0	288
4	94
0	41
11	42
0	29
27	110
16	62
1	710
0	553
71	721
0	570
31	413
0	5
2	3
15	172
0	170
1	186
0	169
26	170
17	40
0	29
0	34
15	13
0	6
4	19
14	100
5	57
5	274
0	251
0	305
0	251
0	179
16	7
54	103
5	199
2	178
0	162
19	49
1	13
38	796
0	796
16	693
21	922
35	307
2	0
1	52
0	240
0	129
0	124
5	135
0	82
0	70
20	195
0	137
12	158
36	110
11	62
0	2210
676	2518
18	291
5	174
229	284
0	70
96	186
2	156
451	316
1	466
3	424
0	462
0	390
15	266
0	207
0	23
0	32
2	54
1	35
0	14
0	0
1	287
0	115
45	329
0	19
0	19
0	19
1488	9795
207	6066
4	3487
843	6474
1	588
0	0
1	9
0	18
5	14
0	7
0	4
0	4
0	7
0	289
0	303
0	287
0	307
0	167
0	361
12	341
0	363
194	205
0	284
0	284
0	12
1	41
0	31
133	416
0	541
111	561
5	622
13	103
1	384
391	279
10	350
0	4
5	18
1	2
6	32
0	16
0	8
1	10
0	16
0	43
0	43
0	42
0	16
12	78
18	28
0	12
3	8
1	465
0	401
30	422
38	326
1141	292
2	1455
1818	2179
271	2306
0	1242
0	16
0	14
0	16
0	17
0	14
1	18
0	17
0	21
3	9
0	8
0	7
0	7
17	9
1	8
0	683
30	677
0	717
0	317
0	317
38	594
0	191
2	12
1	6
3	92
37	58
190	792
3	110
13	608
0	3
0	3
0	11
0	10
2	2
0	2
3	9
0	39
5	21
0	35
40	44
0	1
0	204
20	187
1	130
35	32
39	68
0	58
4	58
1	20
8	231
7	223
1	223
48	173
0	215
0	120
3	200
5	221
0	168
2	132
595	570
43	67
12	22
0	29
0	29
6	29
0	154
0	104
8	121
0	277
4	274
0	197
63	299
0	228
2	86
0	25
448	700
102	392
87	308
0	348
470	360
0	1222
0	1084
2	1138
0	1194
0	1197
0	1007
9	1018
3	1103
0	1159
0	1149
0	1114
0	1169
41	1194
0	761
0	1060
38	1564
0	1197
0	908
0	1159
25	1541
0	1184
0	133
0	227
0	223
11	224
12	327
18	144
0	156
0	552
0	400
64	700
0	554
0	538
0	235
0	487
0	521
0	259
0	267
0	214
155	124
30	209
101	160
2	97
0	90
145	130
2	179
1	116
0	57
4	60
1	62
1	18
0	9
0	8
0	6
0	6
0	6
0	11
22	919
0	900
2	1032
2	869
1	840
0	859
0	847
0	848
737	1779
0	1379
0	1661
0	1722
155	1563
0	625
6	1053
0	2197
0	1828
0	1444
0	2197
0	2310
0	1391
0	1661
76	1292
34	139
59	130
47	501
0	377
0	286
2	139
36	156
29	587
33	481
70	8
192	40
139	2591
46	2702
298	2555
0	1794
0	1769
0	2
0	0
0	2
128	89
1	38
46	249
0	20
19	68
0	11
6	13
0	56
1	115
11	46
7	39
85	26
8	45
0	19
48	105
0	105
0	14
74	292
2	53
0	75
0	207
0	155
0	212
1	132
0	135
0	122
0	136
0	170
0	95
0	164
0	104
0	206
0	204
29	217
9	241
0	169
0	135
0	54
0	59
11	60
0	60
