UniqueCount	AmbigCount
10	32
0	0
12	78
0	73
0	71
3	32
0	0
0	5
0	5
0	4576
0	2949
0	3982
155	132
1255	1848
777	3942
2	243
0	1320
0	1326
0	382
0	1104
0	376
0	1098
10	249
0	700
0	7
18	0
60	0
0	0
0	2
0	2
0	2
1	0
0	27
0	683
0	652
0	90
0	666
0	25
0	672
0	673
0	641
0	651
0	1
8	8
10	471
1	362
2	489
0	312
0	309
0	310
0	6
0	312
0	306
0	121
0	308
0	294
0	19
15	117
1	117
38	426
2	489
0	502
2	503
1	80
4	561
0	443
7	100
0	391
12	236
0	215
0	244
1	270
0	142
0	310
0	457
0	27
0	27
0	2
166	0
1	2
0	2
0	0
0	23
0	94
1	88
0	0
1	4
0	92
0	59
2	0
0	0
0	0
35	81
0	81
0	81
0	0
324	54
0	8
272	33
0	5
0	4
0	13
0	678
1	678
0	759
0	24
2	552
0	713
1	2
0	1
0	2
0	138
1	142
0	73
0	149
0	144
0	68
0	262
0	414
0	387
0	59
0	428
0	373
0	255
0	393
0	401
0	276
0	337
0	290
1	366
7	0
0	18
0	7
3	34
3	34
12	0
35	1
0	1
0	12
0	12
178	0
0	0
0	0
0	0
0	0
1	463
0	490
5	57
0	105
0	29
12	385
0	204
0	35
8	0
0	4
1	4
0	0
0	0
1	0
0	0
11	79
0	31
8	79
1	0
2	25
19	0
0	0
5	176
8	176
3	0
2	0
8	2
5	1
13	5
2	0
8	1
0	4
2	5
5	2
6	0
16	0
4	7
0	0
0	6
0	5
0	0
0	2
5	4
11	17
0	8
23	18
0	480
1	388
5	110
23	910
0	426
0	373
0	626
0	630
0	422
4	528
0	461
0	913
2	54
0	54
0	917
12	527
0	119
0	752
0	1392
0	247
0	1556
0	1014
0	1050
0	57
0	6
1	144
0	139
0	41
0	3
9	106
0	5
1	45
0	22
0	154
0	161
0	150
0	38
0	165
3	0
0	0
0	279
34	318
0	303
3	383
1	482
0	216
4	402
0	51
18	160
73	160
2	0
0	155
1	2
0	140
0	111
0	6
0	183
19	0
0	23
0	123
2	130
0	0
3	5
8	10
1	190
16	0
3	0
0	0
0	365
0	363
0	253
0	253
0	3
0	379
0	381
0	381
39	0
0	63
4	100
0	130
1	124
0	0
0	116
0	0
0	116
9	94
0	0
1	47
3	32
0	4
0	32
0	0
4	4
1	14
0	10
0	0
631	629
23	3345
11	3013
1	3520
0	3622
2	71
52	2617
2	3401
2	10
259	10
5	31
0	29
0	29
0	13
0	151
0	30
22	0
2	131
0	149
0	150
0	130
0	150
31	390
1	307
5	390
1	0
0	77
0	115
6	153
1	120
0	158
0	11
0	115
0	148
0	0
5	2
0	0
0	2
0	19
8	19
1	15
0	11
0	14
0	8
0	9
6	274
23	274
1	51
0	0
24	0
0	0
0	0
1	0
0	0
0	250
0	233
0	246
0	245
0	2
0	254
0	164
0	173
0	237
0	161
0	185
0	3
0	230
0	242
0	234
0	273
1	213
6	218
0	240
0	283
2	181
21	3
23	372
83	0
0	0
0	0
1	0
0	1200
3	557
0	1188
8	1004
0	1067
0	1079
0	76
2	52
0	52
4	0
1	0
3	209
5	207
0	235
1	207
0	221
0	625
1	384
0	139
6	170
0	883
1	735
2	76
0	632
0	876
112	666
3	1
3	0
16	0
0	1
1	0
0	0
0	2
0	0
13	0
6	2
4	0
0	826
0	0
0	876
1	1530
3	1366
0	119
0	335
3	216
0	308
1	197
0	92
64	1
0	0
0	0
79	0
3	0
0	393
3	191
0	104
0	301
0	156
0	363
0	159
3	339
7	349
69	12
3	12
2	0
2	0
0	4001
0	4001
25	3861
1	0
0	0
0	12
9	223
1	239
1	39
0	50
4	0
0	44
0	46
1	0
11	0
0	229
0	388
1	11
0	586
0	67
1	34
0	296
3	684
9	581
1	751
0	653
7	195
0	161
5	7
0	241
0	192
1	203
0	0
0	233
0	205
1	152
0	198
0	0
0	199
0	27
0	247
0	239
0	206
0	58
0	81
0	215
0	244
0	224
0	232
0	208
0	18
0	210
0	222
0	234
0	242
0	220
0	0
0	0
0	0
5	106
0	11
0	315
0	345
2	209
0	328
2	194
0	173
0	158
0	358
1	0
1	60
0	145
0	11
2	169
3	303
0	3
0	0
0	0
2	0
0	0
0	53
0	49
0	35
3	0
0	16
33	181
4	57
0	124
0	0
0	0
1	0
5	0
0	0
3	190
2	60
1	110
7	162
0	438
3	258
21	544
8	241
1	14
7	25
0	27
0	246
0	219
0	245
0	231
2	241
0	236
0	229
7	53
0	240
0	77
0	227
0	254
0	123
124	123
27	40
14	83
0	704
0	705
2	689
0	417
3	23
0	710
1	703
2	107
0	109
0	22
0	27
0	76
0	19
0	119
6	88
0	60
0	75
2	96
0	1
0	79
2	85
26	47
2	1
0	2
1	16
3	0
3	15
0	15
0	0
0	0
60	433
14	433
