UniqueCount	AmbigCount
36	130
4	0
46	233
0	197
1	193
6	94
8	1
4	41
0	41
7	44977
4	29991
1	27428
6174	10210
17575	26049
4201	26874
31	3278
0	17538
0	17615
0	5394
0	17122
0	5317
0	17045
60	3283
0	9141
11	46
57	0
667	0
0	0
0	3
12	3
0	3
15	0
0	193
0	3051
0	3022
0	506
0	3056
0	160
0	3044
0	3037
0	3015
0	3029
1	5
20	72
106	5966
15	4767
13	6052
0	1454
2	1442
0	1459
0	29
0	1318
0	1454
6	691
0	1449
0	1431
3	343
139	1803
77	1803
222	2432
11	2765
0	2836
7	2824
24	472
13	3234
0	2417
71	570
0	3325
121	2143
0	1976
0	1906
9	2345
2	1203
0	1804
0	3223
0	267
2	267
0	1
721	0
1	15
0	15
3	0
8	334
0	1204
9	1086
0	24
2	30
3	1154
5	756
1	0
10	0
0	0
548	1342
0	1342
5	1340
1	0
3255	570
5	94
2542	290
0	14
0	12
2	186
1	5730
20	5730
4	11414
2	734
23	8375
3	10620
16	36
0	27
0	36
0	786
2	873
0	409
0	881
0	795
0	323
0	1088
0	1830
0	1472
4	164
0	1856
0	1381
0	1057
0	1708
0	1498
0	1179
3	1334
0	1205
0	1350
47	0
1	182
13	80
16	331
11	331
87	1
274	2
0	1
0	228
6	228
1082	0
21	1
6	0
0	0
9	7
16	5396
0	5660
93	524
10	1257
0	317
171	4174
4	2638
8	234
40	0
0	69
3	69
0	0
8	0
0	0
1	0
17	350
0	98
12	350
5	3
6	72
223	4
0	4
60	1824
0	1824
21	31
26	33
31	34
20	31
90	55
58	31
33	32
0	35
17	56
7	38
46	1
49	2
513	443
10	35
8	222
0	296
20	0
16	199
297	169
736	1989
45	392
1405	2002
0	2141
0	1934
23	501
0	3696
0	1596
13	1593
0	2462
0	2466
0	1592
1	2114
0	2058
0	3874
18	375
0	375
2	8031
187	4458
2	1558
0	8319
5	13442
0	2706
0	14801
3	8814
0	9186
0	396
0	21
0	1260
0	1220
1	430
0	35
67	916
0	49
0	292
0	282
0	1377
0	1517
0	1318
0	428
0	1576
13	0
1	0
0	332
23	343
0	300
0	427
0	515
0	255
1	413
1	387
133	1266
610	1266
12	0
0	805
1	4
0	886
5	805
2	14
0	1238
168	2
4	199
1	655
17	873
0	0
22	29
61	50
1	1093
41	0
18	0
2	0
0	1209
0	1207
0	841
0	840
0	15
0	1228
0	1230
0	1229
233	0
5	374
61	560
0	708
0	677
0	24
0	731
0	17
1	714
0	622
0	18
9	322
8	314
0	62
2	318
0	24
12	20
0	49
0	29
0	0
2796	3449
73	16227
42	14846
0	16911
0	17595
4	504
148	12411
17	16627
6	257
3355	257
19	392
6	399
55	387
2	205
0	637
0	127
96	0
1	563
0	639
0	642
0	568
0	634
327	3059
11	2523
24	3058
2	0
0	191
0	673
5	1006
4	519
0	1001
0	27
0	523
16	980
10	0
15	15
3	12
3	4
0	226
102	226
0	110
0	77
0	77
0	52
0	85
33	1093
73	1093
15	233
3	0
146	0
2	0
1	0
2	1
4	0
0	4511
0	4327
0	4642
0	4486
5	103
0	4651
0	3360
0	3525
0	4477
0	3204
0	3581
1	143
0	4171
0	4492
0	4321
8	1744
8	1395
57	1399
9	1566
2	1804
15	1376
2	9
274	2144
870	0
6	0
5	0
31	0
0	9446
65	4491
0	9470
189	7461
0	8122
0	8098
42	679
33	152
0	152
5	5
31	1
19	1071
25	1009
0	1153
3	1008
4	1072
0	7175
0	5565
0	2233
34	1892
0	10581
13	8805
19	1233
0	7240
0	10536
151	7680
37	50
20	0
107	0
0	50
0	0
6	0
0	55
2	39
75	39
34	18
38	0
5	8605
2	5
7	9141
5	15450
8	13864
0	772
0	1975
30	1167
0	1759
27	1065
0	556
133	1
0	1
0	1
476	0
8	0
0	1884
20	907
0	592
0	1615
1	673
0	1815
0	785
1	1654
35	1825
388	58
19	60
25	0
16	0
2	27882
0	27882
99	26753
15	0
0	0
1	324
73	3593
27	3835
11	643
2	842
32	4
19	736
2	656
2	0
11	0
0	1929
0	3934
54	103
0	4792
6	471
0	179
0	2483
36	6352
124	5038
0	6802
0	5347
31	2010
2	1398
19	95
0	2194
0	1910
8	1732
0	0
0	2066
0	2084
23	1601
0	2057
0	0
0	1937
6	201
0	2341
0	2213
0	4148
13	1141
0	1838
4	4219
0	4900
0	4607
0	4536
0	4330
3	401
0	4240
0	4425
0	4718
0	4718
0	4422
13	1
13	0
4	0
7	1364
3	133
0	3378
0	3851
4	2282
0	3580
1	2140
0	2056
0	1730
0	4053
27	0
14	551
0	1532
0	133
12	1883
21	3201
0	25
3	0
2	0
7	0
0	0
0	658
3	647
0	485
76	1
0	192
283	1382
7	344
1	1038
7	1
0	1
0	0
46	0
4	0
27	1012
0	377
13	729
0	934
0	2406
1	1475
62	3044
0	1235
1	18
26	22
0	24
0	2301
0	2079
0	2175
0	2058
11	2249
0	2197
0	2183
0	481
0	2155
2	784
1	2138
0	2272
0	1141
725	929
173	318
185	611
0	4285
0	4268
13	4193
0	2519
25	207
0	4360
0	4323
14	785
0	830
0	196
1	205
19	539
5	189
0	763
32	624
2	476
6	484
3	728
0	48
0	537
9	586
131	349
8	11
7	10
3	118
1	4
10	112
3	118
0	3
3	3
571	4142
149	4138
3	68
37	3862
0	272
0	192
20	192
1	167
8526	62
31	321
34	321
2	106
0	11
1	571
2	168
59	546
57	173
10	540
0	4735
0	7684
0	7165
0	5920
5	868
0	5254
2	1254
1	99
3	1739
0	3490
0	36
0	99
13	1407
7	311
0	1443
3	714
