UniqueCount	AmbigCount
2	244
4	321
4	337
53	456
3	136
0	217
0	217
9	217
81	12264
308	5376
1551	12264
0	262
43	585
8	585
96	0
47	0
113	1
7457	90
3	3532
31	2315
3	323
2	1174
6	3106
721	0
1	4711
14	1893
0	4234
10	4225
0	4224
0	4704
0	17
183	17
0	2004
4	1555
0	2659
10	696
0	659
1	659
0	2060
0	2670
1	3174
0	2020
7	1820
9	1761
6	1020
0	3166
0	2044
0	34
6	34
0	0
0	310
4	315
0	363
0	177
0	38
0	12
0	75
0	269
0	221
0	180
0	327
0	278
0	137
0	247
0	144
0	341
0	0
0	682
0	621
0	615
21	336
0	707
0	634
0	707
0	773
1	651
134	166
0	168
9	598
0	41
342	576
0	401
61	1083
0	204
0	108
2	463
0	795
3	427
16	1505
4	2012
1471	2052
3	27
1	29
0	29
8	0
2	25
0	1277
1	1257
0	1196
0	1338
0	1277
16	1334
0	1338
0	1387
0	1261
0	1256
5	69
7	69
9	0
6	414
5	414
1	1798
38	3756
10	1
0	3862
234	3600
583	3572
0	3482
3329	129
0	3895
0	1
0	3449
0	0
8115	11
2	202
9	613
0	49
0	775
1	74
101	189
0	321
83	578
13	969
0	1491
117	502
14	311
11	1854
0	1482
274	420
6	0
0	337
4	317
44	969
0	58
0	8
5	277
3	11
1	250
0	19
0	0
14	0
22	735
0	707
0	4
0	14
0	70
63	815
0	0
6	0
2	0
339	5792
876	901
10	738
84	2159
2	5800
0	759
17	50
12	46
15	997
1	1190
5	1102
0	11
1	18
119	2268
0	153
17	686
3	484
201	962
0	2236
0	1178
0	1443
2	0
0	24
0	34
0	31
0	23
1	4
1	32
1	57
0	4
0	47
3	49
0	22
0	50
0	48
0	43
0	78
0	61
0	24
0	77
0	40
0	61
0	37
0	62
0	35
0	20
1	39
8	0
0	84
0	147
0	128
35	215
3	36
0	60
5	0
15	0
2	119
6	119
2	68
0	597
20	627
0	529
0	17
0	559
3	514
4	2470
42	1609
231	2470
16	1866
12	1866
35	1062
4	989
0	1025
1	949
3	131
0	1036
20	96
15	5
2	6
8	4
1	112
10	80
0	84
4	2493
3131	3501
0	996
0	336
0	506
0	559
0	56
0	535
1	11
7	426
3	218
0	373
1	543
0	26
8	492
3	530
1063	6378
0	5967
165	2228
10	6439
104	2120
392	6616
6	6616
123	108
1079	2
0	202
6	720
0	733
0	732
60	664
9	146
1	188
0	618
3	232
5	220
0	1
8	232
5	0
2	50
0	42
0	232
0	227
0	231
0	231
0	183
0	182
1	0
0	1
0	1
1	486
324	567
11	1140
3	336
0	489
56	1338
2	3
11	5907
980	9852
27	8430
0	5905
2	0
0	1409
2	1358
0	1240
0	1368
0	1258
0	1281
0	955
0	639
29	390
1	954
0	917
0	360
0	330
0	609
0	925
0	571
1	929
0	601
3	0
0	0
0	0
1	0
48	0
0	1072
0	1138
0	1032
10	273
0	8
0	1178
1	17
0	640
0	5
0	256
2	270
0	668
0	656
0	684
1	0
2	367
0	98
0	350
10	0
1	14
0	29
0	4
6	331
0	29
18	0
0	60
1	60
20	6454
10	6454
0	341
1	6
3	524
0	70
0	524
6	479
4	18
0	18
0	17
3	17
23	16
11	11
0	6
1	10
0	5
3	5
1	2
2	12
2	7
0	5
6	3
0	187
0	169
0	639
0	763
0	831
0	688
0	782
0	591
0	82
0	13
0	820
0	88
0	256
15	554
0	771
10	0
1	45
8	45
95	151
4	706
1	293
5	132
14	105
2	706
12	622
0	9
0	84
0	26
0	63
17	1569
103	1507
4	96
1	225
1128	708
94	7
10	3
3768	22
0	0
19	0
9	0
0	20
8	20
69	96
0	96
0	13
0	18
2	18
60	0
2	3
0	3
0	401
2	411
0	30
4	26
0	40
2	400
0	86
1	86
3	86
0	74
0	50
0	36
0	23
0	63
10	0
0	0
21	113
0	113
3	0
11	4
5	0
0	0
5	0
4	950
8	959
5	950
10	10
6	10
1	0
0	277
0	181
0	413
5	164
2	415
12	422
7	399
6	0
8	3
0	3
3	0
1	0
15355	1736
3	13191
509	6052
0	14610
108	3545
78	3095
727	14758
0	18
0	8778
186	2605
0	5900
0	2869
0	3117
0	5278
0	3282
0	2702
0	2703
0	0
41	3
2459	5319
0	0
0	0
0	0
0	0
12	0
0	1627
22	1129
43	1138
9	4
0	1052
0	1621
0	895
0	820
2	1543
14	1341
0	711
0	1058
0	786
13	0
2	22
0	22
0	0
0	0
0	0
7	0
0	571
0	503
6	402
0	1016
0	1219
1	1345
0	248
0	1381
0	1073
0	1120
0	959
0	1285
0	890
3	532
9	1
0	0
20	69
3	52
1	17
0	0
0	0
50	26
1	26
0	20
202	20
3	0
5	0
627	23
1	4374
0	3651
0	4460
0	4284
140	260
31	2723
7	3741
0	3827
109	2186
11	416
0	969
3	990
0	1116
0	607
1	1
0	733
5	1439
0	2007
12	1641
0	2001
2	272
0	269
0	0
0	0
1	0
1	0
20	20
118	1470
3	3401
729	1229
0	3597
6	5000
75	831
19	5342
207	1937
0	3283
0	5977
1174	5621
0	6092
375	4396
1693	79
19	3417
14	5442
0	5529
20	965
15	2994
35	2244
1160	4299
1	4334
4	10988
0	11101
73	9933
38	10224
0	6220
0	6446
0	6007
4	5833
0	6694
1	0
0	270
45	270
0	134
0	107
0	133
0	108
30	0
8	234
0	426
0	412
0	423
0	417
0	430
0	399
0	427
5	309
169	0
23	0
1	999
0	1041
0	1015
0	622
23	484
0	193
0	624
1	39
6	750
2	0
4	0
3	2529
44	2109
0	2028
1	820
0	614
1	2651
6	2461
0	2651
14	2282
4	2456
0	752
2	0
24	576
1	594
0	203
2	292
0	56
56	467
13	467
137	146
346	0
0	652
401	652
4	0
346	0
2785	9
0	10
0	61
689	54
3333	206
25	334
33	334
0	276
38	282
0	153
2	276
136	173
0	173
27	0
0	32
7	31
0	10
2	7
46	0
1	0
5	0
9	0
0	18
59	593
0	88
106	0
7	593
1	2533
3	2533
1	797
150	0
0	72
492	797
12	112
0	72
0	15
1	31
3300	23
0	3646
0	3751
0	3658
0	3553
0	23
0	20
0	27
0	1
0	23
0	26
0	32
4	327
0	14
1	14
69	341
11	0
1	0
0	0
2	600
426	600
54	0
1	0
0	0
0	26
9	103
0	400
0	388
0	216
0	420
0	110
0	396
0	212
0	416
0	392
0	0
2	0
46	10420
75	9666
463	4524
8	11300
90	1030
24	8751
273	10438
0	60
4	539
173	19225
3	8312
145	20276
14	18005
62	2002
2	122
10	122
3	0
0	616
17	874
0	193
25	1289
0	0
3	1351
8	28
1	127
678	1380
0	389
4	24
0	125
0	435
0	28
0	384
0	92
0	417
0	52
0	478
0	444
0	115
0	148
0	440
0	46
0	427
0	454
0	438
0	403
0	428
0	468
0	387
0	1021
0	993
0	955
0	1001
0	1039
0	975
4	823
115	891
13	891
0	0
4	0
0	302
0	344
445	594
346	636
7	46
0	0
177	325
1	2503
0	2435
0	2440
14	2428
2	2183
0	1790
0	2463
4	1750
6	1719
312	2
263	2
0	7
0	2
1	325
0	97
26	97
12	276
18	276
1	611
6	611
0	4
4	4
2	0
22	171
62	171
22	0
1	0
6	0
0	140
2	125
0	37
2	12
0	35
1	2228
0	2778
2	2211
9	2664
1	1360
36	2791
0	2901
18	124
0	2796
0	2883
0	73
0	1342
1	124
1	900
0	828
16	82
93	81
0	172
8	292
17	292
7	284
0	27
43	27
13	1
0	340
2	2
196	713
0	410
0	342
395	51
3	2
130	296
0	348
0	0
0	278
1	0
0	404
7	30
23	223
23	223
4	1
13	0
1	0
8	14
40	0
2	0
0	0
17	13
7	62
13	62
114	76
0	43
297	158
17	753
0	802
0	776
42	9
0	146
1	421
0	248
0	212
13	14
1	186
0	85
1	14
9	133
301	133
17	1
5	0
0	0
1	0
2	0
0	1
7	4
0	0
925	4043
64	4043
0	6
12	6
1	1
0	735
0	841
20	50
0	47
0	1033
0	1105
0	1136
219	0
88	424
0	0
0	0
23	340
5	471
32	298
180	340
53	3
401	0
0	0
0	0
2	6721
8	608
1842	5951
0	468
7	5488
1	390
198	6917
0	5919
242	5919
1	7211
720	6587
1	5023
6	5672
6	190
28	3
0	41
0	36
3	41
2	288
0	476
0	453
0	557
8	22
0	580
62	105
0	7
8	7
0	102
0	120
0	97
0	115
0	4
1	0
0	0
0	0
0	2
0	0
0	1
0	2
0	1
0	2
0	1
343	60
10	58
733	0
1	0
1	0
0	0
132	0
13	33
0	9
10	24
4	18
23	57
9	21
34	14
0	9
1	16
4	0
0	1261
241	321
26	926
0	1251
5	1287
25	361
21	0
24	0
0	1233
0	0
1	898
1	734
0	694
0	1273
1	0
1	3
0	3
9	4
1	0
15	4
138	260
4	89
6	260
15	0
30	177
0	133
1	121
0	163
8	0
0	0
1	0
0	1877
0	4239
0	4598
26	4139
158	1963
0	523
0	772
0	113
10	772
50	738
0	76
0	1
3	252
0	241
15	345
0	355
9	355
24	0
28	5359
62	242
216	243
124	3133
0	2927
6137	7992
22	130
225	132
0	1
54	27381
769	1472
85	314
37	11061
3565	11120
6	89
102	290
21	3407
2982	27813
1	2724
28	13418
2	14935
3	13857
1724	1187
0	15192
0	1726
2	186
100	755
64	2576
57	2576
25	2503
0	6
15	3461
8	2122
0	3501
15	261
16	3140
0	3424
59	3519
0	3516
18	255
51	272
46	2392
13	3737
0	3744
1	2330
0	2345
3	3765
1	2345
2	3732
208	3461
2	2
9	269
0	529
9	376
0	207
4	324
0	526
11	537
90	260
0	518
1	491
0	537
0	385
0	64
0	385
0	73
0	375
12	325
37	142
70	228
0	119
0	132
0	132
0	133
0	121
0	121
0	119
0	121
2	4
1	26
1	24
5	7
2	53
1	36
0	24
5	22
6	28
16	1
96	5
0	2
1	4
0	1
3	6
1	2
1	1
0	3
1	0
0	0
1	1
0	77
0	14
0	10
0	71
0	4
1	12
0	8
7	8
0	2
0	9
0	4
0	4
3	6
0	0
0	1
1	13
0	11
0	13
0	18
0	5
0	5
6	382
0	249
2	453
0	153
0	43
0	351
1	249
0	437
0	17
0	47
4	1
1	1
3	0
4	120
0	400
1	907
3	160
5	115
2	101
1	907
11	160
286	145
0	145
4	1528
1	1754
182	2358
0	1832
1	2177
47	1047
62	280
11	1614
20	1321
86	2376
0	2278
0	157
53	0
0	53
1	53
1	0
0	55
1	272
9	212
0	9
0	9
4	296
9	61
67	55
2	0
0	1828
0	2776
0	1762
0	953
0	2884
0	2888
0	1439
0	2731
0	48
0	2727
0	2822
0	2842
0	184
0	1369
0	999
0	2818
4	0
2	0
0	0
0	949
16	11268
0	110
3	9864
25	45
1	5210
6	16769
2	5229
52	80
0	5548
89	50
775	4550
0	6782
1	5973
718	12851
9	0
2	20
3	44
69	223
21	56
0	243
38	1182
0	388
21	66
204	1229
8	52
2	207
1	190
13	141
0	218
0	261
103	400
5	928
1	95
0	974
0	93
0	940
4	326
0	191
1	160
4	901
0	42
9	241
2	134
10	233
1	0
1	1
0	9
0	9
14	1
166	0
0	18835
0	18194
2	6547
1	18829
0	18830
9	18538
0	5731
8	18024
0	18027
0	18834
1	823
0	1201
3	1109
1	1044
670	2
0	2
0	5701
0	5538
3	3039
3	5070
0	2
3	392
0	445
0	430
5	27
3	15
3	726
0	1088
1	724
0	1121
0	1127
2	810
0	1160
0	451
3	0
2	166
2	166
0	228
0	600
3	548
0	551
0	277
68	1056
38	1056
0	266
0	270
61	1511
1	2610
8	3315
1	3245
0	270
8	324
82	3351
0	1715
0	1626
0	997
0	1681
0	1660
0	1634
25	0
5	0
24	0
0	1
3	0
1	1
5	1
37	0
0	3
0	3
0	0
0	0
2	0
136	3297
1	1440
0	2375
84	3232
1844	584
11	583
533	2984
9	33
0	70
0	81
1	13
2	65
2	41
1	24
2	70
0	81
7	34
3	13
0	3
1	77
0	21
1	59
4	78
5	33
2	6
18	2
62	7
0	0
1	7
0	7
1	0
479	80
1	1961
0	1203
576	1991
4	6492
340	5603
2461	8211
2	7324
0	1862
2	967
0	1521
3	1030
3	1273
2	130
6	1502
0	1868
0	1855
0	1873
0	1886
342	0
8	399
0	422
0	3
1	390
1	655
0	79
63	655
0	255
0	248
0	226
40	19
412	12
0	293
0	93
0	258
0	212
0	0
144	12033
174	11643
30	11440
4336	671
1262	15978
701	2155
520	1167
154	2601
0	2988
6	225
357	225
96	8
1	79
0	223
8	268
7	113
2	268
0	123
2	1
233	0
4	2
102	0
0	0
0	0
2	35
2	35
0	113
0	40
0	98
0	55
0	38
0	122
0	107
8	0
2	0
1	6
0	3231
4	1257
245	3230
33	1953
16	0
1	0
12	0
0	170
6	138
0	521
1	318
2	533
5	68
0	542
2	315
0	541
0	218
0	542
0	349
0	327
0	45
1	47
0	8
0	287
0	50
10	362
0	343
9	218
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
29	5
0	5
1	0
18	15
0	74
0	11
1	7
2	83
0	76
0	20
0	1602
0	1633
18	1648
22	1582
0	1607
156	208
24	212
87	199
26	193
6	2574
37	2606
0	2581
0	1238
3	2676
0	1353
0	1
0	0
0	1
0	1
1	3
1	3
0	0
0	0
1	0
336	244
7	244
1	71
5	0
0	0
58	10558
0	11889
23	0
1290	10824
80	10575
16	1
11	795
55	0
4	0
6	0
0	0
0	346
0	69
1	265
0	135
3	72
0	333
10	301
2	28
0	178
0	158
0	301
0	392
0	269
0	167
0	22
9	94
43	3
27	27
0	673
1	29
0	1122
1	1124
0	102
0	820
0	1193
0	1131
0	939
4	1075
1	82
0	638
0	84
2	925
126	960
0	50
64	50
3	0
0	0
164	0
0	11090
0	10943
0	11248
69	10320
0	11101
80	0
0	0
0	0
2	0
23	450
517	450
25	26
3	836
0	104
0	711
5	495
2	469
0	845
0	734
0	741
9	215
0	752
1	34
0	759
0	133
0	133
138	0
80	701
0	701
0	301
0	295
0	308
0	312
0	148
0	299
10	31
0	299
0	199
6305	371
0	568
0	112
4	556
6	103
0	78
0	569
0	145
0	116
0	580
0	111
7	250
0	560
0	150
1	527
0	22
0	68
1	24
7	57
2	65
0	64
6	43
2	43
34	0
8	1
10	5871
4	3853
0	5874
1522	5970
452	4727
0	4562
0	687
656	652
112	688
48	62
14	6
8	767
110	209
3	762
1	738
56	755
0	774
0	1174
0	1232
0	1352
0	1294
0	188
0	41
0	163
0	159
0	196
0	33
2	187
0	23
0	190
0	18
13	0
8	0
1044	34283
42	30853
0	7408
0	39633
0	39238
0	45985
0	34201
6	45956
107	18837
92	4011
102	3809
0	28090
461	45157
0	32464
649	20272
0	34879
6647	148
6	19
0	34
11	40
445	1
0	0
4	222
9	2143
136	2106
132	2350
25	2350
11	1448
11	0
134	106
0	106
1	106
2	0
267	0
11	0
11	75040
7	71234
6	12
111	443
2	53374
0	16886
270	503
0	40
1	30
0	43
2	53
18	43
2	43
5	0
65118	7789
18	0
0	2361
3	801
1313	1678
3	4347
63	2045
0	535
0	4610
2	1520
1	417
4	1349
15	4012
4	1199
19	5
22	5
6	0
2	3
0	0
37	2
4	6
12	5
52	1197
0	2183
9	1194
9	161
2	1102
0	1197
0	0
10	138
0	1013
8	1021
1	1103
6	0
0	1
0	1
1	0
1	0
1	0
0	0
3	0
341	7482
81	7482
4	0
0	1371
5	758
90	789
46	65
73	1238
0	1405
84	854
0	1623
0	1826
0	1553
0	1882
0	1567
0	1812
0	319
0	207
0	332
1	1060
0	194
2	1083
5	622
6	1208
1	0
3	0
2	0
0	733
0	1778
4	2
0	195
5	170
0	194
0	698
2	1756
0	22
3	293
0	382
53	1760
1	0
3	0
15	0
0	1118
52	1175
0	1197
0	1147
0	1134
2	1155
6	614
0	973
68	434
0	909
27	368
3	312
1	29
5	953
6	26
0	185
0	192
0	163
0	170
12	0
0	2715
0	13
2	1034
1	1070
0	2547
0	2679
1	2338
0	25
0	103
0	102
0	107
0	106
6	48
20	17
0	58
3	59
2	5
0	48
15	5
0	72
0	11
1	8
0	3
0	1
0	0
0	359
0	188
0	374
0	110
0	364
0	179
0	16
0	370
0	175
0	192
59	0
1	2
9	7
0	6475
0	4645
13	696
0	6091
0	6078
0	6087
0	6466
0	6479
0	4630
0	3721
0	6488
0	7
0	6100
0	2387
0	1613
2	6
0	0
46	475
0	2557
20	782
1	81
0	1330
1	159
0	458
66	782
0	41
0	2541
3	460
0	1346
31	572
15	317
0	338
0	350
0	349
0	361
0	327
0	13
0	227
0	338
3	348
0	29
0	32
11	0
1	0
0	18
2	18
3	2
1	85
5	34
0	77
0	181
0	12
0	69
0	227
0	23
0	172
0	38
0	0
0	164
0	189
0	219
0	44
13	14
0	451
0	139
0	133
1	591
2	135
0	622
0	427
0	327
10	285
18	446
0	8
2	0
0	4
1	3
0	4
3	0
0	0
0	1
36	632
52	351
16	64
0	296
2	317
1	328
0	783
0	764
12	0
0	13
0	23
0	0
0	13
0	24
0	11
0	3
0	12
3	0
1	0
0	0
1	0
4	0
1	0
0	1253
0	57
0	1235
2	650
0	636
41	513
4	572
0	1230
0	1258
0	1223
0	15
0	647
68	32
2	471
15	502
5	392
1	170
0	485
3	93
0	264
0	264
10	0
0	211
0	334
0	1188
10	68
0	1149
0	334
58	99
0	201
0	50
7	124
5	1007
0	213
0	906
8	811
1	47
0	50
2	265
37	16
8	16
10	78
78	61
12	61
3	78
2	0
3	380
2	15
1	394
0	393
0	407
6	355
0	195
7	233
5	38
11	458
0	464
0	462
168	0
4	0
0	0
0	440
4	24
0	343
0	0
1	67
10	88
0	152
4	1
110	708
3	749
8	354
0	10
64	166
1	353
0	504
17	0
0	9
0	9
2	16
0	25
0	1
4	14
1	11
0	1
0	10
0	18
2	7
1	9
22	8
0	7
0	0
3	0
0	0
1	36
0	2
1	2
0	34
0	2
0	3
1	1
5	0
0	0
1	0
2	0
1	1932
0	2207
0	2796
2	987
5	1450
0	2479
7	419
0	2781
1	2281
0	2907
0	2673
14	2802
1	1823
0	2591
47	2103
0	2165
0	2089
0	2598
2	2716
0	945
0	1908
0	34
0	20
867	42
1	0
1	24
0	25
0	1
0	0
0	0
11	0
0	0
25	229
13	300
0	301
0	301
0	230
0	303
87	1179
0	1179
36	956
2	1448
0	2092
0	1193
0	696
0	1927
0	1028
0	2146
0	1981
0	1649
0	1595
1	81
12	457
5	465
0	193
0	505
0	527
0	33
0	529
0	475
38	47
7	47
8	89
2	89
17	69
2	26
1	826
1	36
3	338
2	842
1	89
0	233
0	879
4	861
42	932
0	24
1	11
2	5
0	25
1	4
0	5
1	4
1	4
73	259
0	259
0	0
1	478
0	1163
0	1171
0	1151
0	1159
7	508
0	1133
415	621
0	1210
0	1146
0	1121
7	519
0	1205
0	8288
0	8140
0	8211
5	70
131	2808
0	7999
0	7651
0	8094
5	8217
0	8242
0	7863
66	1940
0	8396
26	5075
0	8048
3	11
17	11
0	2349
8	1657
12	292
0	2308
0	563
0	460
0	544
0	455
0	34
0	2368
0	444
0	2315
0	560
0	2296
0	1826
0	547
0	471
3	3
4	716
68	236
14	236
0	2294
2	2483
7	454
0	2495
5	377
38	922
0	2409
0	2485
0	761
0	771
0	8
0	2304
0	2399
1	2243
0	9
7	85
165	94
1	2
0	2
19	0
5	0
0	971
5	423
0	965
0	660
0	962
13	935
3	42
0	928
0	958
14	384
0	79
10	384
81	0
1	265
0	92
0	257
0	474
0	486
0	475
0	95
0	485
3	1418
7	1544
4	1590
0	1776
2	523
0	1117
1	424
2	1115
8	838
17	714
0	1572
0	1565
0	424
1	1020
0	1124
6	0
126	0
0	51
6	58
0	58
0	23
36	23
3	5
0	5
3	0
0	0
7	0
1	2
0	2
43	0
4	0
1	0
0	0
0	0
0	0
3	3397
2	3534
0	63
0	63
0	3634
0	63
0	194
8	3563
0	390
0	3605
1	2
0	1178
0	688
0	1279
0	899
0	1252
0	1353
1	963
0	276
1	2
2	78
1	147
0	116
6	54
0	276
1	678
0	1282
0	1051
0	978
0	1355
0	0
0	23
0	25
0	4
6	19
0	21
5	0
0	27
0	2
4	0
0	1850
0	1819
0	156
2	380
0	1849
0	1863
0	1495
0	1844
0	1935
0	1275
0	1758
0	1834
0	33
0	1785
0	1899
0	1836
0	1777
1	56
0	1798
0	39
1	0
1	0
1	0
11	0
0	58
69	59
0	1
1	1
0	364
0	307
0	379
0	421
0	404
0	86
0	70
8	11
1	394
0	436
9	73
0	322
1	69
0	419
0	436
8	139
5	139
0	0
422	4357
2330	4387
7	0
0	542
45	209
8	391
159	655
4	468
1	263
0	427
0	540
52	3260
0	537
0	1
7	108
349	35
3	43
1	299
12	861
12	94
3	297
39	861
4	575
1	1138
0	1146
0	1222
1	1121
186	0
0	7
8	0
964	0
1	0
3	0
0	0
2082	29837
133	15525
0	15502
532	6184
713	29846
0	276
31	234
9	264
0	1186
0	1323
8	423
0	374
0	1430
0	1277
45	1002
0	390
0	1339
57	1002
0	1414
3	635
5	75
213	0
2	0
185	617
0	437
70	268
385	413
4	33
39	420
6	51
0	417
1	0
1	0
0	0
15	752
0	290
0	656
8	705
0	752
12	99
6	104
0	107
6	37
4	0
1	318
15	318
0	12
0	234
0	123
0	14
1	207
0	47
0	232
0	211
41	0
6	0
1	0
46	0
29	0
0	1301
0	1255
0	1260
177	1042
93	912
0	1214
68	960
0	1
5	1
10	0
0	17
0	17
19	0
4577	14
161	5544
26	5658
0	2312
0	5603
2	5374
7	2367
6	406
6	0
4	0
0	1658
0	1671
0	616
3	250
0	1453
0	1350
0	143
0	590
0	1671
0	750
0	1663
0	1663
0	1682
0	769
1	18
0	1652
0	1363
39	331
0	1682
0	117
3	43
49	0
0	12
2	12
0	3
0	2
0	1
0	1
10	1
2	0
0	213
2	190
0	214
0	299
0	298
1	11
0	5
0	12
0	296
0	306
0	0
719	1476
25	1476
1	0
58	9982
1	3920
20	9984
0	0
6	447
0	17
4	458
2	458
4	540
6	203
269	540
0	0
0	0
3	0
5	223
10	223
9	1439
44	1663
0	162
32	1606
0	1645
32	2008
0	264
0	6
0	331
0	500
1	0
0	370
6	539
0	0
0	0
0	0
445	0
2	389
256	393
0	395
1	385
0	492
0	516
3	469
0	518
0	494
3	451
1387	1
231	0
11	555
7	555
1	187
0	615
0	113
0	481
0	466
0	608
0	638
0	109
0	609
0	626
0	597
0	627
0	144
0	620
227	0
181	0
165	1
105	0
0	106
0	471
3	107
1	180
1	436
0	505
5	161
3	224
6	450
24	276
0	295
3	8
6	383
30	314
16	256
16	473
4	0
8	277
1	0
1	0
0	0
0	0
23	0
27	0
1	7
1	4
0	6
0	0
2	0
0	37
0	20
6	288
0	11
3	264
3	25
19	318
8	1094
1	127
0	1129
0	1164
0	396
0	1180
20	0
0	562
0	459
2	24
0	450
0	481
0	545
0	540
17	0
0	169
0	168
0	161
0	162
6	0
0	0
461	1297
2	99
0	840
1	164
1	6
43	898
8	1208
20	478
5	1186
6	0
1	387
5	1793
0	687
3	680
0	1914
216	722
2	1681
38	1516
0	699
0	2
0	757
0	682
0	709
0	707
0	722
0	707
0	747
0	749
0	479
0	705
0	454
3	150
27	7
0	682
0	732
0	1
1	36
70	102
11	102
4	0
1	0
66	511
7	816
0	1931
0	1925
2	492
0	1775
0	1770
0	1695
14	178
0	1764
213	592
0	1920
0	1926
0	1633
0	1775
0	129
1	308
0	1931
0	1690
18	0
3	28
2	80
0	18
0	39
0	130
0	14
16	48
0	24
0	139
1	115
0	135
0	6
16	5
10	6
0	3298
3	656
2	2827
60	3136
24	2307
8	527
6	2870
111	2870
27	1908
0	3313
0	3406
0	1336
312	1925
0	3545
0	3515
0	3538
0	3476
0	3508
0	1558
0	1449
0	3399
0	3345
3	556
0	3352
0	1445
0	1588
0	1475
464	0
2	180
29	180
2	7
0	1
0	6
1	2
0	2
0	1
6	2
0	0
0	0
0	0
16	1
1	1
292	1316
0	1316
22	148
0	47
28	148
114	127
3	126
19	0
11	1245
1	31
0	55
5	1245
3	1219
12	3
18	1229
2	255
0	255
0	72
0	72
3	1
20	0
3	534
4	2
0	535
0	532
0	396
0	470
0	602
0	561
0	508
0	482
4	535
0	415
0	558
0	505
0	576
0	1
0	407
0	0
0	491
0	549
0	456
0	370
3	0
1	0
0	0
0	0
0	109
71	400
0	2162
0	2161
0	1167
0	1075
0	1074
1	272
1	546
0	671
3	119
19	149
2	165
54	118
0	147
0	107
1	124
6	144
66	0
97	0
9	86
101	1591
93	1598
35	628
3	0
0	0
0	46
2	1230
0	1448
8	1297
0	1525
4	2566
2	985
0	952
0	17
26	2685
10	45
9	2702
0	527
0	2686
0	415
0	421
0	528
0	416
1	87
1	87
0	7
13	112
0	232
0	321
0	244
0	309
10	296
19	131
43	296
88	0
0	2
0	238
29	238
0	2
1	0
0	0
0	448
0	207
0	510
0	463
0	280
0	278
0	295
2	207
0	525
5	204
1	262
202	262
0	7
33	181
28	181
4	0
37	0
4	0
4	0
0	0
0	485
0	483
8	142
0	0
3	428
0	537
0	538
15	78
3	524
0	531
4	468
0	538
0	92
0	337
0	330
0	544
0	135
7	12
0	82
0	136
0	83
24	40
2	0
0	2
4	2
0	2859
8	189
5	1806
0	1888
0	1911
0	1235
0	2844
0	1896
6	268
0	1295
0	1107
191	1669
0	1669
0	1051
0	1055
0	846
2	1
0	1
2	314
0	1221
0	1
0	1077
0	846
0	1
0	1126
0	1150
0	445
0	314
3	1089
0	471
0	209
0	489
0	483
47	252
0	199
0	62
0	52
0	493
0	470
0	119
0	514
2	308
20	422
1	316
0	441
0	3
0	469
0	519
9	425
0	804
0	809
1	294
0	3
0	3
0	14
6	0
0	0
0	0
0	0
0	20
1	6
15	20
0	0
0	0
5	7
8	3
0	6
7	0
5	0
0	1
0	165
2	87
1	213
0	181
1	46
3	210
15	196
23	177
0	19
6	0
1	0
0	0
7	26
0	479
0	492
0	480
0	493
0	9
0	1
8	141
0	4
0	225
4	332
4	1066
0	949
0	954
0	955
0	515
0	1141
0	403
0	301
2	301
8	1
22	1
14	1147
2	375
250	375
5	868
143	904
692	0
1	130
0	435
0	430
49	399
9	394
0	1903
0	1532
184	1921
22	18
9	569
2	316
0	587
1	19
2	474
1	342
1	79
0	594
3	207
12	582
0	289
0	259
0	222
0	592
0	333
0	999
5	1499
0	0
104	1499
15	167
0	48
0	41
1	119
0	13
0	110
0	1
1	52
0	170
48	62
7	32
8	62
10	42
0	0
1	0
0	120
1	95
0	93
48	0
2	0
1	688
0	688
282	0
5	517
0	381
254	506
1110	0
320	25
0	381
