UniqueCount	AmbigCount
0	66
10302	80
0	13
0	0
2	2
2	2
0	3
0	13
1	0
0	4
2	6
4	1
0	0
1	0
1	0
0	0
0	1
0	0
0	10
0	6
0	2
0	1
0	4
0	5
2	1
1	2
0	0
0	2
4	4
0	1
0	2
1	1
0	9
2	0
3	2
2	3
0	0
0	1
0	0
2	2
6	1
1	2
0	1
0	0
9	6
5	143
4	4
20	143
0	1
2	2
1	0
0	3
0	1
0	4
0	0
0	4
0	2
2	0
0	1
0	2
3	3
0	2
0	0
0	0
68	0
1	2
0	2
0	96
25	96
0	2
1	0
0	0
1	0
1	1
0	0
0	425
2	681
2	488
0	7
1	6
3	19
0	11
4	1
75	1
3	1
0	3
0	1
1	1
2	4
0	4
0	2
0	1
0	5
0	7
5	9
2	1
2	1
1	0
20	5
2	2
7	0
2	0
8	0
0	0
0	1
0	2
1	1
0	1
0	1
0	17
0	18
0	0
0	1
4	3
66	25
10	20
1	15
0	4
0	4
0	5
1	0
1654	4
2	7
0	1165
1	206
2	351
2	147
0	10
31	268
40	1165
0	1
0	1
4	1
8	7
0	3
0	0
0	3
7	1
1	0
0	0
7	0
4	4
0	3
1	1
12	1
0	3
0	6
0	0
1	0
0	0
0	1
0	0
0	1
0	3
0	0
0	0
2	25
0	25
4	10
0	10
0	0
0	1
0	0
1	573
2	1
42	231
0	85
0	573
13	5
0	3
6	3
4	0
1	1
9	9
0	6
10	10
1	17
0	17
1	2
7	4
20	12
7	16
1	13
1	6
70	70
0	1
1	13
0	4
8	17
5	13
0	4
21	28
15	14
1	7
0	8
2	0
0	6
9	16
9	12
19	17
13	8
29	0
1	1
0	5
0	1
3	4
5	0
12	2
35	1
4	0
3	8
2	2
8	8
1	5
3	1
1	0
0	0
2	0
1	0
5	0
0	0
0	0
0	0
1	1
0	0
0	0
0	1
2	5
2	3
0	2
0	1
1	1
4	1
1	0
4	3
0	6
0	6
0	1
0	4
0	0
4	4
0	3
1	3
0	0
0	4
0	15
0	32
0	17
0	34
2	0
0	3
0	1
7	2
0	0
0	0
0	0
1	0
1	0
0	0
42	0
85	1
0	0
0	1
4	9
0	2217
116	720
604	2214
0	2
0	0
23	2171
1	1
2	0
0	21
0	0
1	8
52	19
1	3
3	1
0	0
0	0
4	0
1	0
1	0
0	1
0	4
3	1
3	0
4	2
5	0
7	8
0	1
146	202
4	0
3	2
5	203
0	2
0	2
0	2
3	1
4	1
0	2
4	2
0	1
0	19
114	22
1	16
0	0
7	1
0	30
3	30
6	3
0	3
126	0
1	1
85	4
0	2
0	4
1	2
6	2
11	3
7	0
1	4
2	1
77	137
5	3
1	138
0	0
2	22
8	54
5	72
1	0
2	2
1	1
9	242
2	1
91	243
3	0
0	0
0	132
0	1
7	1
0	1
31	131
0	0
4	1
1	0
3	1
2	0
638	2
652	1
0	1
7	441
954	1080
0	0
0	34
0	122
0	1046
0	4
0	6
0	0
1	0
0	0
0	0
0	0
223	0
0	0
1	1
0	846
5	50
1	0
0	568
15	695
21	80
3	5
5	18
0	852
1	545
1	873
0	2
0	4
0	3
1	1
0	4
1	1
2	0
0	224
1	161
0	215
0	0
0	204
0	203
0	81
0	228
0	192
0	227
0	4
0	5
1	7
1	1
0	4
0	4
27	254
268	245
12	18
2	0
6	71
0	105
0	110
0	2
2	144
0	6
13	3
0	5
0	9
0	186
0	0
2	665
38	681
0	39
0	25
0	14
1	359
0	27
2	11
0	195
0	309
0	66
0	13
0	0
0	0
0	0
0	1
0	0
4	0
0	0
0	0
2	0
1	1
0	1
0	0
0	2
1	2
1	1
0	0
11	5
2	0
1	0
2	6
0	0
1	1
1	6
0	0
37	45
1	1
1	22
0	0
1	45
1	33
0	24
0	0
10	3
0	0
0	3
0	0
3	0
0	0
0	3
9	3
1	3
0	3
0	0
66	6
14	2
5	14
1	15
7	10
6	11
0	16
0	2
1	1
2	2
0	6
1	5
0	6
0	1
1	3
0	5
203	8
1	0
0	2
1	2
0	1
0	6
1	6
0	2
0	0
0	1
1	3
0	7
3	5
2	7
0	3
0	3
2	5
3	15
1	14
0	3
0	7
0	3
1	3
0	2
5	23
2	3
0	2
0	2
2	17
0	14
1	7
1	10
0	10
0	2
0	0
0	0
3	2
0	2
2	7
0	2
0	0
0	0
0	5
1	0
0	0
0	0
0	0
0	2
1	2
0	0
1	0
0	2
2	114
1	112
8	347
12	347
42	274
0	274
77	421
1	41
6	422
69	5
0	1
0	2
0	1
0	3
1	3
16	20
15	49
1	36
4	14
4	18
3	61
14	84
6	5
6	9
10	251
15	9
125	281
0	45
6	9
3	10
15	20
0	7
2	0
3	5
0	0
0	1
4	0
2	0
0	0
0	0
0	1
1	1
0	0
0	2
0	0
0	0
1	0
1	2
0	0
1	0
0	2
0	2
1	0
0	0
1	5
0	2
0	3
1	2
