UniqueCount	AmbigCount
0	7
778	7
0	0
0	0
6	0
0	1
0	9
1	23
1	0
0	1
0	15
3	1
0	1
8	0
4	0
0	1
1	6
4	0
0	12
1	17
0	0
3	1
0	1
0	16
3	6
0	2
1	2
0	9
3	1
2	4
0	1
1	1
0	12
3	3
2	0
3	11
4	1
0	3
2	0
0	1
1	2
1	1
0	2
1	0
11	6
16	169
6	16
20	169
2	5
14	5
0	0
0	6
0	0
0	7
0	1
0	29
6	5
1	0
0	0
0	28
9	29
0	21
0	0
1	0
72	0
0	14
0	1
0	95
22	95
0	1
6	0
0	1
0	0
2	1
0	1
12	4
0	9
0	9
1	7
1	11
5	50
0	38
9	0
32	1
0	3
2	3
0	0
0	0
0	8
0	8
0	1
67	4
1	3
0	4
6	6
0	2
1	0
2	0
15	1
5	1
29	0
0	1
11	0
0	1
0	1
0	1
1	0
0	0
0	0
1	24
1	24
0	1
3	0
6	2
30	35
24	35
15	21
1	7
0	0
4	1
0	0
1937	7
0	10
0	1482
36	346
5	557
1	255
2	17
34	406
37	1482
20	1
0	0
3	0
13	12
0	2
0	0
0	1
3	4
0	3
5	0
4	0
3	9
0	1
4	2
15	4
1	2
0	1
1	2
0	2
0	2
0	1
0	0
0	0
0	1
0	1
0	0
26	204
7	204
16	41
2	41
0	3
6	3
5	11
9	3868
30	15
185	1688
92	990
0	3887
1	0
0	0
2	0
14	0
0	0
7	2
0	3
7	5
1	6
0	5
0	0
2	1
5	2
2	4
0	2
4	3
64	39
0	0
1	9
0	1
2	9
4	4
2	3
12	14
4	2
3	3
0	5
7	0
1	3
4	11
3	10
8	13
8	4
38	0
0	1
0	2
0	1
2	4
3	0
6	2
115	0
16	0
0	5
0	1
3	4
2	3
0	3
0	0
1	0
4	2
2	0
1	2
2	1
0	1
0	1
0	1
1	0
2	0
0	0
1	4
2	3
0	1
0	0
0	2
10	4
0	0
8	6
0	4
1	4
0	1
0	3
0	1
1	3
0	1
3	0
3	0
0	3
0	17
0	24
0	17
0	24
1	0
0	15
0	1
17	15
0	0
2	1
0	4
0	5
5	1
2	0
21	0
78	1
2	1
9	0
2	7
0	3630
96	979
20	3001
0	11
0	2
20	3562
0	1
4	0
0	2
0	0
0	4
4	0
5	3
4	1
1	0
0	0
2	0
0	0
3	0
1	1
0	0
3	1
1	1
2	1
0	1
0	3
0	0
5	19
4	5
1	4
2	19
1	0
2	0
0	0
3	4
4	2
0	7
14	6
0	0
0	4
7	3
11	4
0	1
7	0
0	27
5	27
5	8
0	8
19	0
0	3
19	0
0	0
2	0
2	3
2	3
5	0
6	0
0	0
0	0
30	62
6	0
4	70
1	6
52	23
2	31
7	43
1	0
1	0
0	6
9	121
60	4
72	122
1	1
5	0
17	255
0	0
16	11
0	0
68	254
1	0
2	14
0	0
50	7
7	7
1407	28
644	3
0	3
11	649
1286	1622
0	0
0	71
3	252
4	1551
0	10
0	12
0	0
0	0
32	2
0	2
0	4
374	1
0	0
4	5
0	2141
11	143
51	0
17	1652
2	1881
38	291
11	9
15	53
0	2208
0	1554
33	2236
0	11
0	13
0	4
0	11
0	13
24	6
1	0
1	354
0	261
0	333
0	0
0	333
0	317
0	154
0	370
0	296
0	354
1	18
2	17
2	15
0	14
0	12
2	12
109	686
693	678
32	35
1	2
14	451
0	516
0	570
0	8
42	634
1	27
17	25
0	10
0	17
7	659
0	1
1	2333
117	2452
0	157
3	100
0	72
0	1353
0	108
0	29
1	630
0	1058
0	271
0	90
0	3
2	0
1	0
4	2
1	0
2	0
0	0
0	0
1	0
2	2
0	0
0	0
1	1
2	2
0	1
0	0
13	7
0	1
0	0
8	7
2	0
6	2
2	5
0	0
61	81
0	1
0	34
2	2
2	72
0	70
0	42
2	1
21	1
0	0
0	0
0	1
1	0
0	0
4	15
32	15
8	8
3	8
8	3
116	14
10	8
6	42
6	31
7	18
46	18
1	38
0	1
1	0
2	2
0	10
2	18
6	9
0	2
1	9
0	12
237	20
0	1
0	5
2	2
2	3
0	4
3	4
0	1
0	0
1	0
0	8
0	10
5	10
0	16
0	4
0	12
5	11
0	16
2	15
0	4
1	9
1	11
1	17
0	14
3	23
4	6
0	1
0	1
2	15
0	15
0	3
9	6
0	6
0	1
2	7
4	0
9	7
1	2
6	5
0	9
1	6
0	6
1	3
0	0
1	0
0	1
0	1
0	2
0	2
0	0
3	0
0	1
0	63
0	62
14	592
10	590
89	382
0	379
307	1531
12	215
6	1539
209	9
0	2
1	1
0	2
0	7
2	1
16	43
27	64
0	53
11	42
1	23
1	96
26	154
4	12
8	22
23	442
36	34
100	454
0	88
1	6
0	6
29	13
0	3
0	0
4	2
1	0
0	0
11	0
0	0
0	0
0	0
1	2
0	2
2	0
1	1
1	5
0	5
0	0
1	2
0	1
2	1
2	0
0	0
0	2
1	2
1	2
1	0
1	2
0	8
2	0
0	5
0	10
0	8
1	5
0	5
0	6
0	4
0	10
0	2
1	1
0	0
0	6
0	0
0	1
0	3
0	3
118	0
0	1
2	2
1	0
1	5
0	1
0	5
7	6
0	0
1	0
10	6
2	4
1	2
2	3
0	0
0	3
2	6
0	6
4	2
1	0
0	5
0	1
0	96
0	234
0	3
0	132
1	270
1	0
0	0
266	3
25	26
6	30
7	40
0	4
127	73
10	0
64	0
0	0
6	17
0	17
0	0
0	0
0	1
0	0
0	1
2	0
1	2
1	4
2	10
0	11
0	11
7	2
2	1
4	7
71	34
24	50
8	295
41	230
46	320
78	97
11	92
421	533
37	174
342	517
7	172
10	135
4	115
2	26
5	22
6	5
15	45
18	41
2	15
2	17
0	0
0	1
2	3
1	10
3	11
4	11
2	1
2	1
34	7
1	20
0	20
1	1
0	1
1	0
0	1
6	1
3	0
3	1
0	1
2	0
12	0
0	2
5	8
6	1
1	3
3	0
2	0
6	1
12	4
1	0
1	4
0	4
9	4
1	6
8	4
2	4
26	7
0	1
0	5
0	0
0	0
4	12
0	12
0	1
0	1
5	1
0	1
0	1
0	0
9	0
0	0
0	0
0	0
0	3
13	3
0	0
1	3
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
2	0
3	1
2	0
13	1
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
3	0
1	1
67	173
0	1
3	172
2	1
0	43
2	0
1	1
5	13
9	13
1	0
0	1
0	2
0	9
108	11
3	11
0	4
4	11
0	0
0	0
0	1
4	0
0	0
0	0
0	0
1	0
11	0
0	0
1	2
8	0
3	8
3	0
0	1
5	7
1	0
0	0
0	2
0	1
0	2
4	2
1	1
22	54
0	54
0	0
0	0
0	0
2	0
0	1
3	5
0	1
1	2
2	4
0	5
5	5
0	0
2	2
0	1
1	1
0	1
0	3
4	3
0	0
3	0
3	7
7	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	0
0	0
0	2
2	0
0	2
1	1
0	0
0	1
0	0
1	0
0	0
9	0
0	2
1	4
2	3
0	2
1	0
7	2
2	3
0	0
3	0
2	2
1	1
4	1
0	0
0	0
3	3
0	0
0	1
8	0
2	0
3	0
20	0
0	35
1	5
0	51
0	36
0	7
0	49
0	46
0	61
0	45
0	59
0	49
0	1295
1	122
1	1649
0	1316
0	1650
0	1624
0	1648
0	1644
0	1650
0	1295
0	21
0	1269
0	400
0	1624
0	24
1	78
2	1413
0	64
0	3
0	62
0	42
0	3
0	59
0	42
0	65
0	74
0	71
0	42
0	72
0	46
0	53
56	2650
18	2683
0	334
2	1413
147	2438
1	1
0	0
0	0
1	0
0	1
0	1
0	3
0	0
0	2
0	3
1	2
0	2
9	11
4	10
6	14
11	13
4	5
8	11
2	8
1	7
0	9
15	3
1	12
0	9
33	4
9	10
13	17
5	5
5	5
7	10
0	4
1	9
6	6
1	19
1	6
0	5
10	6
15	6
0	5
12	1
12	9
2	5
2	3
6	3
23	14
0	4
0	3
2	5
3	8
4	14
3	8
0	0
0	0
17161	38
192	4
1	4
26	136
10	261
768	318
0	36
0	41
0	18
0	7
0	6
56	0
48	1
0	0
0	1
7	1
0	0
0	0
1	0
0	0
2	3
0	3
1	0
6	3
0	3
2	0
5	2
3	1
0	3
0	2
0	17
1	3
0	7
0	15
3	24
0	21
1	13
0	30
0	6
0	14
0	26
0	1
4	1
1	3
2	2
0	2
1	0
0	2
0	1
2	0
0	20
3	0
5	26
1	0
0	16
0	10
2	2
3	0
0	1
4	2
15	1
2	1
3	1
5	3
2	2
1	1
1	0
3	0
28	7
0	7
21	0
0	0
1	0
11	0
1	0
6	2
4	8
1	0
0	5
0	4
0	1
1	4
0	0
0	3
0	1
9	4
0	5
5	13
1	13
4	4
4	0
0	9
3	7
1	1
1	0
0	0
0	0
3	0
3	0
1	0
0	2
14	3
0	2
4	4
54	3
75	10
28	10
0	0
8	2
0	0
0	68
7	154
11	194
0	199
0	0
5	236
16	266
14	263
13	239
92	18
1	1342
0	1342
4	393
0	194
26	1334
4	196
0	18
0	14
0	0
0	3
0	2
0	4
0	11
0	3
0	3
0	11
1	9
0	3
0	3
0	243
0	75
83	22
3	233
1	27
7	49
0	45
18	9
7	0
16	5
31	5
10	13
41	69
27	106
0	100
2	0
1	12
0	542
3	5
236	542
0	0
0	0
1	0
0	0
0	0
0	0
0	4
87	4
4	46
9	46
27	0
1	1
7	1
0	40
11	97
67	90
14	57
0	42
6	173
15	38
7	174
0	0
5	4
1	216
0	0
18	49
35	331
1	3
0	63
161	336
14	13
32	5
0	0
33	24
5	20
0	0
35	0
2	1
3	22
15	22
0	1
0	6
0	64
0	61
0	19
24	45
1	28
0	40
0	59
0	15
0	31
1	9
0	10
8	28
0	34
1	0
5	4392
243	4395
0	0
69	2562
14	198
1	1668
9	1895
24	1380
0	9
0	2
0	1154
15	1118
12	51
0	5
50	1189
9	880
34	1132
0	91
1	37
1	708
0	49
3	19
9	119
42	168
0	0
5	0
0	0
0	0
0	0
0	0
2	3
0	7
0	3
0	1
1	5
0	1
0	6
0	1
0	8
0	7
0	7
0	12
0	6
0	6
0	7
5	6
0	6
3	7
0	0
3	5
0	6
2	3
0	4
0	5
0	0
1	0
3	3
0	1
0	0
3	4
0	3
2	1
2	8
11	39
0	20
1	26
0	11
2	24
45	115
0	12
7	11
0	11
1	6
0	99
0	2
1	2
0	0
0	0
0	0
2	1
6	0
4	165
3	51
608	217
1	0
0	4
1	5
0	1
0	2
0	2
0	4
0	5
2	0
0	5
3	4
2	2
0	0
1	0
1	3
1	0
14	7
0	7
2	16
0	4
0	13
0	11
2	11
5	15
0	0
1	13
1	0
3	2
0	9
0	0
2	3
1	5
2	3
5	2
2	1
2	0
0	1
0	16
3	21
1	7
0	0
4	6
4	0
0	2
8	6
0	20
4	16
0	4
3	4
0	26
256	35
21	26
2	22
1	14
1599	33
0	0
2	0
0	569
0	605
0	606
0	593
2	87
6	108
0	0
68	904
1	12
2	115
10	904
0	91
154	91
205	0
0	29
0	321
0	687
0	687
2	0
1	0
2	0
2	0
6	0
8	0
5	0
0	2
0	23
1	2
0	1
0	23
0	4
1	1
1	1
12	0
0	5
5	1
5	3
0	5
0	23
52	23
1	4
0	1
1	40
228	44
0	4
6	0
0	0
0	0
1	0
6	0
0	2
0	9
0	92
0	94
8	193
0	67
17	195
0	0
0	0
0	1
2	132
38	244
0	130
0	242
6	1
1	2
1	4
0	1
0	3
5	2
37	1
4	0
0	2
0	10
0	11
1	8
2	3
0	1
1	3
0	3
2	5
19	6
2	8
7	4
12	2
2	0
6	44
0	25
0	1
15	39
0	2
5	9
0	4
365	9
0	9
674	0
891	0
0	1
1	1
3	0
2	0
0	2
0	1
0	0
0	1
0	2
1	0
0	0
0	0
0	1
0	3
0	5
0	2
0	3
2	5
0	2
0	0
0	0
0	0
3	9
0	2
1	5
0	9
1	0
0	0
0	3
1	5
2	5
1	0
1	1
0	1
1	1
0	12
4	11
5	9
2	9
1	0
0	1
0	6
0	4
0	2
5	5
1	2
0	0
0	0
0	1
1	0
0	0
2	2
0	0
0	3
0	1
108	0
0	1
2	2
27953	10
0	60828
1	60828
0	60834
0	60834
0	60834
0	60828
0	60828
0	60834
0	60834
0	60834
0	0
0	2
0	7
1	4
1	5
0	2
0	7
2	4
5	1
0	2
0	2
0	1
3	3
0	2
3	6
4	2
1	1
2	2
0	0
2	3
5	2
0	8
1	12
0	2
3	2
4	3
1	2
2	2
0	9
13	12
3	10
18	10
0	0
0	11
0	11
1	0
0	0
1	0
1	0
3	0
