UniqueCount	AmbigCount
69	373
0	310
6	78
2	96
90	456
28	210
42	58
16	253
15	203
62	66
4	82
9	129
67	25
0	183
0	116
7	201
1	179
2	158
2	203
0	122
0	37
6	37
0	0
0	111
5	3591
95	585
33	408
10	419
36	2800
0	3227
0	533
0	2997
165	3063
0	282
1	101
0	93
79	93
105	0
0	727
0	716
0	713
0	724
0	0
2	5
1	5
0	48
0	188
0	7
0	65
0	147
0	24
165	98
2	0
2	2
2	0
1	0
0	0
1	1
2	2752
25	2326
0	3188
845	3491
4105	2711
1531	541
10	29
0	34
0	5
0	5
0	34
0	0
0	0
0	0
3	3881
0	392
0	1763
0	5097
38	3823
0	5170
0	5163
0	1777
0	5090
0	379
1	255
0	654
0	654
6	447
0	496
0	448
0	699
0	0
28	0
20	1721
0	136
5	445
9	436
0	188
0	960
0	1778
10	952
0	400
0	454
0	1768
1	86
9	423
138	717
5	637
4	924
9	449
1	0
1	1
0	0
0	0
0	0
0	1
1	4
1	4
0	0
0	0
0	1343
7	1229
0	1201
0	1291
1	150
0	1382
0	335
5	1299
0	1108
0	421
0	1162
21	222
8	129
0	391
0	23
0	1258
0	18
0	0
8	0
0	0
4	0
0	252
2	329
0	922
4	8
4	61
8	857
0	5
0	82
0	506
0	954
0	960
1	433
4	974
5	16
0	477
0	720
0	9
0	687
0	862
7	0
0	0
0	399
0	391
0	398
0	67
0	399
125	359
6	80
76	359
77	43
323	0
6	20
12	697
146	716
0	0
8	526
9	93
1	93
0	0
2	0
43	226
0	5537
0	102
0	4286
0	4111
0	2627
0	2322
3	5129
0	2459
1932	102
0	5713
0	2190
5	5442
0	169
93	32
0	418
0	30
80	78
17	28
0	50
0	225
13	230
0	47
2	53
27	85
9	162
0	53
5	219
204	35
0	0
22	390
2	81
4	0
2	62
12	62
6	90
8	90
0	1
4	92
8	92
0	8
15	10
38	396
0	396
1	0
0	0
0	0
10	35
4	3
55	466
80	692
2	1364
5	13
3	1362
16	42
0	0
6	7
0	7
7	3777
6	4940
3	920
927	5816
5	716
37	3659
0	4587
2	69
283	4577
33	3660
3	0
1	0
66	0
0	534
3	123
0	268
12	35
0	98
5	598
12	236
1	371
13	598
4	0
0	393
0	50
12	363
10	84
0	373
0	393
1	317
0	73
0	6
1	366
0	357
2	35
0	110
6	113
5	111
0	97
0	324
1	190
0	439
0	205
0	215
2	91
0	9
0	558
1	0
1	639
6	403
1	650
61	90
0	58
0	607
0	533
0	548
3	102
0	67
7	5
0	383
0	74
0	650
0	301
1	228
14	378
3	306
0	340
0	378
0	264
18	1
1	0
1	261
0	333
0	0
8	445
0	588
0	548
3	614
0	164
19	0
0	14
0	559
0	2
3	3
83	21
27	305
0	65
0	305
0	222
0	0
3	0
4	0
2	1944
6	2941
0	2158
0	1912
0	2923
0	106
4	2614
129	2368
276	137
20	2340
2	2632
168	3669
602	2508
44	1
0	532
0	13
0	579
0	6
5	513
1	431
41	2244
51	2227
0	13
15	167
0	2299
0	776
236	0
65	99
78	99
107	0
169	0
176	0
101	305
5	305
1428	0
82	0
0	103
19	509
7	509
49	4
14	4
0	2
6	142
4	198
0	240
0	240
0	234
4	170
0	289
0	289
0	234
0	109
0	235
6	295
0	159
69	138
2	123
0	4
1	51
0	53
1	3
0	1
0	2
0	6
0	6
5	6
0	0
1	1
0	703
0	0
0	0
0	691
0	158
78	590
3	367
0	0
5	635
15	367
0	26
5	245
5	134
1	113
1	354
2	57
2	354
0	0
0	364
0	0
1	787
5	640
25	279
0	225
0	438
8	594
1	364
76	17
0	1477
90	248
