UniqueCount	AmbigCount
94	455
0	345
6	100
1	109
87	544
48	253
49	50
28	256
17	212
49	66
7	70
10	143
44	29
0	234
0	163
5	226
0	223
2	201
0	232
6	172
0	47
11	47
0	0
3	204
9	6122
126	947
66	741
3	673
284	5191
20	5854
0	819
59	4953
70	5274
0	460
0	187
0	105
98	105
84	0
0	739
0	753
0	748
0	734
0	0
4	4
3	4
0	62
0	249
0	8
0	90
0	195
0	36
232	115
30	1
1	6
6	1
1	0
8	0
1	0
0	1
0	4
0	0
0	4
1	0
0	0
0	0
0	1
0	1
0	1
0	1
559	0
0	0
0	0
0	4693
1	427
0	1970
0	5810
82	4492
0	5881
0	5997
0	1870
0	5925
0	417
2	388
0	865
0	865
6	579
0	626
3	577
0	921
0	0
24	0
17	2053
0	222
5	590
5	562
0	278
0	1024
0	2121
20	1109
0	578
0	634
0	2095
0	105
6	421
164	956
3	851
0	1009
22	644
4	1
0	3
0	0
2	2
0	0
0	5
2	2
1	2
0	0
0	0
0	1270
12	1223
0	1220
0	1270
1	139
0	1331
0	428
3	1254
1	1159
0	486
0	1159
15	180
31	79
1	439
0	41
0	1201
0	15
2	0
10	0
1	0
9	0
0	379
0	500
0	1251
3	8
1	94
4	1196
0	7
1	129
0	726
0	1344
1	1340
0	602
0	1324
1	21
0	694
0	1084
0	5
0	1022
1	1250
5	0
0	0
0	1060
3	1049
4	1064
17	356
0	1061
157	548
4	131
31	548
55	75
408	0
5	14
8	380
107	394
0	0
1	259
3	40
0	40
0	0
0	0
46	234
0	5600
0	107
0	3941
0	3716
0	3213
0	2891
7	5157
0	2990
1676	107
0	5825
0	2710
5	5589
0	158
134	26
0	485
0	29
102	75
27	27
0	47
7	249
16	269
0	54
2	63
41	99
4	160
0	54
8	264
135	31
0	1
35	474
1	81
9	0
1	63
10	57
0	96
21	96
0	0
7	148
7	148
0	6
16	7
34	506
0	506
4	0
1	0
0	0
11	59
5	1
124	737
120	1058
7	2125
8	7
1	2117
28	68
3	0
4	17
0	15
4	5682
10	7468
1	1300
1507	8717
5	1020
21	4210
0	5221
5	39
420	5220
163	4202
0	0
0	0
3	0
0	582
2	172
2	330
16	45
0	139
6	669
9	248
1	431
25	670
7	0
0	614
0	90
1	544
8	121
0	582
1	626
4	347
0	83
1	1
0	397
19	397
2	58
1	180
11	182
0	173
1	86
0	392
0	345
0	772
0	320
0	313
0	78
0	7
0	844
4	0
1	868
13	545
2	843
56	97
2	105
1	821
0	685
0	707
3	155
1	116
7	1
0	532
3	139
0	879
0	411
0	273
28	520
1	432
0	429
0	505
0	336
13	2
1	0
1	286
0	425
1	1
10	501
0	699
0	643
1	720
0	205
30	0
1	6
0	665
0	5
3	5
66	33
57	465
0	101
0	465
1	341
0	0
1	0
11	0
0	2242
0	2751
0	4751
0	5288
0	9402
0	12
0	2336
0	2228
0	11
2323	12324
0	2748
1	2749
1	1090
0	0
3	620
3	6
0	678
0	5
10	576
3	445
45	2232
67	2275
0	21
23	199
0	2306
0	800
331	0
105	64
36	64
98	0
225	0
274	0
161	461
43	461
2366	0
126	0
0	87
26	541
8	541
30	7
13	8
0	16
9	447
6	495
0	795
0	787
0	701
1	443
0	744
0	752
0	709
0	352
0	274
7	343
0	138
70	214
0	94
0	7
0	99
0	104
0	11
0	0
1	11
0	5
0	5
4	5
0	0
10	3
0	1345
0	0
1	0
0	1331
0	346
144	1186
7	788
0	7
5	1167
10	816
1	36
6	276
6	138
0	116
2	383
7	60
6	383
2	0
0	445
0	1
2	464
3	237
24	319
0	236
0	28
30	769
1	486
92	28
0	1293
86	311
2	516
4	1493
0	885
10	303
0	731
0	1054
1	694
19	1037
5	1036
8	1039
0	3544
1	174
64	3641
28	324
6	165
43	163
27	17
2	18
0	12
2	8
2	0
0	0
2	1
6	0
24	0
349	10
1	10
0	5651
589	5651
159	5302
3	1180
4	36
0	814
0	1472
21	20
9	40
0	1247
8	1202
58	64
3	1235
0	1504
46	1334
0	10
0	12
0	36
0	63
0	65
163	340
0	176
2	70
5	21
1	198
0	2
2134	1813
8720	2
0	3071
0	3071
226	2580
110	2580
591	0
118	0
434	3762
156	3758
9	0
6	10
0	3
4	10
262	0
0	0
0	0
109	0
13	0
2	0
0	439
0	420
0	167
0	821
0	901
0	402
2	0
0	0
3	159
0	803
1	98
0	919
0	421
0	334
0	443
0	622
0	610
0	592
0	604
0	714
0	451
0	13
6	703
0	553
0	460
0	30
0	642
0	15
28	650
0	644
7	16
0	815
0	2
0	302
0	283
3	268
20	302
1	210
0	7
0	314
0	349
0	317
0	224
3	3
3	2
5	3
3144	2234
3	2270
12	2235
0	2355
11	2224
0	1928
0	2345
4	241
2	3020
168	9111
2129	9208
4045	10827
4	700
0	730
0	558
0	742
0	634
0	546
0	733
4	72
0	646
3	52
1	52
188	27
0	52
1	14
27	183
1	49
0	173
0	243
0	24
3	9
0	249
22	0
0	0
8	0
0	0
0	0
355	0
8	221
0	440
0	375
0	375
1	1132
0	178
0	183
15	46
0	873
0	474
0	373
15	434
0	111
11	3
2	61
0	441
145	19
10	321
4	19
325	2102
0	373
0	0
42	0
53	0
6	0
1	0
0	668
132	668
262	209
12	34
26	49
46	49
37	405
0	201
0	354
0	201
6	302
89	5155
4	67
3	1035
16	5
1	3781
1	4627
0	3253
0	3
0	107
0	71
0	143
0	105
0	6
0	163
0	606
1	1
28	606
78	91
0	91
9	56
0	86
0	20
1	1
2	20
0	36
2	338
1	297
2	104
7	340
1	0
0	5787
1	5315
34	5313
0	5787
0	0
1	16
0	347
0	343
0	395
0	310
8	301
0	354
0	362
0	395
0	0
0	302
0	340
0	354
12	40
0	97
10	734
64	28
81	582
10	620
10	553
23	808
0	96
3	45
26	759
21	47
6	734
3	67
1	0
6	86
0	86
1	198
10	298
0	245
0	0
0	0
0	588
0	590
0	408
13	17
0	373
9	511
0	401
0	77
2	165
0	70
0	390
0	590
0	399
0	568
3	17
20	17
17	98
10	18
13	116
11	1004
6	2737
0	2840
0	1565
0	6
0	2760
0	305
0	2710
0	2810
0	1450
1	2744
0	2847
2	2714
0	2789
0	2817
0	505
0	0
106	505
21	9599
0	4970
0	5336
99	8934
14	8871
3	10061
2	23259
0	34349
0	34365
4	31246
5751	49246
9635	34177
1348	28494
785	26344
31066	38922
5507	42560
0	27720
1486	101
3	25
2	17
0	17
2975	3143
350	2079
0	4098
0	1124
356	623
19	523
8372	79
2	100
164	1089
92	250
10	839
9	6
0	6
0	350
0	332
0	278
0	18
0	329
2	285
0	265
0	155
0	264
0	40
0	41
0	233
0	213
0	74
19	68
0	237
0	163
0	167
0	191
31	102
0	209
0	187
241	169
0	169
6	91
32	1800
0	1871
593	5709
0	53
32	6543
20	6142
0	1871
67	91
64	53
204	0
51	0
158	4
3	0
0	38
14	38
0	0
27	0
0	0
0	782
3	749
0	635
4	515
5	662
0	379
0	53
0	555
0	589
0	593
0	551
0	552
0	590
0	378
0	382
0	77
82	0
16	0
80	0
0	307
0	336
1	193
0	348
0	373
0	402
0	162
0	377
0	658
0	643
0	20
198	536
2	178
0	186
0	192
2	187
2	34
4	34
115	0
1	386
411	386
0	0
0	0
1	0
0	0
0	0
0	0
51	3465
