UniqueCount	AmbigCount
183	1610
1	1424
57	471
17	621
232	1948
206	1191
348	357
73	1143
78	1004
405	315
46	415
47	787
297	108
0	450
0	311
14	447
0	453
2	383
0	438
7	337
0	48
9	48
0	0
2	471
5	12014
146	2342
289	2145
63	2082
154	10779
416	12297
40	2260
3	9730
174	10924
1	1483
2	425
0	145
92	146
190	0
0	911
0	910
0	899
0	900
0	0
1	5
31	5
0	116
0	329
0	19
0	139
0	232
0	42
244	142
24	1
2	4
7	0
5	0
8	0
10	0
0	4
0	4
0	3
0	7
0	1
0	2
0	0
0	3
0	3
0	4
0	4
1	1
49	78
0	78
1	5960
0	635
0	3317
0	7631
145	5768
0	7729
0	8034
0	3017
0	7936
3	611
0	477
2	1239
0	1239
7	898
38	983
6	891
0	1280
1	0
26	0
22	3072
0	217
3	629
13	600
0	271
0	1301
0	3108
23	1400
0	598
0	652
0	3077
3	129
16	602
289	1673
11	1516
2	1285
1	671
12	2
0	0
0	1
0	2
0	1
1	2
5	5
0	5
0	0
3	0
0	1369
13	1321
0	1280
0	1396
2	163
0	1418
0	372
1	1298
1	1258
0	394
0	1231
20	399
39	224
0	357
0	25
2	1344
4	44
8	0
18	0
25	0
3	1
0	339
0	587
0	1312
2	20
0	129
11	1249
4	20
0	190
0	665
0	1376
0	1375
0	563
2	1377
0	28
0	637
0	1097
21	12
0	1002
6	1266
14	0
0	0
0	1187
8	1181
0	1191
7	353
0	1191
210	775
9	284
92	772
73	142
619	0
19	101
15	1363
191	1451
0	0
10	1046
9	106
0	106
0	0
1	0
45	489
0	6580
2	256
0	4791
0	4603
0	3799
0	3409
2	5959
0	3610
2997	256
0	6768
0	3233
9	6533
0	236
164	58
0	698
0	58
133	127
68	58
0	86
2	306
6	328
0	93
7	91
51	138
7	221
0	101
7	311
251	64
0	0
54	666
2	110
9	0
0	123
15	114
13	170
11	170
0	0
17	181
13	181
0	8
19	8
43	697
36	697
9	0
5	0
7	0
22	67
3	4
65	804
103	1082
3	2089
23	15
3	2084
36	77
77	0
5	14
0	14
1	4747
12	6419
9	2023
1111	8352
6	1713
32	5397
0	6298
13	90
363	6293
98	5392
0	0
0	0
10	0
0	1257
6	433
0	855
15	106
2	383
15	1591
13	536
1	935
30	1591
6	0
0	640
0	86
5	592
8	111
1	604
0	646
2	334
1	76
1	4
0	359
8	351
0	79
9	210
17	212
0	196
0	95
0	299
0	318
0	556
0	191
0	196
0	82
0	8
0	664
3	0
1	1065
28	712
3	1084
38	113
1	98
0	1050
0	891
0	922
2	189
0	114
1	9
0	678
0	142
0	1088
0	626
7	468
10	772
0	633
0	686
0	771
0	542
14	2
1	0
1	252
0	540
0	1
9	551
0	785
3	726
2	803
0	287
67	0
0	26
1	744
1	12
4	12
68	39
56	452
0	107
0	454
2	329
1	0
2	0
16	0
5	4171
39	8208
4	2735
0	3923
0	6980
140	211
1126	3413
24	2898
15	226
0	4045
0	7042
1003	8241
529	6214
0	1
22	880
0	35
0	984
0	17
23	855
0	515
32	2675
106	2751
0	33
42	340
0	2750
0	1081
343	0
131	146
69	146
188	0
288	0
455	0
193	491
6	491
2470	0
149	1
0	157
30	761
6	761
58	30
13	30
0	14
9	478
6	529
0	678
