UniqueCount	AmbigCount
1	0
0	917
10	735
2	197
0	1130
0	917
777	1036
0	778
0	1233
0	6902
0	5573
1	5358
321	6881
1019	5189
0	11
0	19
44	35
3	12
19	5
0	7
0	7
7	0
22	1
3252	41
3730	25438
96	22612
1424	22612
460	25435
1664	24388
450	17772
607	10147
5192	26844
206	26843
68	7
5108	128
0	43
2	0
0	4151
120	3481
3	581
59	294
31	552
1	638
0	3955
1	3292
0	492
0	3988
0	4118
0	3105
18	1
7670	4584
60	4581
0	159
1	39
0	3
0	35
0	159
0	2
0	103
0	238
0	262
0	224
9	202
5	0
0	0
5	0
5506	8884
8	8884
1	7155
3	0
0	7259
15	2820
2	3834
3	513
0	7778
0	3019
0	3826
0	3023
0	5851
4	43
0	5894
0	5852
0	7738
0	3018
0	7780
0	7737
11	6763
0	3022
14	550
6	180
10	180
144	136
18	3786
149	4257
91	3613
0	3841
7	3762
61	2847
14	3736
5	472
19	68
0	153
2	137
0	68
38	0
5	11
0	7
3	7
0	11
41	0
1	674
73	5991
0	2650
0	4
0	6009
0	0
2	3
1	108
0	45
0	46
0	45
0	47
0	26
0	48
1	56
0	45
1	106
0	28
0	0
3	106
303	174
1810	1309
18	1123
163	973
0	0
0	0
2	0
2	6
0	6
21	85
62	45
26	80
107	251
138	28
45	21
2	87
9	21
250	253
8	4
40	4
0	121
0	115
0	79
0	144
0	3
0	138
0	141
0	135
10	0
16	60
0	29
0	39
0	11
0	12
42	177
204	176
0	826
796	932
476	663
0	496
0	23
6	3
93	29
100	312
0	318
2253	3
2075	6
2304	1
0	897
0	3297
0	813
0	841
0	3373
0	3198
6	7
3	757
0	3797
3	3376
0	3972
0	3122
223	1
3	403
17	3197
6	2031
3	3814
39	0
349	0
2	2
44	0
3	8527
0	7352
0	22168
9	1720
2941	22207
41	15787
0	15995
0	21639
31	18073
39	20155
58	259
62	259
410	673
99	676
1	3
40	1
7	3010
10	642
2	2160
11	2899
1	1144
7	674
0	1857
8	2335
0	1046
0	276
1	0
9	0
13	0
59	0
12	0
0	16
26	401
10	1966
6	2864
24	1304
16	245
3	5
4	2699
404	3037
4	122
0	355
2	1723
0	905
7	0
0	1082
0	4
9	24
0	1441
0	581
70	394
0	940
4	447
4	25
0	404
4	1401
3	0
31183	1187
14696	24
5	0
2	0
4	0
0	1426
3	1491
0	1599
8	1372
2	18
2	18
4	7703
0	8989
111	9008
108	30
0	8037
0	554
0	8922
13	8886
1	41
0	554
1	7707
0	85
0	33
41	114
0	81
1	906
2	1608
11	0
0	0
132	2480
1	829
14	2398
0	1620
0	628
4	412
0	176
16	1464
0	1913
0	1872
26	53
18	53
487	1
0	0
4	0
13	0
473	27
645	19143
1	7
1578	19144
35	4
0	1061
0	225
0	297
0	452
0	1075
0	311
14	426
0	517
4	1559
0	1624
70	126
444	244
22	256
9	256
464	0
1668	6
0	879
1639	880
32	0
2	0
0	15297
75	11040
0	14005
4	14863
3	5535
0	15560
0	14481
0	8674
0	14717
232	15050
2	12508
11	8482
20	316
3	348
92	318
336	11133
0	13759
0	14836
