UniqueCount	AmbigCount
0	0
0	0
2	0
0	0
3	0
9	24
1	112
0	114
0	112
5	1
8	0
0	22
5	13
11	35
34	8
7	0
4	0
2	0
1	0
1	0
0	0
0	0
2	0
0	0
4	0
0	56
0	56
0	48
0	41
0	48
0	45
0	0
0	56
0	41
0	0
0	45
0	48
0	56
0	48
4	1
0	12
0	351
1	314
3	2
1	362
1	74
0	147
0	0
1	76
0	22
0	20
0	77
0	28
0	9
0	15
0	0
0	0
0	16
0	19
0	96
0	0
0	0
0	45
3	72
68	111
0	99
0	46
8	16
9	0
0	0
0	0
0	0
1	0
17	0
0	1
0	1
9	18
14	18
1	14
0	1
0	10
21	4
0	8
1	8
0	0
0	3
0	1
0	9
7	10
0	4
0	1
0	1
0	1
1	24
0	7
0	135
0	170
0	210
0	185
0	190
7	115
0	190
0	217
0	59
0	194
7	1
0	1
0	0
56	23
3	22
1	4
0	1
0	1
1	3
5	2
0	1
1	0
2	0
0	0
0	0
0	0
0	1
1	1
4	0
0	0
0	24
0	28
0	44
0	40
0	0
2	0
4	0
0	2
0	2
0	1
0	1
1	0
7	0
0	0
0	0
0	0
74	0
0	186
3	182
1	0
0	70
0	81
2	32
17	196
0	0
0	2
6	2
0	0
4	0
3	0
0	0
2	0
4	0
0	34
1	34
0	1
0	129
2	130
61	293
0	188
13	0
0	0
0	0
0	0
1	0
0	0
2	2
0	2
0	2
0	1
2	0
0	1
0	1
0	1
1	0
0	0
0	1
0	1
0	5
0	5
0	10
25	10
1	0
66	4
4	4
1	4
2	4
0	3
0	3
9	0
1	0
0	0
1	0
0	0
4	0
146	3
0	3
0	0
0	2
1	18
154	23
1	28
2	3
0	14
7	27
0	15
1	37
0	1
0	36
1	18
9	18
0	1
1	0
30	0
1	0
3	0
0	0
2	0
10	1
3	14
0	0
7	14
0	0
8	0
1	0
0	7
3	7
4	0
14	0
1	0
0	0
0	1
0	0
0	0
4	0
0	0
15	3
0	3
0	0
1	1
1	1
0	1
0	1
1	0
0	2
0	2
0	0
12	1
0	1
2	0
0	1
0	1
0	2
1	1
0	2
0	1
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	9
16	9
5	47
8	0
17	168
20	117
6	145
1	2
1	2
5	1
2	1
0	29
0	50
0	30
0	69
0	68
0	51
0	4
0	0
0	0
0	26
0	3
5	82
0	77
0	38
0	4
0	68
0	0
1	0
0	0
3	3
0	3
1	0
16	0
2	0
7	0
82	0
36	0
36	0
0	0
0	5
0	0
0	22
3	3
1	0
0	22
0	240
6	2
107	13
103	203
24	205
0	1
201	130
0	218
1	138
0	240
145	80
0	218
1	2
0	0
0	24
0	72
0	30
2	33
0	78
0	0
0	0
4	0
