UniqueCount	AmbigCount
0	1
0	1
3	0
4	0
0	0
2	29
3	147
0	147
1	147
0	0
2	0
0	3
2	2
3	8
9	5
3	0
4	0
3	0
1	0
0	0
2	1
4	1
0	0
0	0
4	0
0	79
0	87
0	67
0	77
0	75
0	82
0	9
0	80
0	78
0	10
0	83
0	74
0	86
0	68
7	1
8	17
12	366
0	351
0	0
2	383
2	95
0	158
0	0
5	151
0	30
0	26
0	136
0	57
0	36
0	68
0	3
1	2
0	77
0	20
0	167
0	0
2	0
0	70
3	169
139	211
3	223
0	70
1	48
3	0
0	0
4	0
0	0
1	0
11	0
0	0
0	0
1	13
1	13
0	12
0	0
13	15
1	15
4	1
5	3
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
3	63
0	1
1	327
0	425
0	483
0	444
0	420
1	237
0	450
0	491
0	127
0	449
0	1
0	5
0	0
150	70
2	65
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	1
1	1
4	0
0	0
0	8
0	10
0	6
0	4
0	2
0	2
4	0
0	1
0	1
0	0
0	0
0	3
10	2
0	0
1	2
0	1
121	0
0	354
1	354
3	0
0	144
0	217
0	101
32	408
0	1
0	1
7	1
0	0
4	0
0	0
0	0
0	0
17	0
0	41
1	41
2	2
3	395
0	397
121	793
0	491
74	0
3	0
0	0
1	0
1	0
0	0
0	4
0	3
0	4
0	4
0	0
0	0
0	4
0	1
2	3
0	3
0	4
0	4
15	28
3	28
0	13
114	13
0	0
83	1
2	1
0	2
0	2
0	1
0	1
15	0
0	0
1	0
2	0
1	0
1	0
267	5
0	5
0	0
0	9
0	59
309	84
0	96
2	5
0	39
26	98
0	25
10	108
0	9
0	98
0	68
17	68
0	4
0	0
163	0
5	0
0	0
0	0
0	0
6	0
5	45
0	1
23	45
1	0
21	0
0	0
6	9
0	9
1	2
33	0
1	0
0	0
0	1
0	0
0	0
8	0
0	0
10	0
2	0
3	0
1	3
0	3
2	3
4	1
1	1
0	3
0	3
0	0
24	6
0	0
5	1
0	0
0	0
1	6
1	0
0	6
0	7
0	0
6	1
1	1
1	0
0	0
0	0
0	0
5	4
19	4
9	87
13	0
48	263
25	159
2	215
0	0
1	0
5	1
0	1
0	31
0	77
0	31
0	97
0	97
0	77
0	8
0	0
0	0
1	79
0	4
19	141
0	150
0	106
0	3
0	139
0	0
3	0
0	0
0	2
0	2
0	0
35	0
10	0
0	0
206	0
64	0
84	0
1	0
2	1
0	0
3	28
2	4
1	1
1	28
0	4546
1	51
161	35
3	838
60	3328
1	13
334	218
0	4241
116	976
0	4545
244	120
0	4240
4	60
0	0
0	52
0	165
0	68
4	79
2	181
0	1
0	1
30	0
5	0
2	4
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	5
4	10
0	1
0	0
0	11
2	0
0	251
0	146
0	269
0	270
0	242
0	39
0	226
0	245
6	1
5	261
0	225
0	243
0	7
0	66
0	244
0	252
0	174
0	15
0	55
0	105
8	105
0	24
68	0
0	0
0	36
44	36
1	69
0	41
0	47
1	1
0	1
0	0
0	0
0	0
57	0
0	17
9	17
146	23
0	24
1	0
2	0
0	526
0	402
0	680
1	215
105	223
0	727
0	531
0	98
0	0
0	0
8	0
5	2
0	0
0	0
0	88
0	9
0	40
1	186
0	3
0	84
0	265
0	0
0	261
0	12
0	17
2	9
0	0
1	0
0	0
0	0
0	0
8	0
2	0
11	0
7	0
0	41
0	11
0	37
1	47
0	38
0	1
3	47
3	43
0	38
3	28
0	7
14	7
149	0
31	8
0	8
0	1
2	3
3	0
2	0
0	0
5	0
2	1
0	1
0	1
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	2
5	2
1	2
3	5
2	5
174	1
10	1
24	25
25	25
0	0
139	2
0	1
0	2
0	0
0	1
0	0
0	4259
1	1937
12	3117
0	4259
39	3831
0	4259
2	17
3	2184
0	0
0	0
1	0
4	0
10	0
5	9
0	9
0	2
11	14
9	14
3	52
8	52
3	3
0	1
0	4
1	18
67	18
8	0
0	3
0	27
30	30
2	0
3	0
0	0
2	0
70	0
0	0
0	3
1	2
4	1
4	28
1	28
0	91
0	93
0	68
0	65
0	7
0	0
0	69
0	2
0	90
0	94
0	66
69	0
1	0
0	2
0	2
0	0
5	0
12	0
0	0
4	6
0	115
0	79
93	182
0	4
0	181
4	0
0	19
4	26
0	0
0	0
0	0
0	0
91	26
1	24
0	1
1	25
23	0
0	0
5	75
9	24
0	12
0	54
0	36
0	30
0	1
0	18
0	7
0	0
2	0
0	0
0	0
0	0
1	0
0	0
16	0
0	3
0	0
0	2
1	14
0	2
0	14
0	0
0	3
0	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
10	1
3	0
1	0
3	1
0	0
6	0
1	155
0	171
8	119
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
1	1
0	1
6	0
0	1
0	1
1	0
1	0
3	0
1	0
0	0
15	4
0	4
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
4	14
1	14
0	16
0	12
1	8
0	15
0	11
0	282
0	455
0	205
14	249
0	292
0	465
0	0
3	0
0	0
0	0
1	0
0	0
1	0
2	1
0	1
0	0
0	0
0	40
1	0
2	0
10	469
30	273
3	106
0	0
2	96
0	4
0	319
0	146
1	0
0	2
1	0
18	141
0	1
0	139
0	48
1	46
0	3
1	1
0	0
1	0
0	0
0	0
0	0
0	7
0	8
0	19
0	0
1	0
0	37
1	6
0	10
0	39
8	6
0	0
0	2
8	15
0	16
0	0
0	0
1	1
0	0
0	0
1	0
0	0
2	6
0	0
0	0
1	7
0	0
1	6
0	0
0	20
21	21
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
1	0
2	1
3	0
0	0
1	0
5	136
4	131
9	146
0	0
1	109
13	99
0	58
1	99
1	0
0	4
0	31
0	0
0	47
12	3
0	33
7	36
16	22
0	1
13	9
1	36
3	42
7	29
1	1
0	2
2	34
1	18
0	0
1	3
2	20
4	72
0	60
5	0
60	31
0	31
0	0
0	8
43	8
0	96
0	27
0	87
0	91
0	24
0	56
2	8
0	0
0	3
2	0
0	0
0	0
0	237
27	94
0	241
0	235
0	231
0	0
1	0
0	0
0	0
0	61
0	27
0	61
0	0
1	13
0	66
3	58
1	12
0	32
0	25
0	1
0	0
3	0
0	0
4	0
0	1
6	66
0	85
1	93
0	43
0	14
1	8
0	82
1	43
8	43
0	39
12	37
0	33
0	1339
10	203
0	6
8	402
0	1122
8	18
2	1147
0	17
0	21
0	1187
1	0
1	0
0	0
1	0
0	0
2	0
0	2
0	52
0	52
1	4
3	0
0	11
4	31
1	3
2	32
1	0
6	361
1	83
1	20
0	180
0	21
9	260
6	372
0	449
0	3
1	286
1	0
0	0
0	0
0	0
0	0
0	0
10	0
1	0
0	0
0	48
0	2
7	4
0	3
3	48
0	0
1	0
0	0
1	0
0	0
0	0
5	0
3	0
0	0
2	1
0	1
121	0
204	0
0	20
0	7
0	3
9	12
0	20
0	20
54	12
0	3
0	20
0	20
0	63
0	3
0	63
8	3
254	4
7	1
2	25
0	20
1	20
0	3
0	3
0	3
0	3
0	3
0	7
0	0
4	0
0	28
0	29
2	21
3	1
0	100
0	96
0	24
0	23
0	14
4	1
0	0
0	29
0	2
0	19
0	102
0	91
2	0
0	0
726	0
163	0
12	0
1	0
0	0
1	0
4	65
0	9
0	65
0	9
2	0
0	54
0	0
1	0
4	0
1	0
2	0
3	0
0	52
8	317
0	46
0	52
0	32
0	1
0	46
0	318
0	311
0	32
0	324
0	187
0	0
1	0
3	0
3	0
9	1
0	1
0	1
6	0
4	5
66	162
16	162
0	0
0	0
4	1
0	0
0	0
0	1
2	2
0	5
0	2
0	1
2	7
0	0
0	1
1	3
0	4
0	2
0	3
0	1
1	2
0	1
0	0
0	1
0	1
0	2
0	0
0	0
2	0
2	0
1	0
0	23
0	44
0	46
0	47
0	20
0	5
0	32
0	29
0	14
0	49
2	0
0	0
0	0
0	0
0	0
0	0
