UniqueCount	AmbigCount
8	29
2	30
5	53
8	55
0	36
0	5
0	993
0	2313
0	834
0	964
0	1873
0	2177
0	232
0	2215
0	1105
4	339
0	831
24	339
0	967
0	1838
11	1803
0	2275
0	0
0	0
230	2595
2	1761
0	1739
26	1923
0	1577
709	2262
27	2637
53	2634
5	904
0	2629
16	0
72	0
2	1
2194	647
1	17
0	238
1236	641
0	109
8	524
0	140
0	227
0	198
0	174
2	133
10	579
10	574
32	47
0	35
0	47
485	5159
110	5159
2788	12820
2657	12821
0	274544
16192	282089
84	240613
1	240613
3	12
1	1
15	677
209	890
0	727
9	787
9	677
0	833
72	851
66	1226
0	1226
0	1
0	5
0	9
0	1
5	3
10	69
2	11
0	1
55	83
33	0
0	9
1	0
1	4
0	4
0	0
0	4
0	0
0	0
0	4
0	8
0	4
1	4
3	8
0	4
3	8
0	8
0	4
0	3
0	1
0	1
0	1
0	0
277	1756
0	2805
142	449
10	1622
0	18
5	2427
2	18
14	1822
0	0
119	0
14	0
2	3
4	3
0	1
0	1
59	3
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	0
1017	11
4	5
0	5
0	2
0	0
0	2050
103	1241
0	1926
0	1978
0	2173
15	1132
0	1959
1	599
0	2069
8	189
0	2154
0	1945
83	562
92	562
0	243
0	277
0	237
0	254
0	46
0	4
2	48
0	266
0	227
1	199
4	0
70	0
27	748
1	244
0	748
0	163
0	107
6	234
6	105
5	235
0	2
3	13
0	14
0	2
5	16
0	14
2	0
0	0
0	0
0	0
6	11
12	1123
1	366
11	300
7	300
1	510
2	2704
87	2509
3	1032
0	761
0	316
1	4
68	418
0	64
0	861
0	468
0	46
126	201
0	331
0	468
0	559
294	318
0	189
0	232
0	142
6664	1336
1600	1231
35	0
1	46
13	45
14	1
38	2347
0	448
0	152
0	115
425	504
0	37
7	37
400	2347
7	458
5	4134
0	4963
0	5304
0	18
0	4964
0	5305
9	16
0	16
91	0
0	0
108	1
0	1
0	1
0	1
0	1
1	0
0	0
24	6288
1	12092
1	12616
0	12231
0	12719
97	637
145	630
0	12359
0	159
74	103
2	151
9	0
63	229
82	229
12	0
15	0
5	765
1	999
0	981
0	1012
0	1030
9	836
6	1148
42	21
0	0
18	228
22	74
0	154
130	4540
60	4532
23	4531
0	4531
0	0
5	69
0	55
0	69
0	194
19	194
0	207
1	207
318	302
6	64
5	35
499	38
2	154
5	163
143	308
98	214
0	35
0	54
87	271
7	144
0	7
58	83
13	423
0	216
0	363
34	423
119	363
0	146
1	44
0	128
1	52
0	19
0	145
9	53
0	127
16	243
4	1
11	245
16	217
57	229
26	141
0	5
0	91
0	96
0	85
0	134
0	139
0	110
0	7
0	147
1	127
2	35
0	46
0	34
0	2704
0	484
0	2505
0	2660
0	2522
0	2643
0	30
0	699
0	45
0	2566
0	6
0	121
0	556
0	2730
0	775
0	2772
3	435
4	2518
0	2031
0	259
0	302
0	335
67	364
0	337
0	45
0	34
5	0
0	83
1	710
9	333
16	375
4	102
1	564
1	661
0	0
0	719
0	94
199	586
0	1
2	1
0	1
1	5
0	4
0	0
4	90
3	109
2	109
0	87
7210	253
0	543
0	544
0	553
0	386
0	489
0	564
0	492
0	428
0	425
0	552
0	475
0	536
0	547
0	389
0	450
0	447
0	562
1	478
3	2
1	2
0	3
2	4
0	2
2	56
0	57
1	57
25	273
0	758
0	759
0	802
1	149
0	846
1	4
0	293
1	271
2	149
0	138
0	845
6	799
0	803
0	56
33	51
0	56
0	0
4	0
1	0
0	1013
0	519
0	582
0	109
0	698
0	957
0	495
0	522
0	158
39	72
2	539
0	689
90	60
0	952
50	359
0	638
0	688
0	1017
0	503
0	468
2	29
6	300
0	295
1	431
0	31
7	414
0	503
0	468
0	0
0	615
0	620
113	671
4	590
0	11
6	22
4	39
0	38
0	16
0	40
0	457
0	456
0	455
0	456
6	0
3	3
4	5
1	3686
241	3626
633	2469
167	3798
2	1161
8	1161
0	940
115	2
0	233
17	265
11	30
3	325
9	360
40	417
3	421
12	0
0	57
0	64
0	66
0	101
4	78
334	179
0	5
0	5
3	25
0	25
3	0
581	1613
4	1448
2	165
0	1
0	36
0	71
1	69
0	68
3	63
140	193
501	201
1	190
0	201
1421	13746
0	14630
18	14481
433	10795
0	10851
93	11146
0	7
0	80
7	80
0	0
0	3
4	3
0	16
2	5
0	6
0	5
0	1
16	3
1	16
1	2
308	1594
5	2864
0	2349
0	2878
1111	124
0	982
13	584
676	1723
0	3390
2	2259
18	2411
0	8
0	8
0	2
0	8
296	30
0	1096
0	792
0	1297
3	792
541	2148
0	1130
201	1935
0	1331
8	74
704	308
3	0
1	0
0	0
6	78259
0	58967
1	76861
1	2647
260	17679
0	1603
0	2477
0	2258
0	2344
0	965
113	2351
0	1932
0	2512
0	2119
8	2206
0	1910
0	2413
0	1996
0	1265
0	2236
6	1578
0	2366
0	1411
1	1
0	2
0	210
0	249
0	7
13	231
0	245
0	27
0	254
0	19
1	24
1	0
6560	605
2	1765
0	915
0	1371
4	921
0	904
873	920
16	1276
0	507
96	1772
6	1766
233	0
0	11
1	11
0	6
0	181
14	1617
6	1157
0	1487
1	1315
0	1464
0	5
2	1751
0	1456
8	1834
0	87
19	213
21	1254
15	1648
2	0
0	128
0	163
0	130
0	148
0	2
0	114
0	134
2	0
0	35
0	616
0	591
1	385
22	116
0	439
0	435
69	606
0	577
0	172
15	0
3	67
1	64
0	16
0	16
4	4
0	143
9	139
0	48
0	62
0	44
0	138
0	138
0	62
1	44
18	68
2	68
0	158
0	154
10	16
0	16
0	4
12	0
1	0
0	0
0	0
158	674
0	671
97	651
0	275
0	311
1	93
1	232
0	314
2	17
0	278
0	193
1	25
0	132
0	187
1	34
0	128
0	35
0	44
0	46
29	139
2	4
0	355
0	22
0	362
0	513
53	26
0	492
0	386
0	376
0	523
0	499
1	60
5	56
1	173
1	148
0	130
11	167
16	222
10	225
1	67
0	55
1	235
0	260
0	260
0	71
11	162
1	6
20	166
5	42
1	2
0	2
5	1
0	0
310	117
3	1
0	1
0	0
23	0
5	405
0	94
1	569
0	246
1	669
0	84
0	3
1	15
0	13
6	86
194	48
4	25
1	238
0	222
0	249
4	137
3	79
0	4
0	4
0	4
4	30
0	30
4	30
1	2
0	1
0	1
0	288
0	273
0	244
0	269
0	294
0	238
7	384
62	2066
29	1304
0	2037
0	770
0	259
0	1770
0	1153
0	261
54	2506
0	1810
0	77
0	41
0	34
1	41
1	31
0	34
0	40
0	1
0	38
7	1
0	52
1	52
7	0
0	53
2	48
31	48
13	50
0	50
1	6
0	1
0	64
20	78
0	23
0	107
42	171
2	213
124	215
0	102
1	6
75	9
0	3
0	1
0	51
0	2
15	51
318	14
0	11
0	13
0	11
0	0
0	5
0	6
0	8
0	6
0	11
0	425
9	279
0	368
0	413
0	206
0	326
0	213
0	351
0	433
0	410
0	413
0	191
0	366
0	198
0	368
8	359
0	358
159	964
0	977
0	818
0	7
0	9
0	13
0	13
3	12
2	14
0	0
0	10
0	16
2	11
0	16
0	8
99	1125
328	1181
4	1137
106	30
2	1
1	0
0	0
4	0
9	78
13	71
9	47
41	104
5	23
11	53
13	48
0	9
3	60
9	132
