UniqueCount	AmbigCount
0	16
8	24
2	37
10	37
0	25
0	2
0	883
0	1658
0	725
0	862
0	1388
0	1503
0	163
0	1592
0	806
2	283
0	728
10	283
0	859
0	1302
2	1302
0	1569
0	0
1	0
0	2459
2	1182
1	1146
27	1272
0	1056
551	2398
82	2681
1	2669
1	572
0	2742
6	0
44	0
1	0
2099	611
1	16
1	141
1121	505
1	218
33	535
0	226
0	236
2	214
0	263
0	211
0	568
21	590
11	51
0	30
2	51
489	4026
653	4026
3595	11424
3	11419
0	41978
2641	43780
41	29070
0	29070
0	9
2	1
11	403
114	589
3	476
1	524
7	403
0	533
57	741
72	1117
3	1117
14	11
1	3
0	5
0	3
1	3
21	65
0	15
0	3
75	70
44	0
3	5
7	0
1	2
1	5
0	0
1	6
0	0
0	1
0	2
0	5
0	3
1	4
2	5
2	2
1	2
1	2
1	1
3	1
0	0
0	0
0	0
0	0
3	1312
0	3418
506	301
0	1094
4	75
6	2348
0	75
75	3103
0	0
91	0
8	0
1	6
2	6
1	4
0	4
41	3
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	1
0	1
0	0
3	5
0	5
2	3
0	0
0	1928
111	1119
0	1815
0	1846
0	2029
14	1062
0	1834
2	657
0	1940
9	199
0	2017
0	1827
60	314
43	314
0	210
0	237
8	219
0	229
0	46
0	1
0	47
0	218
0	214
0	172
1	0
34	0
8	596
1	221
44	595
0	124
0	69
2	135
4	55
1	138
0	3
0	9
0	11
0	6
2	19
0	14
2	0
0	1
0	0
0	1
1	5
13	1168
0	367
0	335
11	336
0	561
1	2646
83	2439
1	1061
1	809
0	571
1	63
0	399
0	567
18	673
0	561
3	116
2	142
0	585
0	582
0	668
92	204
60	164
1	185
8	151
5238	1161
754	1083
29	0
0	69
24	69
7	0
118	1525
97	551
0	95
265	179
234	432
2	17
5	17
209	1525
202	283
5	3325
0	3937
0	4142
0	11
0	3942
0	4147
5	18
5	18
86	0
0	1
0	0
0	1
