UniqueCount	AmbigCount
1	0
1	0
0	1
3	0
6	0
3	0
1	0
0	0
0	0
4	0
2	0
0	0
0	0
0	2
0	2
1	0
0	0
0	11
0	11
2	0
0	0
1	0
0	0
0	0
1	0
0	6
3	6
0	0
0	0
0	0
1	0
0	0
1	0
2	0
3	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
1	0
0	4
5	4
0	0
0	0
6	0
0	0
2	0
0	0
0	0
1	0
0	0
3	0
0	0
2	0
1	0
0	0
1	0
1	0
0	0
2	0
1	0
0	0
1	0
0	0
0	0
2	0
2	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
2	0
1	0
0	0
1	0
1	0
2	0
2	0
1	0
0	0
0	0
1	0
2	0
1	0
0	0
0	0
0	0
0	2
3	2
3	0
0	0
11	0
4	0
0	0
0	1
0	1
1	0
0	0
0	0
1	0
3	0
1	0
3	0
0	1
2	0
0	0
0	0
0	0
0	0
9	0
0	0
4	0
8	0
1	6
2	0
1	0
0	2
0	2
0	0
1	0
1	0
6	0
2	0
0	0
3	0
2	0
0	0
5	1
1	0
4	0
6	0
3	0
1	0
1	0
2	0
2	0
0	0
3	1
0	0
0	2
0	2
0	0
1	0
0	0
0	0
2	0
3	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
1	0
0	0
1	0
0	1
0	1
0	0
1	0
3	0
0	0
3	0
0	0
4	0
0	0
1	0
3	0
0	1
0	1
3	2
0	2
2	0
1	2
0	2
1	0
1	0
2	0
0	0
6	0
0	0
2	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
2	2
0	2
0	0
3	0
0	0
0	0
1	0
0	0
1	0
4	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
1	0
4	0
4	0
3	1
0	0
0	0
1	0
1	0
3	1
0	1
4	0
3	0
1	0
3	0
0	0
2	0
1	0
2	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
6	0
1	0
0	0
0	0
0	0
2	0
8	0
2	0
1	0
0	0
1	0
0	0
2	0
0	0
0	0
2	0
0	0
0	0
1	0
2	0
1	0
2	0
0	0
1	0
0	0
6	0
6	2
1	2
0	0
0	0
0	0
0	0
2	0
0	0
0	0
2	0
0	0
1	0
1	0
1	0
0	0
0	0
1	0
2	0
1	0
1	0
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	1
2	0
0	0
0	0
2	0
0	2
0	2
1	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
2	0
1	0
0	0
0	0
2	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
2	0
2	0
4	0
0	0
2	0
0	0
0	0
0	0
1	0
3	0
1	0
2	0
0	0
3	0
3	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
2	1
1	0
7	0
0	0
1	0
0	0
0	0
1	0
0	4
0	4
0	0
0	0
0	0
0	0
6	0
0	0
1	0
0	0
2	0
3	0
1	0
0	0
1	0
1	0
1	0
3	0
0	0
0	0
0	0
1	0
2	0
3	0
0	0
1	0
0	6
4	0
0	0
0	0
1	0
1	1
0	1
0	1
0	1
2	0
3	0
2	0
2	1
0	0
0	0
0	2
0	2
1	0
0	0
2	0
0	0
0	0
1	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
4	0
1	0
0	0
0	0
0	0
1	3
0	3
0	0
3	0
0	0
2	0
6	0
0	0
3	0
0	0
2	0
1	0
10	0
1	0
1	0
6	0
9	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
1	0
1	0
1	0
0	0
0	2
3	2
0	0
3	0
0	0
3	0
1	0
5	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
5	0
2	1
1	1
0	0
0	0
0	0
