UniqueCount	AmbigCount
3	0
1	0
0	0
0	0
1	0
0	0
1	0
5	0
4	0
0	0
0	0
0	0
6	0
0	0
0	0
2	0
1	0
1	0
5	0
0	0
0	0
0	0
0	4
0	3
0	3
1	0
0	0
0	0
0	0
3	0
2	3
0	3
0	0
1	0
0	5
0	4
1	0
0	1
0	1
0	0
5	0
4	0
0	0
0	0
2	0
1	0
0	0
1	0
6	0
0	0
5	0
0	0
3	0
6	0
0	0
3	0
0	0
5	0
0	0
1	0
0	0
2	0
2	0
1	0
0	0
2	0
0	0
0	0
2	0
2	0
0	0
3	0
0	0
3	0
0	0
0	0
2	0
1	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	2
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
1	0
4	2
0	2
4	0
2	0
0	0
5	0
2	0
0	0
0	0
0	2
3	2
1	0
0	0
1	0
1	0
1	0
5	0
3	0
2	0
2	0
1	0
3	0
4	0
0	0
2	0
0	0
3	0
0	0
0	0
0	0
0	0
3	0
7	0
0	1
3	1
0	0
0	0
9	0
0	0
0	3
0	0
0	0
5	0
0	0
1	0
4	0
4	0
0	0
0	0
0	1
0	1
4	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
1	0
2	0
0	0
3	0
0	0
2	0
0	0
0	0
0	0
3	0
0	0
2	0
0	0
1	0
0	0
1	0
1	2
0	0
1	0
2	0
3	0
2	0
0	0
6	0
1	0
2	0
0	0
0	0
3	0
4	0
1	0
2	0
2	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
6	0
3	0
0	4
1	4
2	0
6	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
2	0
1	0
1	0
3	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
7	1
0	0
0	0
0	0
0	0
4	0
2	0
0	0
1	0
3	0
1	0
4	0
1	0
7	0
1	0
4	0
0	0
0	0
3	0
0	0
6	0
2	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
1	0
3	0
2	0
2	0
1	0
2	0
0	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
1	0
0	0
0	0
1	0
4	0
0	0
3	0
0	0
5	0
0	0
0	0
4	0
1	0
4	0
0	0
0	0
4	0
2	0
0	0
0	0
0	0
3	0
1	0
0	0
5	0
2	0
6	0
2	0
1	0
0	0
0	0
1	0
1	0
2	0
2	0
0	0
1	0
5	0
0	0
0	0
3	0
1	0
1	0
0	0
2	0
0	0
1	0
0	0
0	0
8	0
4	0
0	0
1	0
2	0
0	0
0	0
7	0
1	0
1	0
5	0
0	1
0	1
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
1	0
1	0
1	0
0	0
3	0
2	0
4	0
2	0
0	0
0	0
0	0
1	0
0	0
2	0
1	0
1	0
1	0
2	0
0	0
1	0
4	0
0	0
2	0
0	0
3	0
1	0
4	0
0	0
0	0
1	0
2	0
5	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
3	0
1	0
2	0
1	0
1	0
0	0
1	0
0	0
10	0
0	0
6	0
1	0
4	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
2	0
0	0
0	3
1	0
3	0
0	0
5	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
1	0
0	0
1	0
0	0
2	0
1	1
0	0
1	0
0	0
2	0
5	0
2	0
5	0
3	0
3	0
5	0
1	0
0	0
1	0
1	0
3	0
3	0
0	1
2	1
4	0
1	0
1	0
0	0
4	0
4	0
2	0
1	0
1	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
13	0
0	0
2	0
2	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
3	0
1	0
3	0
0	0
11	0
0	0
1	0
1	0
0	0
1	0
1	0
0	0
0	0
4	0
3	0
11	0
1	0
0	0
1	0
0	0
0	1
3	0
1	0
0	0
1	0
1	0
0	0
5	0
0	0
2	0
1	0
2	0
3	0
0	0
0	0
0	0
2	0
2	0
0	0
3	0
1	0
0	0
1	0
1	4
0	4
0	1
0	0
1	1
12	4
1	0
0	0
0	0
1	0
2	0
1	0
3	0
0	0
4	0
4	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
5	0
1	0
1	0
1	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
4	0
0	0
0	0
4	0
0	0
0	0
3	0
0	0
1	0
1	0
0	0
0	0
7	0
0	0
1	0
1	0
0	0
1	0
0	3
2	3
10	0
6	0
2	0
1	0
0	0
6	0
1	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
1	0
1	0
3	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
1	0
0	0
1	0
3	0
0	0
1	0
1	0
0	0
0	0
0	0
0	2
0	2
2	0
0	0
2	0
0	0
0	0
0	0
5	0
6	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
6	0
1	0
8	0
2	0
9	0
1	1
0	0
0	0
0	0
2	0
11	0
0	0
1	0
2	0
1	0
0	0
3	0
2	0
5	0
0	0
0	1
0	1
0	0
0	0
0	0
4	0
0	0
2	0
0	0
1	0
0	0
0	0
2	0
0	0
2	0
4	0
2	0
0	0
0	0
0	0
2	0
2	0
4	0
1	0
0	0
0	0
5	0
0	0
4	0
7	2
0	0
4	0
0	0
0	0
0	0
2	0
2	0
2	0
2	0
4	0
0	0
15	0
1	0
9	0
1	0
0	0
0	0
8	0
13	0
1	0
5	0
0	0
0	0
4	0
1	0
1	0
0	0
0	0
0	0
0	0
4	0
4	0
0	0
0	0
2	0
0	0
3	0
0	0
0	0
1	0
0	0
0	0
5	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
7	0
0	0
3	0
0	0
2	0
0	2
0	2
0	0
7	0
1	0
1	0
7	0
2	0
0	0
1	0
0	0
2	0
1	0
6	0
4	0
0	0
1	0
0	0
0	0
12	0
0	0
3	0
0	0
0	0
0	0
1	0
1	0
1	0
3	0
2	0
0	0
3	0
1	0
0	0
1	0
0	0
4	0
9	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
2	0
0	0
2	0
3	0
0	0
4	0
0	0
0	0
0	0
2	0
5	0
2	0
0	0
1	0
0	0
2	0
1	0
0	0
1	0
6	1
0	0
0	0
0	0
2	0
0	3
0	4
0	3
0	0
9	0
0	0
13	0
5	0
2	0
7	0
4	0
0	0
0	2
0	0
5	0
0	0
0	0
0	0
18	0
0	0
4	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
1	0
8	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
6	0
0	0
2	0
0	0
3	0
0	0
5	0
4	0
2	0
0	0
0	0
1	0
1	0
4	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
2	0
3	0
1	0
2	0
0	0
0	0
0	0
3	0
2	0
0	0
3	0
0	0
1	0
0	0
7	0
0	0
2	0
0	0
1	0
2	0
1	0
0	0
1	3
0	3
3	0
1	0
1	0
0	0
7	0
0	0
1	3
0	3
10	0
0	0
0	0
2	0
5	0
0	1
0	1
0	1
4	0
1	0
0	0
0	0
1	0
1	0
0	1
0	1
1	1
1	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
5	0
2	0
0	0
1	0
1	0
1	0
13	0
1	0
0	0
0	9
0	3
0	9
0	0
4	0
0	0
1	0
0	2
2	0
0	0
0	0
2	0
15	0
6	0
4	0
0	0
2	0
3	0
5	0
0	0
0	1
1	0
6	0
1	0
0	0
1	0
6	0
0	0
2	0
0	0
0	0
11	0
0	0
2	0
6	0
1	0
1	0
0	0
1	0
2	0
0	0
1	0
4	0
3	0
1	0
2	0
9	2
4	0
0	0
0	0
1	0
2	0
8	0
1	3
1	3
0	0
3	0
0	4
0	0
2	0
0	0
0	0
24	0
0	0
0	0
2	0
1	0
8	0
1	0
0	0
0	0
3	0
14	0
0	0
3	0
0	1
0	1
2	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	1
7	0
0	0
2	0
0	0
0	0
2	0
0	0
2	0
1	0
0	0
1	0
5	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
3	0
0	0
2	0
0	0
3	0
0	0
2	0
0	0
2	0
4	0
0	0
0	0
0	0
1	0
2	0
1	0
0	0
4	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
6	0
1	0
1	0
5	0
3	0
0	0
2	0
0	0
2	0
1	0
3	0
4	3
1	0
0	0
0	0
0	1
1	0
0	0
0	3
0	3
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
7	1
2	0
5	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
5	0
3	1
1	0
3	0
0	0
2	1
0	0
0	0
1	0
0	0
0	0
14	0
3	0
0	0
0	0
3	0
10	0
1	1
3	0
0	0
0	0
1	0
0	0
5	0
0	0
2	0
3	0
0	0
0	1
3	0
0	0
8	0
1	0
0	0
5	0
1	1
0	0
2	0
0	0
0	0
0	0
5	0
6	0
3	0
2	0
1	0
0	0
0	0
2	0
6	0
0	0
0	0
0	0
0	0
0	0
1	1
1	0
5	0
1	0
1	0
0	0
2	0
2	0
1	0
4	0
3	0
2	0
1	0
0	0
0	0
9	0
2	0
1	0
0	0
3	0
1	0
1	0
0	0
2	0
4	0
1	0
0	0
1	0
1	0
2	0
0	0
2	0
2	0
2	0
0	0
1	0
0	0
1	0
0	0
1	0
4	0
0	0
4	0
1	0
0	0
0	0
0	0
1	0
0	0
1	1
1	0
0	0
0	0
2	0
1	0
0	0
0	1
1	0
1	2
2	0
0	0
2	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
1	0
7	0
0	0
0	0
2	0
1	0
0	0
2	1
1	0
1	0
0	0
3	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	1
1	0
2	0
1	0
0	0
0	0
0	0
5	0
