UniqueCount	AmbigCount
1	0
10	160
1	74
8	153
0	80
0	85
734	0
1	0
3	0
4	28
1	7
2	1
3	32
2	2
1	25
2	1
145	1
0	8
106	9
98	0
0	0
3	0
50	0
0	30
4	37
0	70
0	105
0	54
0	112
71	112
5	5
0	5
0	146
5	339
12	334
5	339
0	11
1	11
83	61
0	61
3993	1475
13	9191
825	9173
380	9187
4	2883
88	13296
20	5895
2	12623
4	7506
14	12033
25	0
0	5
0	4
1	2
1	0
1	6
0	5
0	0
2	4
2	0
1	0
3	0
1	0
3	0
41	0
3	240
2	168
28	203
0	159
3	92
34	222
6	41
2	0
2	3
3	0
13	0
0	0
0	27
0	25
0	26
0	18
0	26
0	19
0	0
0	0
197	0
0	0
2	0
0	7
37	7
41	0
5	0
31	0
0	0
3	25
11	25
0	16
17	16
5	0
2	0
0	0
0	2
0	2
1	3
0	3
6	6
1	3
1	3
0	6
0	5
3	5
0	1
0	5
0	0
2	0
1	0
121	590
2	590
3	0
1	0
1	3
0	0
0	1
1	1
0	0
3	3
0	3
6	123
13	78
4	188
0	2
1	2
0	82
1	0
1	0
1	69
3	0
4	0
1021	0
102	12
0	12
103	0
0	14
11	14
0	0
5	2
0	2
0	2
0	0
0	0
84	5
0	0
50	125
0	125
0	0
0	0
0	0
0	0
0	496
0	606
0	496
0	457
0	605
0	497
0	605
0	458
0	457
27	79
29	80
4	3
4	1
0	1
0	0
0	1
2	1
0	1
1	21
50	21
0	101
2	62
364	101
3	62
52	46
11	47
3	0
3	0
5	0
2	0
12	0
4	0
2	85
7	135
17	190
0	68
2	130
3	13
2	12
33	31
0	3
0	3
1	0
1	3
3	1
18	11
27	14
9	22
7	14
3	3
1	5
0	12
0	6
1	3
0	4
3	0
5	0
6	0
1	0
5	0
0	0
0	6
1	6
0	0
1	0
0	0
0	132
0	292
0	197
0	321
0	114
0	143
0	256
1	9
0	5
0	168
7	11
2	0
5	0
1	11
460	13
2	1
53	106
1	0
3	106
0	0
1	0
0	0
0	0
4	267
2	113
2	317
1	0
0	2
7	2
3	1
0	1
0	1
0	7
61	13
0	13
0	227
0	229
0	226
0	224
0	160
5	5
0	5
8	2
11	1
0	4
0	4
0	0
0	0
0	352
4	173
4	361
26	381
28	339
4	381
30	20
31	20
38	0
1	0
15	4
0	14
0	43
0	41
58	0
2	4
3	488
0	132
2	137
61	488
12	34
0	34
1	336
7	229
136	565
0	0
3	0
32	2927
1423	2978
57	2978
1511	0
1	0
13	363
6	290
150	653
0	58
2	0
60	5
0	5
0	173
0	80
0	182
0	171
0	171
0	182
0	90
0	184
0	173
0	172
0	173
0	183
0	80
0	172
0	184
0	183
0	184
0	173
0	172
0	173
0	90
0	90
0	184
0	80
0	184
477	0
58	0
0	0
0	0
6	0
0	126
0	84
0	146
0	78
0	141
0	79
0	73
6	59
2	0
2	0
0	0
0	0
0	32
3	32
0	3
26	3
20	0
1	0
16	1
1	1
0	1
2	8
0	19
5	7
8	22
0	0
3	6
0	5
0	2
0	1
0	14
0	9
27	24
6	2
0	1
1	27
3	12
10	26
2	0
0	92
0	66
1	79
2	107
0	3
0	81
0	62
0	92
0	93
0	63
0	92
0	3
0	91
2	47
0	0
5	47
15	0
20	0
0	3
7	8
6	8
45	0
0	133
43	133
915	6380
63	6380
0	701
0	861
5	124
0	805
8	109
0	730
0	915
0	642
0	810
0	919
0	109
0	519
0	1024
53	84
7	629
0	2
2	2
0	288
12	150
2	38
0	176
0	47
5	209
1	158
0	14
0	164
0	208
21	192
0	193
5	494
0	502
0	459
0	249
1	126
4	2
1	2
0	308
0	286
0	392
2	24
15	307
0	422
3	310
0	3
1	5
0	3
6	7
16	39
6	4
1	36
16	1
0	0
6	0
8	0
0	0
36	0
2	0
240	0
0	111
0	294
0	64
0	331
1	227
0	34
0	64
18	64
3	1499
705	6984
108	22
10	1027
5	1036
0	1488
0	31
8	81
330	7597
0	81
79	3516
0	2
0	5
0	5
3	0
307	1
0	4
48	119
3	119
0	4
0	46
12	145
0	456
0	240
1	131
0	33
0	218
0	447
1	16
0	284
0	275
0	205
0	167
7	153
0	120
0	9
6	0
9	0
1	0
11	0
13	3
0	2
6	130
0	0
0	0
0	2
3	4
0	0
0	0
3	39
3	127
4	0
0	2
5	1
1	0
0	0
2	92
0	131
0	276
0	261
0	222
0	207
470	0
32	0
0	0
0	50
50	168
0	118
0	71
1	54
0	173
2	39
0	156
0	136
1	0
21	0
0	0
7	0
23	0
0	1
0	4
22	1
0	10
1073	10
202	3
20	0
0	14
5	26
7	27
3	6
0	132
0	1
0	123
0	85
10	109
0	76
4	0
0	2
