UniqueCount	AmbigCount
0	9142
367	9142
17	0
0	4
1	6
1	93
0	93
0	550
0	557
0	140
0	79
0	557
0	568
0	546
0	541
0	534
0	561
0	539
423	1
895	0
0	1
0	0
0	750
0	83
0	1076
2	982
9615	21208
205	3427
0	55
4	175
2	526
0	13670
301	5853
0	2210
923	15064
817	16778
0	2559
327	14
0	216
55	477
2	275
0	278
0	216
0	198
0	278
0	0
0	0
0	1
0	0
0	0
0	1
4	0
0	0
1	83
0	83
0	1
20	50
3	50
2	38
766	44
0	0
2	1
639	3190
1	309
279	1896
52	1897
0	937
1654	3812
0	10
0	8
0	16
5	0
4	3
0	10
1	13
1	14
0	1
0	8
9	13
0	1
2	5
1	3
38	130
0	546
0	430
7	493
3	248
9	104
9	299
0	486
28	0
1	143
2	6
0	44
128	218
1	238
2	47
5	6174
22	5985
724	5348
41	6474
104	7004
226	4975
12	10
95	5435
88	6287
31	5927
189	6802
10	0
13	3711
3	3546
997	6032
9	5715
42	3682
2122	3323
0	3856
0	10062
0	9019
5	8319
0	7412
31	2
0	8532
0	6778
0	9916
0	9905
0	5881
0	1
2	8527
310	8553
0	6263
0	0
0	0
0	0
0	0
248	10657
0	10697
1072	809
4	3674
130	2266
20	326
276	10472
0	287
0	46
90	103
25	52
7	32
85	98
3	329
0	78
22	328
1	0
0	2
5	1
0	3
0	3
0	1
0	0
7	0
289	29
6	0
262	29
3	22
11	22
0	0
0	699
90	699
1	387
8	285
0	16
0	1297
0	1293
1	1288
0	1254
68	1235
86	3
0	357
0	372
0	362
0	338
0	364
12	12
0	349
12	6
142	2449
4521	159
0	2093
0	356
2295	2
13	166
16	166
20	0
0	1660
61	1530
3	223
7	1524
19	64
0	252
3	78
0	76
1	375
15	24
1	170
1	307
26	377
0	95
0	1
0	0
0	2855
0	608
0	601
0	2929
0	2886
0	2939
0	2876
0	2931
0	612
2	535
0	2878
0	605
0	2845
1	0
0	0
2	0
0	0
0	297
0	259
0	216
0	285
0	270
1	122
0	210
0	173
0	130
1	0
0	0
0	0
1007	1833
1597	304
2	1345
8	800
5675	567
0	900
3687	913
356	534
0	1478
410	1447
2	292
0	25
0	177
0	19
1	24
0	25
1	23
1	0
0	0
21	0
0	0
0	306
0	300
1	229
3	251
8	178
1	886
0	544
1	505
0	843
0	140
0	258
0	501
0	0
0	0
3	22195
173	46752
29	3588
6	26111
8	48811
12	599
0	1358
0	17
0	1434
0	1436
6	981
0	1366
0	1364
0	1429
0	1427
43	40
0	832
0	216
0	537
0	835
0	220
0	222
0	219
0	665
0	341
2	215
0	223
304	0
442	0
0	8
0	449
53	468
0	1
0	426
0	456
0	399
