UniqueCount	AmbigCount
3	13740
660	13740
56	0
0	0
0	0
2	25
0	25
0	1578
0	1607
0	289
5	157
0	1632
0	1636
0	1605
1	1589
0	1580
0	1607
1	1590
1451	3
1942	0
1	3
381	947
0	0
3	66
76	1863
1	1795
4	541
3	81
2	18
15	309
11	205
250	235
4	571
450	130
0	374
0	350
330	973
1085	8
0	376
79	689
0	460
1	463
0	376
1	226
0	463
2838	6
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	72
4	72
4	52
572	41
0	0
0	0
645	3586
1	313
450	2333
102	2338
3	1427
2840	4672
0	22
0	22
0	11
7	0
0	6
0	22
0	11
0	11
0	0
0	22
2	11
0	1
3	15
4	15
62	310
0	1045
1	810
15	939
1	478
9	131
5	550
0	948
24	0
11	269
1	5
0	80
206	357
5	412
1	27
11	10670
9	10510
1062	8327
77	11190
220	11831
332	7753
17	41
146	8412
133	11045
36	10288
278	11655
5	0
28	7059
5	1877
838	3438
14	3188
9	2018
1735	1667
2	2134
0	6434
0	5550
3	4427
0	3643
35	2
0	4592
0	4079
1	6389
0	6302
0	3240
0	3
4	4593
239	4607
2	3773
0	5
0	6
0	1
9	6
216	10334
5	10381
786	788
7	3365
168	2162
27	331
144	10238
2	291
0	69
62	121
24	55
6	28
59	125
2	405
0	77
27	406
0	0
0	10
3	0
1	12
0	10
0	0
0	2
3	0
505	104
6	1
733	104
5	7
13	7
0	0
0	571
201	571
0	215
4	328
0	11
0	2186
2	2181
0	2179
0	2172
63	2136
176	14
0	339
0	349
0	361
2	327
0	363
15	4
0	353
4	16
319	3265
8728	414
1	2442
0	823
1286	0
0	57
4	57
2	0
0	2768
151	2591
3	538
8	2542
18	66
0	201
2	72
0	61
0	367
3	15
0	104
5	286
41	372
0	81
0	0
0	0
0	7474
0	885
0	880
0	7702
0	7540
0	7741
0	7501
0	7687
0	884
17	1935
0	7486
0	879
0	7435
0	0
1	0
0	0
0	0
0	589
0	553
1	446
0	588
0	544
1	194
0	433
0	367
2	297
12	0
0	0
0	0
836	1110
1031	184
1	1064
10	237
2474	177
0	464
1158	466
0	170
0	1396
133	1387
1	165
0	22
1	101
0	11
0	13
0	13
0	13
3	0
0	0
8	0
0	0
0	146
0	151
0	144
0	141
4	131
0	289
0	240
0	182
0	253
8	78
0	35
0	204
0	0
1	0
0	44172
414	97292
66	5145
19	51178
22	100685
47	1631
16	3272
2	172
0	3703
0	3698
21	2451
0	3803
0	3808
0	3707
0	3712
117	90
0	618
0	88
0	291
0	619
0	83
0	83
0	82
0	393
1	187
0	273
0	84
459	0
303	0
0	11
0	558
47	563
0	2
0	517
0	538
0	509
0	579
0	544
0	17
0	23
0	7
0	13
0	0
2	0
1	0
3	19709
0	129
0	19002
60	18903
0	19718
0	11685
0	12401
1	18998
10	435
14	18436
3	50
0	68
2	350
0	328
7	314
434	0
1	0
0	0
1	0
3	122
10	126
0	4
1	112
0	0
166	2654
41	2542
4	1880
10	0
4	0
0	0
0	1
0	1
0	0
0	0
0	3
0	1
0	0
940	0
0	288
0	495
0	495
0	745
0	836
0	745
0	379
2	20
0	836
1	0
3	0
1	0
0	2
27	13
0	7
2	388
4	446
11	329
12	331
0	471
3	308
2	6
4	160
10	0
30	0
5	10
0	0
42	35
144	44
6	0
3	9
0	0
0	1
23	1
0	2
0	2
2	0
0	0
0	0
14	10
0	9
2	10
0	27
0	26
0	25
0	35
2	24
10	0
100	1460
87	1460
2	0
8	27
2	17
0	34
24	69
0	30
0	0
14	447
0	90026
404	81546
0	86146
0	86010
33	78404
21	1828
0	89890
1	0
12	7
10	9
4	46
42	46
2	1
0	1
237	0
2	0
0	0
7	0
3	0
7	0
2	368
0	369
0	226
1	39
0	39
2	263
0	368
0	200
0	339
0	219
0	29
0	1
0	1
5	329
0	204
0	182
0	32
0	181
0	3
0	212
0	210
0	195
3	34
0	211
2	0
0	0
5	0
1	0
