UniqueCount	AmbigCount
3131	0
77	613
202	938
140	325
500	0
0	2
91	6063
11	6063
82	5868
0	32
0	5
5	3045
5	1
0	1080
6	1114
27	1105
0	1234
0	733
4967	1234
63	300
13	656
32	0
0	0
1	1090
2	951
0	1601
69	1793
2	1123
1	889
2	1284
181	0
0	1557
5	2350
237	2472
3	2797
17	2516
14	2946
0	3120
0	0
2	0
37	5704
335	2521
1484	5023
2807	3273
83	3858
76	35
0	468
1	0
5	328
0	10
3	32
10	37
55	823
35	46
3	46
1	118
0	833
3	130
298	43
0	28
1	6
1	5
1	2
2	11
2	9
1	0
1	0
2	20
1	156
191	156
5	0
7	0
4	0
1	39
0	2577
0	3338
20	3181
0	3769
0	3481
0	3626
1	3110
1	65
198	0
39	1749
19	1539
13	1779
4	343
2	340
24	942
1	511
2	1
357	0
0	716
0	710
0	811
0	817
45	0
6	0
76	0
76	1005
18	1005
6	23
9	371
432	0
11	0
0	913
3	341
7	180
1	264
2	579
0	899
9	63
0	897
0	494
0	38
13	65
1	298
1	75
0	44
0	496
7	136
13	454
13	254
0	0
0	236
16	348
388	348
836	0
102	0
11	0
200	72
14	72
173	115
26	115
219	0
560	0
72	0
435	0
662	2266
22	2266
8	0
25	0
270	0
640	3620
671	3620
466	933
124	11662
248	19188
1	38115
15	284
151	919
9805	64074
0	13
313	37259
46	11
4	172
0	144
0	191
4	179
0	7
0	154
29	0
0	0
0	93
13	1054
0	1092
0	347
0	413
1	1157
3	435
1	50
0	473
0	538
163	0
1	293
431	332
29	2095
7	2095
8	0
299	1
55	0
0	1
0	1
0	52
10	458
87	692
12	234
0	339
0	314
0	335
0	248
3	0
122	24
6	24
2	66
0	223
153	289
5	412
3	412
8	0
170	0
14	40
0	40
156	1688
0	5404
360	4415
22	4659
37	3257
726	4659
188	1993
45	11
19	4325
18	57
9	57
226	134
251	4
0	3232
24	101
28	3085
5	3304
0	4
3	231
302	0
120	0
293	0
18	576
27	576
1801	0
3	41
1	302
16	249
10	317
0	26
0	13
19	13
28	0
305	1736
0	1736
6	618
10	618
0	1
0	1
83	0
1	98
15	98
168	0
42	0
6	0
4	470
34	1159
2	1235
1	1226
0	1075
12	1723
1	1584
17	1738
11	1544
0	251
0	231
0	248
1	232
0	234
1	175
6	689
0	1764
0	1763
0	1012
0	1866
1	6
0	1813
0	1867
0	1710
1	1816
5	0
0	0
4	0
5	1277
182	1105
0	1746
0	889
4	232
4	1932
0	6
62	1277
0	259
32	1870
11	0
276	0
1	0
0	316
51	237
0	227
16	69
4	2482
9	2496
0	2497
0	808
7	577
176	3337
6	106
0	2547
0	435
2	586
1	431
8	171
0	209
0	2737
18	629
4	461
0	189
12	3111
0	399
0	2773
32	227
17	175
4	52
0	322
4	226
12	305
44	299
2	18608
375	368
19	21164
19	10211
98	664
0	15330
44	11019
1	17418
12	20257
35	10681
38	21390
96	14433
33	18092
1	3633
46	19685
0	18402
4	20952
192	2836
6	2836
1	1662
17	572
5	1441
42	101
19	1441
1	803
1557	0
1276	0
11	1
24	264
