UniqueCount	AmbigCount
0	1305
8	828
1	495
115	1638
20	3716
1417	5401
12	13021
27	13060
119	2500
28	4978
402	6092
2413	5180
320	125
0	183
0	0
0	89
0	470
0	71
0	81
0	452
0	331
3	441
0	441
7	491
6	491
0	355
0	404
152	0
1	4
0	2395
0	1959
0	4
0	2067
28	230
0	2646
0	1816
6	2468
78	0
28	35
3	436
26	436
0	14
0	2
0	16
0	19
0	18
0	21
3	0
0	33
21	35
38	0
12	0
5	649
21	229
447	0
111	950
48	721
19	561
5	0
6	476
11	476
0	124
210	1
2	0
0	0
0	145
2	145
253	6
0	6
38	0
0	0
0	0
2	0
0	1302
0	1919
0	2103
1	873
0	1118
0	224
0	1095
0	1066
0	504
16	212
0	254
0	1109
0	534
0	1093
0	1063
0	1125
0	1096
0	1079
26	290
0	293
5	278
7	128
1	128
7	128
2	2
347	0
5	302
1	278
1	302
9	304
0	27
0	2078
0	2157
0	2127
0	2016
0	2108
0	1956
0	1982
10	0
14	20
2	10262
23	11496
2	11219
6	378
1	2
0	783
29	11235
17	10732
53	11761
0	11295
2	11109
3	1
0	1151
0	1122
3	802
0	1096
0	1177
0	67
159	0
302	0
33	257
1	269
19	254
0	308
14	265
6	272
7	9
0	9
1	0
0	0
1042	0
1692	2082
38	2082
2275	0
16	547
11	639
33	284
4	1310
0	254
0	31
101	547
1	199
0	639
0	1827
35	1885
0	755
21	0
94	0
181	0
2	2
0	0
1	21
0	8
0	20
2	9
2	0
0	0
1	0
0	29
34	29
0	332
0	288
0	290
0	330
0	378
0	285
0	304
0	376
0	194
0	956
0	436
0	453
21	959
2	0
9	0
0	0
0	340
5	1120
3	2371
0	1060
0	2402
0	1616
14	246
0	2099
6	805
2	2458
0	1210
0	1064
0	1
0	1
4	799
0	314
0	44
0	835
0	834
0	308
1	829
0	313
21	460
0	829
275	852
62	852
0	831
0	408
164	0
0	135
0	225
0	127
2	105
2	83
0	28
0	37
0	35
0	0
1	0
0	947
0	1278
0	889
0	752
15	317
0	694
2	800
69	1653
2	1479
1	1527
0	1336
2	1605
165	0
4671	17178
7	17038
0	17034
0	17033
1	0
4	0
0	356
20	356
1	0
0	0
0	64
14	64
9	0
0	1769
1	328
0	1985
2	942
0	2062
0	52
0	339
0	661
0	209
0	954
34	453
50	594
2	529
9	256
0	14
74	786
5	207
0	0
0	127
0	135
0	90
8	196
0	117
3	59
0	82
2	156
0	207
1	312
13	312
0	300
0	408
35	332
4	327
11	0
0	1161
1	94
8	966
1	642
75	1161
301	0
156	0
450	0
0	0
4	1
1865	1
685	5341
36	3938
155	1716
15	1511
219	5236
84	140
69	140
2352	3
140	0
0	158
0	92
0	134
0	120
0	232
1	41
0	218
0	144
0	47
107	0
1	49
102	49
0	791
0	805
3	367
0	549
1	806
16	371
0	820
0	564
2	340
2	65
0	1885
0	1815
0	1873
0	1764
43	758
1	134
7	624
0	22
6	4304
3	4250
0	48
0	40
3	657
0	676
2	588
0	599
14	730
0	49
0	111
0	119
0	0
77	0
22	184
0	252
11	252
0	63
0	461
101	460
9	0
50	0
13	1
0	2
10	27
4	28
4	23
1	2
15	21
2	3
17	35
0	1
72	26
0	0
0	0
1	0
0	4360
0	1784
0	4086
0	2155
0	1868
3	341
0	1493
6	1440
1	1475
0	2239
0	4170
0	37
4	1247
0	4276
0	0
135	31
0	2
0	1089
12	353
0	759
0	485
0	165
3	190
0	120
14	353
6	1702
0	459
3	97
1	29
103	22
4	96
0	52
6	7
15	11
4	8
0	2
2	13
0	3
2	14
2	0
9	0
8	0
105	0
0	0
0	0
3321	9000
0	5195
0	4354
0	0
0	0
0	2305
0	4354
0	2305
3	8986
4	91
0	96
0	104
0	1337
8	914
5	1342
0	222
2	471
11	93
6	1388
1	18
17	81
1	912
7	790
2	6
0	1450
38	233
34	233
2	1474
0	1474
0	6
1	6
2	0
32	0
0	1223
0	472
2	337
0	1160
0	1223
0	54
0	494
3	1198
2	0
1	0
3	10
0	0
31	0
0	2
0	2
3	0
1	0
1	0
1	0
0	0
4748	12178
9111	23
1	12190
3	547
68	12190
4418	10382
3	2281
2733	20552
5	7300
4	15033
3	12293
0	542
19	18803
41	22
484	0
40	154
22	134
72	0
1	0
0	0
633	0
114	0
8	1
0	2
83	2
3	0
191	91
0	91
390	295
0	515
0	483
2	201
0	519
133	497
0	1038
0	551
12	0
17	1474
6	855
6	982
314	1469
6	0
2	0
0	0
125	0
91	0
26	538
0	530
0	545
84	522
0	1504
9	1491
3	1618
0	1773
0	1633
0	1644
243	0
571	0
324	0
19	665
1	665
3242	29
1	564
2	73
0	459
0	372
19	637
469	88
1	88
3	363
0	106
1	382
0	399
1	382
12	324
5	477
8	477
246	0
1804	2
0	3
4	3
0	3
5	3
0	1
0	2
0	0
125	0
67	0
59	0
2	130
12	104
0	616
1	609
25	720
4	579
7	2637
16	2537
7	2187
0	275
10	335
0	2674
28	1963
0	2493
0	456
34	0
18	0
3	0
2	0
0	696
3	670
6	466
6	652
1	834
0	1556
0	586
0	1554
0	1451
0	352
0	1453
0	104
0	322
21	417
0	1404
48	1816
32	0
1	1239
2	244
0	449
0	1233
4	202
26	1603
4	958
13	1606
4	70
0	70
55	259
0	259
96	1052
103	1052
136	18
1	18
2	1
7	0
73	0
0	3941
0	3750
0	1973
1	424
0	3960
3	1945
0	4047
0	655
0	3915
0	2054
4	391
0	3964
0	3705
19	273
0	303
22	87
1	141
30	300
3	300
0	1060
0	1132
0	786
0	1104
0	1176
3	5
1	0
1	0
0	1
0	5
0	378
3	459
4	449
1	156
4	433
0	722
4	1928
88	1880
69	3843
1	1929
1	67
0	2019
260	2038
335	3891
0	2015
6	108
13	181
6	1
0	3
0	2
43	153
0	164
2	216
13	153
40	286
0	169
27	7
0	12
0	9
5	14
0	11
0	4
32	0
6	12
4	406
15	406
9	46
3	46
0	1
1	1
4	0
1	0
0	0
0	283
33	552
1	346
2	34
2	103
1	406
67	553
1	34
7	59
19	53
2	85
17	0
0	33
0	404
0	32
0	263
0	314
0	455
3	147
0	4
0	2
11	0
6	0
1	0
24	0
0	774
0	967
24	809
8	861
2	608
0	874
1	204
12	486
0	21
18	486
20	426
22	0
173	341
20	341
2	0
59	0
1	0
11	3
0	3
5202	0
0	8088
1	1808
0	6598
0	8065
163	1803
1	943
9	4473
45	5467
26	8044
3	940
0	8045
0	8067
44	5205
21	4338
117	4533
1	1643
90	2639
6	683
65	2
544	0
3	157
0	189
3	2
4	157
0	84
2	0
0	0
0	0
0	0
5	409
2	410
6	409
0	3192
60472	2662
1	3213
6586	3213
7823	3337
6738	908
2	235
0	1548
1	1509
0	1390
2	2812
0	1506
0	5
0	966
0	2791
0	2949
0	1663
0	2834
0	3153
0	3038
3	0
5	0
4	0
2	0
0	2877
38	603
0	3180
0	2969
0	3159
0	2995
11	297
0	2948
0	1817
5	1958
0	3112
0	3133
0	3016
0	2856
0	1981
0	89
1	89
31	311
390	369
3	562
2	0
0	6331
18	8620
0	8727
13	8181
121	3602
5	7633
200	4293
149	5780
34	5304
0	5644
168	6732
565	55
10	8
0	2047
23	28
65	24
0	2124
0	2185
0	2108
0	457
0	1
1	343
0	346
0	347
0	342
19	21
0	672
2	193
4	678
18	678
11	661
0	2247
823	2366
4	2048
32	2128
1	932
1	0
1094	0
2	0
1	0
23	0
1	0
1	1901
2421	1901
8	3665
0	3568
0	3912
0	2320
0	2392
0	2350
0	2295
0	2223
0	2447
1318	1
141	2163
127	2163
0	422
13	1359
0	1312
0	3
0	1163
0	9
0	1193
0	1857
0	1708
0	1827
0	1750
0	1720
1	209
0	1342
0	321
0	315
0	620
0	626
4	0
31	1097
28	1097
1	638
61	2365
26	1685
3	371
10	2443
0	989
0	2375
338	3842
3	3842
142	2146
0	2146
1	1
1	1
143	0
216	0
47	0
1	0
7	577
3	185
14	531
0	235
0	560
0	632
9	990
0	55
0	1
0	982
0	995
171	0
24	0
0	0
66	0
0	2
10	2
0	68
0	123
4	53
0	6
8	125
0	52
23	0
7	0
0	1
1	1
34	108
0	2
4	108
1	108
0	0
10	645
30	657
3	1160
1	193
51	1049
1	202
0	18
0	92
9	529
15	256
55	1241
5	995
19	1573
0	44
0	995
17	429
88	1903
0	1462
0	495
4	2
23	0
2	3
14	0
1	0
4	0
280	6
0	6
100	1100
4	3797
0	4607
114	434
0	3866
0	4216
0	4580
12	4227
14	63
1	231
0	316
0	260
0	268
7	276
0	308
8	0
119	0
19	0
649	11492
186	11490
73	11062
150	2843
288	5557
187	3415
0	2268
1	6004
3	1499
19	2503
43	390
181	1697
219	1619
15	947
0	1010
23	430
0	306
98	1191
16	920
31	605
232	773
614	53
18	53
2	29
16	8
0	157
0	9
4	9
0	199
0	125
2	82
0	88
0	182
0	108
0	0
0	2
0	2
0	3
1	4
1	3
0	1
1	2
0	4
2	0
0	5894
0	31
0	36
63	4804
438	7539
2539	57
22	289
45557	118126
0	112039
2	6663
0	24096
31	21994
36	13971
0	24653
12	7419
48	530
2	591
0	3695
16	3119
0	22435
71	604
126	20324
15	22501
2	32
265	205
45	203
8	38
26	43
8	143
9	62
93	58
18	65
3	45
23	57
0	0
0	44
15	9
2	7
6	44
3	294
105	900
4	65
5	341
0	627
186	288
0	0
2	0
6	16
0	11
6	15
2	0
13	0
0	4578
0	4180
0	3368
0	4659
0	4457
0	1
0	4855
19	2136
0	1352
1	2365
1	3039
0	3766
0	4261
2	28
5	13
19	49
0	186
0	33
0	187
0	44
0	69
1	214
0	57
0	1158
0	1158
12	520
0	1576
0	1416
6	725
7	1024
15	1341
0	205
10	1479
3	1569
0	1703
0	1537
5	4
1	249
0	744
0	170
0	452
13	0
0	380
0	385
4	418
0	407
0	372
1	243
0	699
4	249
0	93
0	322
17	0
3	0
1649	3
8	3
36	0
2	0
0	6069
2	5951
1	5930
0	6571
908	0
0	4843
68	0
0	4792
0	6390
0	4379
0	6111
14	501
0	6249
0	6131
0	4772
0	5233
24	0
365	0
5438	1
0	0
0	2954
7	1283
3	2954
7	463
0	1773
20	1332
0	1673
0	2896
44	1368
3	371
0	2996
5	117
80	852
17	54
0	3036
0	267
0	325
0	330
5	100
0	262
0	93
32	44
39	5
32	39
6	9524
0	9681
0	10132
0	9368
0	10518
61	3330
0	9650
588	0
0	952
0	1306
0	979
0	230
0	208
0	1007
0	1320
1	1238
37	0
3	1932
0	70
0	1935
1	1432
10	1019
0	367
153	346
0	577
0	3754
49	4242
0	931
0	2705
0	290
8	4069
5	750
142	925
0	2659
42	1002
2	3189
0	2764
0	3082
1	8
0	6
37	2
1	1
4	5
0	61
1500	61
2319	36689
1586	60008
1891	52643
5	10788
34	58497
365	61421
0	116
5	616
147	975
14	992
1123	241
4	230
1	2532
201	2532
3	261
2	334
0	100
4	284
24	707
0	684
1	355
0	709
5	250
0	5
2	0
8	320
1949	0
82	345
27	390
104	507
0	210
435	1327
16	781
4	604
6	462
28	9
0	843
43	690
9	483
0	820
0	402
2	1477
0	860
0	1056
8	1152
8	427
4	1158
9	0
2	87
0	87
82	85
3	57
0	11
0	11
3	0
3	0
4	11028
216	29586
18	12039
282	11311
46	11266
25959	29985
7	11849
0	11120
283	0
6	140
11	140
5321	1116
0	3751
3	2724
162	2633
28	3004
5	3467
16	1027
0	1696
57	1027
2	97
149	282
441	2879
0	3083
194	2922
6	98
58	1
18	121
12	121
2	1079
0	1142
6	1852
1	1434
14	1950
11	1836
12	1949
0	2461
2	413
2	320
0	3052
1	2881
0	3054
0	2788
1	3033
9	1486
0	2804
26	1
0	23
0	3068
0	2724
4	3
297	0
258	15551
13	15551
16	1406
2	1440
28	152
156	1239
0	1452
0	728
0	646
0	708
2	790
0	47
0	121
21	20
0	60
4	181
0	397
0	185
0	371
0	169
0	418
0	393
0	205
0	408
0	434
0	231
460	0
34	333
5	172
0	333
10	30
6	30
59	0
275	0
230	2585
16	2585
4	0
72	0
3496	1262
36	1262
513	0
375	0
9	124
4	5
5	118
1	50
18	2228
0	126
85	2048
0	672
5	810
0	24
650	0
0	254
4	254
0	297
1	24
0	727
0	723
0	744
0	0
0	318
25	401
0	748
53	4335
76	4483
0	1590
0	28
71	0
0	5
1	32
0	10
24	20
49	64
1	9
0	31
1	33
1	28
0	23
0	0
0	0
1	150
0	151
11	45
2	32
0	31
8	23
0	23
10	0
0	3
0	148
0	147
0	2
190	0
6	2
3	323
4	345
0	33
125	323
1	1848
15	1848
0	799
1094	2
399	0
0	31
0	369
0	485
0	361
0	477
1	37
1	0
0	0
5	0
11	0
9	911
21	934
4	203
3	680
2	90
29	249
8	669
0	119
4	1
0	1086
0	1390
363	843
0	627
7	634
17	356
30	1494
0	850
0	1459
0	1157
5	1292
0	1240
6	715
2	1422
1	156
0	1069
0	1376
0	1452
15	211
21	710
1	226
1	710
15	0
0	0
141	33
4	3474
0	1438
266	3454
0	2400
0	2024
0	2324
0	1897
0	2220
0	1844
0	1717
0	2504
6	237
28	1124
0	0
0	28
26	25
8	20
0	28
12	22
0	0
0	1346
0	1381
18	71
15	272
0	1431
38	788
13	1097
0	1017
3	863
0	745
0	754
0	653
0	653
0	655
52	0
42	0
7	1701
299	2792
0	19
108	3691
4	1701
2	7186
1	7185
1	163
50	0
4	210
602	210
5	111
1	163
0	1342
7	1
0	1301
0	1137
0	157
0	1096
2	401
0	401
3	393
0	933
1	933
0	865
4	0
0	944
0	850
0	16
0	950
0	952
0	942
0	940
0	934
3	509
0	859
0	883
2	562
0	67
0	52
3	552
0	565
7	520
34	4119
5	33
111	824
1	204
1	22
142	4119
0	180
23	847
32	554
7	102
1	102
0	102
2	102
0	102
2655	1623
0	1623
1	29
24	229
3	39
0	1078
0	1181
0	370
31	220
0	1081
0	1193
0	65
1	1124
7	80
0	1035
0	1150
0	1938
0	1824
4	1635
4	896
1	2294
0	2180
0	0
0	186
7	186
10	21
30	10
14	0
59	2613
64	0
119	9642
0	10309
6	78
1	5830
21	11617
35	12200
1	5835
2	1486
0	4636
0	5528
0	4868
0	5296
214	0
1	0
56	2765
137	3746
61	6988
411	11399
4	6128
621	9856
22	4066
147	6382
6	115
67	3799
32	8102
29	8022
326	8401
1	116
1	112
2	36
0	57
2	66
44	238
2	5
9	94
0	141
3	88
0	0
5397	5
3	0
4	0
0	0
0	0
5	0
1	0
4	0
2	0
2	0
18	635
2	227
325	862
4	149
3	141
9	161
2	0
0	470
0	321
0	308
0	61
0	312
0	483
1	49
6	478
10	1
2	1
0	0
302	0
3	148
23	1934
0	530
0	2073
1	83
10	68
37	1364
0	184
2	507
0	1526
24	145
0	875
2	848
0	50
0	847
1	800
1	861
5	818
117	0
0	750
0	35
3	239
0	1182
0	824
0	714
0	325
0	818
0	664
0	788
0	1077
1	32
0	1201
0	590
0	1237
0	1022
1	656
0	270
1458	64
10	0
0	52
7	52
27	0
1	0
0	5446
3	5308
33	5795
0	13
0	6028
0	5339
0	3354
0	5904
0	6282
0	0
0	69
5	110
12	180
0	128
23	66
2	245
0	256
0	117
1	243
516	0
0	11
0	11
0	0
0	263
0	268
1	22
0	288
0	167
0	192
0	22
0	179
0	73
1	103
3	101
85	101
187	0
530	372
8	131
6	0
4	412
0	2519
0	1968
0	443
11	2118
0	1
13	248
15	768
11	2347
2	1
0	0
2	1259
1	0
2	158
117	922
46	1215
21	1230
0	13
5	13
1	212
1	57
0	1262
1	1216
1	899
0	896
7	1006
126	0
3	1599
77	1674
39	1741
42	1761
2	301
0	59
0	178
2	278
6	202
1	295
1	291
1	406
0	447
4	7
10	402
6	463
1	8
2	356
2	122
0	435
0	419
15	8
7	322
801	178
12	178
2	0
1	0
1	0
8	1553
1	1333
0	1570
0	1345
1	1345
0	1357
80	1134
1	670
0	1195
25	743
34	18
0	1127
34	0
91	0
23	0
0	75
9	75
0	26
1	28
0	2
187	23
0	114
0	164
15	164
38	0
95	493
13	322
3	493
145	0
5	0
1	810
1	794
16	815
6	169
5	609
4	862
1	2996
1	4011
68	3820
0	2619
0	3047
68	2672
6	3571
148	0
12	6
2	0
14	58
2	58
38	0
16	0
2	0
0	1
1	0
1	2
0	0
0	2
265	0
418	9150
1102	9116
11	6
270	233
2	376
0	72
3	1
71	1778
8	1477
9	1583
2	0
0	2892
0	1068
15	3644
0	202
0	3233
0	3156
0	183
0	1677
0	2851
0	3267
0	3403
2	1378
0	2906
0	3307
0	3151
0	2986
0	3060
0	3859
0	3015
0	3139
0	1171
271	0
8	0
62	249
124	249
0	645
0	842
0	826
0	831
0	847
0	325
157	0
0	650
1	741
0	720
1	727
0	734
6	356
2	356
48	979
92	979
10	284
145	324
1	40
911	0
4	0
16	334
77	334
0	135
2	144
0	122
0	145
0	143
0	150
0	144
0	174
0	127
0	135
0	114
0	153
13	2
105	0
0	1108
0	1123
0	1093
12	529
0	1108
0	5
76	5
69	257
0	293
0	75
4	323
4	120
3	81
30	277
1	389
40	389
164	0
7	942
10	1375
67	1375
0	2202
0	2402
0	2308
2	666
22	325
0	2161
0	2067
0	2108
6	470
336	470
4	273
16	1100
8	905
9	1432
0	4589
6059	1671
0	5035
0	1701
872	5006
6	0
8	0
5	570
20	24
0	507
86	1319
14	1154
0	23
3	0
3	0
7	0
2	0
0	0
0	1017
0	555
0	495
55	813
0	980
3	1108
302	56
3	11
0	474
21	85
6	63
0	57
350	21
4	996
20	9
0	9
0	9
8	29
8	3
51	13
99	4
12	9
0	21
5	29
0	20
5	21
10	15
1	8
17	2
40	0
56	2081
289	410
0	4611
0	559
38	187
17	1849
0	4759
148	1827
0	537
0	4608
0	536
0	2293
8	731
1	4533
0	4486
3	1906
10	658
0	2105
0	4883
633	493
0	4493
0	657
0	2115
0	560
10	238
0	250
8	243
0	714
0	388
0	711
0	705
0	393
0	385
0	702
181	0
2	98
0	292
0	374
0	297
0	378
0	382
2	308
0	383
1	32
0	378
0	6
0	99
0	379
3	41
0	296
17	7
0	4
2	4
37	0
1	0
0	3435
259	1432
0	4684
3	70
0	3731
0	4616
2	4336
0	4508
0	3568
0	3907
5560	7
16	1592
454	1756
18	790
0	789
194	0
109	640
0	573
1	446
106	640
0	13
3	11
2	12
0	2
0	3
0	12
0	13
0	2
2009	0
0	0
1	0
0	3789
2	170
0	661
0	3909
0	3771
0	752
1	4010
0	642
13	698
11	3918
63	67
0	67
2	0
151	644
2	643
1	3
6	2
0	2
1	3
149	10
66	1
16	1149
0	1149
38	0
43	79
1	16
10	90
11	83
56	35
2	47
1	47
0	47
13	0
0	2507
3	2493
0	2569
0	2770
0	2425
0	2852
20	0
0	1
0	0
0	3
0	3
0	1
0	1
0	2
5	23
3	23
2	69
0	68
7	71
3	4
0	4
0	0
3	33
0	11
1	33
1	10
0	3
0	2
36	1
1	2
0	1
0	2
1	0
1250	1128
1	1250
1	1250
12	232
81	88
0	373
0	16
0	34
0	178
273	269
11	34
4	133
7	1
1	1
0	16
4	16
5	1
78	19
7	8
0	0
5	0
0	919
0	713
0	112
1	246
0	713
0	710
0	924
0	924
5	623
0	710
0	919
57	30
18	30
6	352
5	352
80	0
0	470
0	168
82	221
96	683
311	392
0	21
71	0
0	591
0	1045
0	1074
0	1072
0	1047
0	960
0	392
466	1
15	0
32	0
2	0
0	0
0	577
1	473
0	752
0	602
10	419
23	318
1	0
4	0
1	0
2	0
0	61
30	138
1	304
0	636
4	279
0	552
0	565
0	145
0	269
0	363
6	897
0	41
2	365
5	508
0	858
0	309
6	265
0	109
0	53
0	402
17	0
5	0
1	0
0	52
2	537
0	221
11	362
8	140
0	648
2	648
11	267
10	341
116	342
0	143
4	411
5	387
4	108
23	0
2	0
2	1499
3	1076
3	1656
2	1433
5	1800
2	3
1	915
4	324
1	0
4	44
47	483
5	289
3	194
0	97
4	0
1	0
1	0
36	105
7	105
3	0
1	0
25	0
73	388
24	388
9	91
0	157
0	157
0	255
0	92
0	255
0	127
93	1228
0	38
44	1258
1	0
0	148
0	137
17	78
0	167
0	156
33	0
189	0
0	1148
0	1014
0	1037
0	242
0	1107
39	163
0	276
0	1078
0	199
1	607
0	0
27	0
0	0
301	772
0	772
266	92
1	92
35	0
0	512
0	1667
764	2061
4	3080
50	1269
195	3203
6	1542
1	279
0	0
0	373
0	2812
0	2818
0	106
0	2726
61	2931
0	2865
5	690
23	1033
0	2850
9	305
81	0
103	325
0	325
3	195
0	0
325	0
4	0
0	221
23	73
0	272
0	485
0	438
374	133
0	391
0	433
0	226
0	133
0	230
135	43
1	46
1	3
9	0
9	102
1	112
17	112
8	177
15	0
0	52
134	177
1	115
9	312
2	369
1	412
23	86
44	488
14	488
0	40
0	508
0	497
0	513
0	502
2	326
3	228
0	320
0	328
1	373
0	364
0	395
3	29
9	345
0	11
0	327
1	2
194	403
99	626
5	626
12	3
0	3
27	1
10	0
3	0
0	1282
1	5166
456	1216
522	2550
5	5293
0	3871
29	4996
3	508
0	4203
0	4821
0	4653
3	2267
0	4276
0	3998
0	4371
0	4445
20	801
12	327
14	131
0	875
0	1121
0	1023
0	880
0	1138
33	1210
3	269
537	438
12	601
1	623
146	1256
7	48
1	213
20	777
20	1257
1	522
23	522
2	726
0	498
1381	204
13	259
14	259
123	0
0	117
0	66
0	71
0	74
10	18
6	110
0	120
0	112
23	14
19	73
0	19
21	2003
32	2003
4	366
0	366
229	0
105	0
2	0
2	0
15	30
2	1114
0	16
0	1094
4	198
2	1143
9	2418
0	1620
