UniqueCount	AmbigCount
0	305
1	233
1	112
31	426
15	1425
901	3445
16	5654
38	5671
90	1813
8	2475
231	3915
1405	3332
192	70
0	78
0	1
0	46
0	231
0	33
0	26
0	218
0	261
2	340
0	340
1	216
1	216
1	169
0	185
101	0
1	2
0	1456
9	1192
0	2
0	1192
21	90
0	1582
0	1066
3	1461
40	0
4	13
7	223
11	223
0	5
0	0
1	5
1	6
0	5
0	6
1	0
1	14
10	15
15	0
4	0
0	271
5	105
205	0
41	413
20	308
14	244
5	0
5	271
4	271
0	67
119	0
0	0
0	0
0	51
0	51
93	4
0	4
18	0
2	0
1	0
3	0
0	610
0	1086
0	1004
1	467
0	692
0	79
0	504
0	496
0	208
4	70
0	89
0	499
0	218
0	499
0	489
0	514
0	506
0	489
5	156
0	162
3	155
5	58
2	59
4	59
1	0
126	0
2	139
2	128
0	139
8	142
0	4
0	426
0	441
0	433
0	420
0	434
0	409
0	417
3	0
5	2
1	1133
0	1232
4	1359
1	68
0	0
0	46
10	1367
6	1273
13	1244
0	1383
0	1332
0	1
0	664
0	644
0	485
0	633
0	675
0	33
94	0
60	0
15	120
2	115
8	120
1	130
3	112
2	118
3	1
3	1
1	0
0	0
527	0
415	467
6	467
365	0
3	221
2	261
16	120
1	653
0	117
0	8
30	221
0	78
0	261
0	925
15	949
1	356
8	0
25	0
68	0
3	1
1	0
1	9
0	8
0	9
0	4
2	10
0	12
0	10
0	12
16	12
0	153
0	137
0	135
0	155
0	164
0	132
0	137
0	166
0	94
10	490
0	267
0	276
6	494
1	0
5	0
0	0
0	147
2	491
5	1048
0	439
0	1052
0	742
2	103
0	940
0	386
1	1064
0	467
0	441
0	0
0	0
0	461
0	155
1	14
0	466
0	458
0	160
0	473
0	147
3	269
0	471
103	445
15	445
1	436
1	190
63	0
0	52
0	92
0	47
0	41
1	33
0	15
0	7
0	6
0	0
0	0
0	493
0	447
0	464
0	366
5	183
0	337
5	431
29	638
0	561
1	591
0	476
0	608
60	0
2209	8560
1	8464
0	8463
0	8463
0	0
4	0
2	174
3	174
0	0
0	0
0	24
7	24
3	0
0	921
0	134
0	1020
1	476
0	1050
0	25
0	205
0	356
0	104
0	485
30	221
8	298
1	319
1	128
0	3
47	447
1	136
0	0
0	73
0	72
0	43
1	112
0	73
3	36
0	39
0	99
1	117
1	159
4	159
0	145
0	186
7	124
11	124
9	0
16	565
0	52
0	497
1	354
20	565
159	0
139	0
208	0
0	0
4	0
1107	0
323	2462
22	1792
53	783
5	660
109	2390
39	51
43	51
787	0
37	0
0	68
0	41
0	52
0	51
0	80
0	13
0	79
0	67
0	39
60	0
0	36
76	36
0	469
0	469
4	184
0	339
0	482
16	213
0	482
0	351
0	237
2	28
0	905
0	831
0	900
0	811
17	472
1	92
8	380
0	13
5	2142
1	2122
0	32
0	29
3	407
1	424
2	373
0	375
16	457
0	26
0	71
0	74
0	0
26	0
15	173
3	217
0	217
0	39
0	192
55	192
3	0
30	0
4	0
0	1
1	13
3	13
4	19
0	1
4	8
2	2
3	35
0	1
17	23
1	0
0	0
2	0
0	2325
0	1076
0	2209
0	1248
0	1089
1	127
0	899
3	891
1	914
0	1261
0	2222
0	15
4	785
0	2312
0	0
50	14
0	0
0	465
5	196
0	295
0	182
0	69
0	78
0	51
18	196
6	698
0	170
0	35
0	11
64	6
0	35
0	19
1	2
6	6
1	2
1	4
0	8
4	13
2	21
0	0
4	0
4	0
51	0
0	0
0	4
734	1948
0	3821
0	2861
0	1
0	6
1	4548
0	3064
1	4338
1	1943
2	53
0	59
0	52
0	636
3	417
1	628
0	88
1	209
7	50
1	647
1	10
4	38
4	400
1	362
1	3
0	690
25	129
30	129
3	689
0	690
0	5
0	5
0	0
0	0
0	565
0	202
1	143
0	547
0	566
0	16
0	241
4	550
0	2
0	0
1	4
0	0
18	0
0	0
0	0
1	0
0	0
3	1
0	0
0	1
852	2949
6236	32
0	2965
2	114
12	2965
63	2733
2	1380
0	4476
525	3354
0	4141
0	4148
2255	1118
202	4859
17	6
187	0
20	53
14	47
34	0
0	0
0	0
299	0
34	0
5	2
0	1
33	1
2	0
154	69
2	69
203	153
0	237
0	231
0	105
0	239
43	237
0	478
0	245
5	0
7	676
8	406
2	414
105	677
1	0
0	0
0	0
61	0
50	0
11	258
0	254
0	258
27	254
0	737
1	735
3	800
0	869
0	810
0	796
109	0
296	0
107	0
16	224
1	224
1640	17
0	332
0	47
0	273
0	220
13	379
264	44
0	44
2	218
0	55
0	226
0	229
0	221
2	168
2	221
6	221
122	0
836	2
0	2
2	3
0	0
0	0
1	0
0	0
0	1
103	0
19	0
17	0
0	70
8	64
0	334
0	329
17	397
1	317
0	1160
10	1115
1	946
0	129
6	156
0	1221
8	885
0	1136
0	214
17	0
8	0
0	0
1	0
0	348
0	333
4	247
1	331
0	430
0	790
0	297
0	790
0	784
0	175
0	784
0	42
1	158
12	211
0	724
34	934
8	0
3	576
0	103
2	228
1	588
2	73
13	728
3	472
0	721
5	51
0	51
35	128
0	128
35	424
45	424
67	3
0	3
1	0
5	0
38	0
0	1868
0	1786
0	887
1	182
0	1899
0	894
0	1925
0	271
0	1869
0	939
0	199
0	1886
0	1756
12	124
1	136
14	38
0	50
17	131
3	131
0	593
0	621
0	425
0	621
1	649
4	2
0	0
0	0
1	0
0	1
0	174
0	190
1	177
0	68
1	177
0	312
3	1092
35	1087
35	2090
0	1101
0	40
0	1133
129	1131
151	2114
0	1146
5	59
7	105
2	2
0	1
0	3
12	49
0	52
0	66
4	48
25	77
0	53
6	7
0	7
2	4
2	10
0	7
0	1
5	1
0	1
3	251
3	251
3	11
0	11
0	5
0	5
3	0
1	0
0	0
1	124
1	269
1	160
0	10
0	44
1	190
22	270
0	19
7	28
2	26
1	48
9	0
0	14
0	157
0	12
0	99
0	110
0	168
2	62
0	0
0	0
3	1
1	1
0	0
2	0
0	136
0	208
5	351
0	404
1	308
0	414
0	76
7	204
0	8
13	204
8	169
13	0
66	131
6	131
4	0
39	0
1	0
1	5
0	5
1636	1
0	2553
3	545
0	2111
0	2424
46	544
1	282
4	1245
13	1704
9	2547
3	283
0	2552
0	2424
60	2565
4	2058
47	2344
1	617
36	1285
9	423
13	0
238	0
1	96
0	110
4	2
4	96
1	45
1	0
0	0
0	0
0	0
5	240
0	240
3	239
1	1467
28628	1431
0	1483
3289	1484
3944	1545
2421	471
1	113
0	939
0	869
0	849
2	1679
0	931
0	1
0	525
0	1642
0	1758
0	1044
0	1653
0	1916
0	1811
0	0
5	0
1	0
1	0
0	1441
12	316
0	1572
0	1487
0	1577
0	1509
2	112
0	1492
0	917
3	1019
0	1560
0	1555
0	1504
0	1446
1	985
0	38
0	38
11	93
146	179
6	229
2	0
0	5129
4	6936
0	7010
11	6628
102	2947
4	6071
86	3680
83	4769
22	4361
0	4630
148	5608
247	14
2	8
0	1030
6	11
18	13
0	1066
0	1104
0	1068
0	255
0	2
1	177
0	167
0	167
0	177
7	17
0	349
3	102
0	340
4	340
0	338
5	977
278	1003
1	809
4	840
3	383
1	0
347	0
1	0
0	0
5	0
3	0
0	842
1337	842
2	1612
0	1590
0	1718
0	1020
0	1071
0	1035
0	1023
0	972
0	1083
593	0
71	1034
33	1034
0	222
4	706
0	693
0	2
0	612
0	8
0	593
0	940
0	859
0	959
0	894
0	913
1	96
0	674
0	146
0	141
0	276
0	281
4	0
9	546
22	546
0	140
20	617
9	464
0	96
1	641
0	249
1	612
136	1901
0	1901
62	1019
2	1019
0	0
0	0
48	0
67	0
16	0
0	0
2	331
0	96
3	302
0	119
0	319
0	554
9	1011
0	37
0	1
0	1003
0	1015
88	0
11	0
0	0
48	0
0	1
4	1
1	21
0	43
2	25
0	1
3	47
0	25
6	0
0	0
0	0
0	0
44	62
0	1
5	61
0	62
4	0
7	192
10	264
5	396
0	38
1	312
1	67
0	5
0	22
3	214
3	80
25	636
4	514
12	742
0	18
0	514
8	181
51	916
2	726
1	186
0	2
18	0
1	5
13	0
1	0
0	0
134	1
0	1
50	416
0	1716
0	2151
52	191
0	1857
0	1910
0	2138
32	2032
2	31
0	115
0	164
0	132
0	138
6	137
0	158
5	0
98	0
7	0
173	4399
68	4399
36	4205
56	1016
122	2073
41	1173
0	852
0	2270
1	511
25	1027
12	225
69	1095
156	1112
18	607
0	627
9	262
0	178
100	796
8	669
15	435
278	660
222	22
6	22
1	10
2	2
0	94
0	11
2	6
0	104
0	71
0	60
1	44
0	104
0	71
0	0
0	2
0	2
0	1
0	3
0	1
0	2
0	1
0	3
1	2
3	2036
0	42
0	51
27	2249
289	3062
872	55
14	221
252810	670144
1	645587
0	8920
0	29423
95	27199
29	16728
0	29238
15	8853
45	524
2	568
0	4117
8	3424
0	27704
37	582
199	25389
6	27651
6	27
123	277
27	275
0	22
4	39
9	187
21	61
75	60
2	83
12	56
14	62
3	2
1	17
2	7
0	6
4	17
2	123
47	339
3	29
1	94
0	247
73	100
0	0
0	0
0	6
0	4
0	6
0	0
5	0
0	2197
0	1963
0	1579
0	2239
0	2092
1	0
0	2326
5	1015
0	622
0	1099
3	1394
0	1813
0	2005
2	15
6	5
12	25
0	88
0	10
1	92
0	15
0	30
2	104
0	22
0	566
1	566
8	243
0	849
0	760
6	370
5	610
7	707
1	116
5	814
2	852
0	911
0	840
1	4
0	145
0	392
0	101
0	221
5	0
0	221
0	226
0	196
0	199
0	215
1	149
0	370
0	110
0	55
0	193
5	0
6	0
524	1
1	1
11	0
1	0
0	3051
1	2990
2	3018
1	3339
361	1
0	2436
24	1
0	2383
0	3251
0	2194
4	3107
4	175
0	3140
3	3080
0	2418
1	2656
9	1
195	0
1396	3
0	0
0	2045
1	756
1	2032
5	246
0	1088
15	818
0	1070
0	2033
23	830
0	188
0	2051
3	67
42	542
15	46
0	2084
0	65
0	94
0	93
4	34
0	66
1	29
11	15
17	1
12	14
2	4627
0	4677
0	4907
0	4588
0	5117
17	1642
0	4717
285	0
0	407
0	564
0	421
0	101
0	87
0	433
1	573
1	543
25	0
0	704
0	43
0	707
0	532
6	898
0	220
62	233
0	710
0	4446
129	4986
80	739
22	3257
1	302
14	4756
3	866
83	1001
2	3483
33	1013
30	3399
0	3152
0	3452
0	5
0	5
8	0
1	1
1	4
0	18
622	18
1292	8078
409	13114
401	11344
2	2664
28	12461
138	13218
0	33
1	138
40	191
1	195
185	53
4	54
0	1564
210	1564
1	123
2	178
0	50
3	144
11	332
0	324
0	185
2	337
0	146
2	7
0	0
3	140
754	0
35	115
10	193
34	254
0	56
205	528
3	336
0	297
6	149
9	6
0	431
8	338
4	187
0	427
3	148
4	810
0	430
0	546
3	687
2	201
8	690
3	0
0	24
0	24
24	24
1	17
0	6
2	6
4	0
0	0
0	4300
86	12585
12	4783
159	4427
14	4367
11431	12770
5	4672
0	4316
114	0
5	53
0	53
2361	335
0	1379
1	1162
1	1150
7	1100
2	1311
9	500
0	855
16	500
2	37
59	89
200	1529
0	1485
159	1559
2	32
42	1
7	30
0	30
2	308
0	344
1	545
3	424
7	596
4	537
0	595
0	843
1	176
1	123
0	1064
0	989
0	1053
0	974
0	1050
4	463
0	973
7	0
0	8
0	1063
0	931
0	1
2141	0
255	19376
16	19376
1	1078
1	1109
15	145
138	949
0	1114
0	463
0	418
0	451
2	496
1	21
0	67
7	8
0	30
3	97
0	277
0	133
0	254
0	119
0	285
0	264
0	147
0	277
0	300
0	170
280	0
0	156
2	92
28	156
11	12
0	12
32	0
137	0
93	1342
3	1342
3	0
29	0
591	130
3	130
53	0
26	0
1	66
5	6
6	65
0	28
10	915
0	67
21	852
0	258
0	312
0	15
350	0
0	113
2	113
0	142
0	12
0	330
0	325
0	335
0	0
0	152
12	176
0	340
8	2397
49	2487
1	875
0	9
49	0
0	6
2	21
0	13
11	10
25	47
0	5
0	20
0	21
0	16
0	15
60	496
30	496
0	85
0	84
3	27
0	15
0	14
2	7
1	6
1	0
0	1
0	73
0	73
0	1
85	0
6	1
0	152
1	162
0	13
65	152
0	889
2	889
0	374
424	1
223	0
0	24
0	167
0	220
0	162
0	215
0	14
0	0
0	0
1	0
0	0
0	28
3	30
0	14
0	17
0	6
0	7
0	16
0	2
0	0
0	53
0	77
21	63
0	40
0	35
