UniqueCount	AmbigCount
0	462
7	350
1	211
49	601
14	2496
1121	4126
16	8132
29	8168
130	1924
17	3643
258	4666
1494	4154
182	57
0	58
0	2
0	42
0	190
0	35
0	26
0	183
1	472
2	623
0	623
2	310
3	310
0	225
0	257
107	0
1	1
0	1282
3	1123
0	1
0	1123
15	112
0	1439
0	966
2	1327
43	0
14	9
6	257
7	257
3	21
0	2
0	28
1	28
0	29
0	31
6	0
0	16
14	18
16	2
3	1
1	494
8	164
351	0
81	720
16	556
12	422
9	0
3	286
6	287
0	103
131	3
0	0
1	0
0	91
1	91
146	5
1	5
10	0
2	0
2	0
2	0
0	515
0	896
0	884
7	377
0	527
0	192
0	1100
0	1082
0	511
8	175
0	236
0	1124
0	555
0	1116
0	1072
0	1144
0	1126
0	1080
28	279
1	280
2	270
5	80
1	80
10	80
0	0
382	0
1	179
0	165
0	179
14	188
1	11
0	483
0	545
0	531
1	510
0	497
0	452
0	465
0	0
10	11
0	1312
0	1407
0	1541
1	83
0	3
0	42
13	1563
2	1442
9	1424
0	1582
0	1513
1	0
0	727
0	723
1	506
0	707
0	743
0	31
131	0
91	0
34	123
0	131
10	122
0	161
8	133
1	136
2	6
4	6
0	0
0	0
644	0
708	1203
11	1203
1079	0
9	456
6	440
22	227
3	1047
0	194
0	35
72	456
0	155
1	440
0	1567
21	1611
1	601
13	0
105	0
147	0
1	0
0	2
1	10
0	3
0	12
0	6
0	2
0	2
0	2
0	20
17	21
0	178
0	158
0	156
0	180
0	194
1	146
0	157
0	196
0	82
2	469
1	240
0	249
9	473
0	0
6	0
6	0
0	161
7	576
7	1429
0	781
0	1429
0	802
1	190
4	1277
3	455
2	1424
0	605
0	784
0	3
0	3
1	547
0	198
0	22
0	555
0	557
0	197
0	550
0	200
12	307
0	554
195	561
35	561
2	546
0	228
87	0
0	97
0	142
0	65
1	48
2	38
1	17
0	20
0	20
1	0
0	0
0	865
0	1276
0	752
0	800
10	227
0	687
2	703
69	1859
0	1602
2	1652
0	1389
0	1809
174	0
1835	9562
2	9485
0	9484
0	9483
0	0
1	0
3	393
24	393
0	0
2	0
9	50
3	50
4	0
0	1408
0	257
0	1547
0	651
0	1589
0	51
0	305
0	479
0	131
0	660
33	308
23	398
1	430
4	167
0	3
45	596
2	185
0	1
1	87
0	91
0	55
0	143
0	86
5	44
0	52
0	119
0	170
3	249
14	249
1	216
0	248
17	94
2	94
9	0
36	599
0	86
3	511
0	375
0	599
158	0
100	0
295	0
0	0
2	0
1134	0
363	2610
22	1962
59	871
9	754
106	2525
37	69
40	69
1152	1
137	0
0	46
0	20
0	33
0	30
0	59
0	12
0	56
0	45
0	19
37	0
1	33
62	33
0	241
0	238
5	107
0	209
0	250
1	114
0	247
0	218
0	127
0	21
0	1107
1	824
0	1102
0	779
22	561
1	107
9	454
0	18
7	2352
1	2308
0	13
0	11
1	159
0	168
1	146
0	147
7	187
0	19
0	32
0	34
0	0
52	0
19	191
9	242
0	242
1	41
0	263
52	263
3	0
35	0
1	1
1	7
1	33
7	36
5	12
0	5
10	19
1	1
4	19
1	4
50	21
4	2
0	1
4	2
0	2109
0	925
0	1972
0	1133
0	946
1	146
1	788
3	771
2	792
0	1154
0	1993
0	33
3	710
0	2088
0	0
56	20
0	1
0	805
16	172
0	471
0	283
0	92
0	106
0	80
0	172
1	1182
0	269
0	69
0	13
85	8
1	67
0	42
