UniqueCount	AmbigCount
0	0
0	0
0	0
39	0
39	0
3	0
1	33
2	34
81	0
4	0
115	345
0	345
25	121
3	61
1	60
5	7
43	17
0	17
0	17
0	17
0	3
0	83
0	17
0	345
0	61
0	68
0	254
0	302
0	89
0	261
0	159
0	68
0	248
0	248
0	328
0	9
0	321
1	21
0	254
0	254
0	65
0	254
0	243
0	71
0	141
0	254
0	327
0	68
0	339
0	83
0	248
0	334
0	27
0	148
0	250
0	254
0	17
1	267
0	274
0	264
0	250
0	268
0	217
0	241
0	0
4	0
0	0
2	0
0	0
1	0
3	11
2	11
0	0
65	923
12	84
34	923
0	0
0	7
2	0
2	7
0	7
3	15
0	17
0	8
0	70
2	36
0	61
2	0
1	128
1	94
1	103
1	119
0	1
38	1
3	265
0	333
38	11
7	356
0	79
0	288
0	12
263	95
17	30
8	95
3	0
4	0
1	0
3	0
10	0
0	0
0	0
39	0
1	2
0	4
0	15
0	17
0	0
0	0
3	1
1	1
0	1
0	1
0	5
0	1
14	29
0	34
0	162
8	61
0	176
0	98
0	159
0	82
0	51
0	136
0	76
0	2
6	0
0	0
8	0
57	0
0	65
27	65
12	0
20	0
1	0
1	0
14	28
8	44
1	342
0	241
201	386
1	0
6	3
0	325
0	228
1	280
31	0
1	0
30	95
20	69
0	97
0	72
54	65
2	32
8	0
8	0
4	0
2	2
0	2
7	0
127	0
11	0
1085	0
10	214
0	50
0	273
0	46
0	277
0	821
0	885
0	746
0	960
2	0
98	0
10	161
3	149
13	222
3	120
0	82
1	39
1	0
0	1
0	1
1	0
2	0
1	0
1	0
1	0
3	0
4	0
1	0
75	0
18	22
9	22
12	0
8	87
0	466
9	471
4	8
2	75
27	72
5	5
0	5
195	150
0	150
345	0
3	0
16	0
3	0
2	0
2	0
1	0
0	0
1	1
11	1
0	6
0	6
7	0
6	258
39	258
10	0
1	2
5	4
0	19
4	19
3	1
0	1
0	3
1	10
1	0
2	0
0	0
6	1
5	2
10	0
0	0
0	0
3	0
0	0
4	0
1	0
0	2
1	17
2	16
14	0
5	256
28	256
3	2
0	31
16	6
9	810
9	659
257	802
0	659
1	0
0	327
27	327
0	6
77	983
0	562
0	809
2	736
5	0
458	0
32	258
21	258
2	0
0	42
0	429
0	605
0	442
3	392
0	2
0	276
0	410
0	673
0	654
0	0
0	100
0	640
96	26
0	99
0	656
0	624
0	669
0	686
2	268
1	27
0	27
16	33
3	33
8	33
8	14
4	14
27	0
12	79
12	79
7	304
0	529
25	31
0	600
0	8
0	118
0	189
5	152
1	0
44	0
0	13
83	13
15	0
0	0
0	0
0	0
0	0
0	0
0	4
3	4
14	87
0	87
0	0
0	0
0	0
0	0
2	0
3	0
