UniqueCount	AmbigCount
3	0
0	0
0	0
30	0
14	0
3	2
2	21
0	22
65	0
3	0
108	189
0	189
12	101
1	54
0	47
3	4
32	18
0	18
0	18
0	18
0	1
0	40
1	18
0	197
0	50
0	51
0	147
0	183
0	40
0	158
0	101
0	51
0	147
0	147
0	190
0	2
0	196
1	25
0	147
1	147
0	54
0	147
0	157
0	48
0	100
0	147
0	196
0	51
0	197
0	55
0	147
0	190
0	19
0	94
0	151
0	138
0	18
1	159
0	159
0	150
0	147
0	149
0	136
0	148
1	0
2	1
0	0
0	0
0	0
3	0
7	19
5	19
0	0
118	1050
7	93
31	1050
0	0
1	20
1	0
0	0
0	0
1	7
0	12
0	8
1	46
0	29
0	42
2	0
1	266
0	200
4	212
0	254
2	1
67	1
4	483
1	594
73	30
6	638
1	121
0	525
0	12
433	170
38	59
5	170
3	0
1	0
1	0
8	0
0	0
0	0
0	0
54	0
0	2
0	2
0	9
0	9
0	0
1	0
12	0
0	0
0	3
0	4
1	3
0	5
6	31
0	34
0	134
1	56
0	142
0	84
0	122
0	64
0	39
0	111
0	62
0	1
10	0
1	0
2	0
39	0
0	28
12	28
5	0
12	0
0	0
1	0
10	34
5	48
1	295
1	202
161	343
0	0
7	0
0	181
3	142
1	151
17	0
0	0
83	92
0	49
0	103
0	81
0	42
0	27
1	0
5	0
0	0
0	4
1	4
3	0
85	0
4	0
456	0
8	103
0	35
0	143
0	30
0	148
0	567
0	598
0	521
0	644
3	0
52	0
6	82
2	77
10	123
0	83
0	57
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
53	0
4	23
7	22
4	2
7	67
0	307
3	310
0	1
0	44
14	48
6	5
0	4
120	93
0	93
185	0
3	0
9	0
0	0
0	0
1	0
0	0
0	0
0	1
4	1
0	7
0	7
10	0
4	154
15	154
5	0
1	2
2	3
0	16
0	16
0	0
0	1
0	6
2	8
0	0
0	0
0	0
0	0
1	3
4	11
3	1
2	6
2	1
7	3
39	11
0	0
1	8
0	12
0	6
2	0
0	184
30	184
0	2
0	18
4	3
8	386
0	322
48	356
0	322
0	0
7	200
7	200
1	7
81	863
1	550
0	688
0	725
0	0
418	0
15	175
9	175
1	0
0	21
0	240
0	329
