UniqueCount	AmbigCount
0	0
0	0
0	0
22	0
21	0
2	0
2	20
1	19
39	0
0	0
87	190
1	190
13	93
1	52
0	41
1	11
27	14
0	14
0	14
0	14
0	2
0	31
0	14
0	176
0	51
0	38
0	127
0	168
0	33
0	135
0	85
0	38
0	125
0	125
0	159
0	2
0	172
2	20
0	127
0	127
0	51
0	127
0	133
0	39
0	83
0	127
0	174
0	38
0	174
0	53
0	125
0	161
0	11
0	70
0	120
0	118
0	14
0	82
0	87
0	81
0	78
0	86
0	68
0	77
0	0
4	0
1	0
1	0
0	0
3	0
2	4
3	4
0	0
47	416
0	32
10	416
0	0
0	12
0	0
0	3
0	3
0	7
0	11
1	6
0	42
1	25
0	37
2	0
1	142
0	101
0	105
0	138
0	0
35	0
4	181
0	246
15	11
2	263
0	67
0	208
0	15
152	55
10	19
6	55
4	0
1	0
0	0
2	0
2	0
2	0
1	0
27	0
3	4
0	3
0	13
0	11
0	0
0	0
3	0
0	0
0	6
0	7
0	3
0	8
20	49
0	52
0	120
0	45
0	119
0	53
0	104
0	40
0	27
0	102
0	43
0	1
8	0
2	0
22	0
57	0
0	61
19	61
18	0
29	0
0	0
0	0
9	13
6	30
0	129
1	89
75	159
1	0
2	4
0	192
2	142
2	157
6	0
1	0
87	94
1	54
0	101
0	71
7	61
2	43
2	0
4	0
0	0
0	1
0	1
1	0
64	0
3	0
535	0
9	93
0	34
0	135
0	36
0	133
0	270
0	277
0	237
0	310
2	0
64	0
3	102
2	95
16	153
0	91
0	66
0	28
0	0
1	3
0	3
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
60	0
4	10
1	10
3	0
5	65
0	324
6	326
0	3
0	58
11	58
4	3
0	2
98	81
0	81
175	0
6	0
7	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	6
1	6
3	0
0	109
10	109
5	0
1	1
4	3
2	15
3	15
0	2
0	0
1	5
0	9
1	0
1	0
1	0
1	0
6	2
3	2
0	0
0	1
2	0
0	0
2	2
0	0
1	2
0	5
2	5
1	0
0	270
21	270
0	3
0	25
1	1
0	419
2	335
130	419
0	335
0	0
0	306
37	306
2	6
56	718
2	441
0	561
0	598
3	0
423	0
25	292
27	292
1	1
0	24
0	226
0	331
0	215
3	207
0	4
0	175
0	218
0	366
0	357
0	0
2	78
0	343
52	16
0	46
0	351
0	340
0	340
0	355
6	159
0	24
0	24
5	7
0	7
1	7
2	10
2	10
13	0
4	40
5	40
0	308
0	563
16	32
2	667
1	27
0	127
0	231
2	147
0	0
41	0
0	13
79	12
1	0
0	0
2	0
1	0
3	0
0	0
0	0
0	0
7	64
1	64
0	2
1	4
0	0
2	0
0	2
2	0
9	2
