UniqueCount	AmbigCount
662	0
5	0
5	0
8	1318
0	876
1	1156
0	7
2	1154
71	1318
0	93
0	820
0	1098
1	0
819	0
0	0
0	1577
2	1549
0	206
24	90
0	1566
0	1591
12	41
0	1584
0	206
0	1601
0	1577
8	0
1	28
35	164
0	136
5	0
0	0
106	0
0	0
343	0
2	4
32	4
1	0
2	65
179	65
3	0
2	0
0	0
1	0
109	0
51	0
2	352
0	351
0	350
0	257
0	317
1	7
0	114
0	272
47	1400
1	1337
0	4
0	986
4	1443
2	0
0	5
0	3
1	4
2	0
1	2
0	31
2	33
1	406
520	0
1	307
0	429
4	285
1	308
45	104
0	116
0	212
0	139
0	306
3	113
8	13
17	151
0	39
377	0
0	135
0	450
0	534
0	187
0	561
0	477
2	0
1	957
69	1055
0	396
0	492
1	68
0	567
2	69
117	116
2	1
0	57
1	0
4	0
5	0
2	0
1724	127
1	84
0	3
541	107
1270	6345
17	6301
0	3
15	75
2	75
0	75
4	0
0	0
1	0
23	0
13	0
9	0
23	0
0	0
13	0
1	0
0	7
0	7
201	0
0	0
867	1618
90	2050
167	2438
30	156
28	679
4	0
10	35
3	7
5	12
5	23
1	0
0	6
0	10
0	8
0	12
0	6
1	12
0	8
3	1
39	0
21	0
0	184
4	184
2	0
0	429
0	563
0	733
0	232
0	376
5	137
0	680
0	619
0	564
0	616
0	672
0	617
0	462
0	389
0	515
0	0
98	0
5	0
0	2
1	2
0	386
6	388
3	389
0	391
4	278
1	722
28	722
5	0
6	23
3	23
0	23
95	167
2	6
49	167
3	104
1	3
2	150
2	12
0	162
13	14
0	28
2	42
3	1
0	24
13	14
0	4
0	29
3	22
4	103
1	29
0	128
0	110
0	111
0	0
2	691
3	121
0	475
0	754
2	697
1	127
0	75
1	73
0	134
0	61
0	127
148	1
5	2
0	2
1	4
0	10
13	67
0	2
0	33
4	25
1	6
0	13
1	53
2	115
1	115
11	39
0	7
34	0
2	8737
0	8334
3070	8734
26	43
111	0
0	0
0	264
0	289
0	260
0	285
6	273
1	198
6	273
2	9
9	212
140	1
0	105
2	66
0	72
1	6
0	99
0	0
1602	720
237	52
6	704
66	704
240	0
88	0
30	0
1	152
1	161
0	174
0	68
0	431
19	124
11	431
1	7
2	0
84	0
0	2
9	2
36	67
1	67
1	11
12	101
1	6
4	935
0	922
0	66
0	944
231	0
55	0
51	0
8	0
2	0
0	0
0	0
0	0
5	78
31	78
0	306
0	6
1	120
7	460
1	30
0	6
2	155
0	6
0	449
0	239
0	473
7	448
2	468
0	335
1	280
0	470
0	452
1	85
0	1
3	1
0	15
0	2
0	61
19	76
1	0
0	116
0	0
1	115
2	170
3	59
0	64
2	143
2	74
0	1
0	91
0	171
0	11
0	0
0	0
2	0
1	4
47	176
4	113
5	44
57	141
67	172
1	0
0	0
0	73
6	22
0	79
0	71
0	103
0	105
0	111
81	0
1	346
1	204
0	361
2	327
0	11
2	14
1	17
0	1
2	20
4	19
1	178
9	223
29	225
121	50
0	50
120	0
1	0
3	0
0	10
5	26
1	33
0	39
6	87
0	84
2	41
4	72
0	72
8	69
19	11
0	14
69	25
1	115
1	96
19	225
0	5
3	0
28	1
93	27
1	12
0	3
0	22
0	4
0	6
0	5
5	9
79	2
1	2
0	2
0	2
0	3
13	7
0	9
25	1
6	3
0	0
0	0
0	0
0	0
1	0
2	0
3	0
0	0
0	140
28	752
0	440
0	319
0	140
1	210
7	0
1	0
1	45
27	571
0	100
1	61
0	64
0	406
18	514
3	241
2	0
0	0
4	146
4	128
2	124
0	77
0	72
0	2
3	3
0	0
0	0
0	0
0	2
0	2
0	589
0	1203
0	1308
0	1205
4	1148
0	1100
0	0
0	0
21015	1400
42	34585
3	39147
7	34287
95	38908
23	32687
5	39
0	40
0	7
0	11
0	19
