UniqueCount	AmbigCount
9826	3
2	0
115	0
5	8146
1	4659
16	6840
0	81
7	7043
24	8146
0	282
1	4397
9	6292
9	8
10892	8
0	0
0	25041
2	25032
0	1137
31	353
0	24990
0	25154
67	473
0	25157
12	1137
0	25205
0	25113
34	18
0	2
4	611
0	609
2	0
0	0
861	0
0	0
564	0
0	0
118	0
0	0
0	28
862	28
5	0
2	0
2	0
0	0
982	0
774	0
0	883
0	881
0	881
0	852
0	72
1	2
1	24
0	122
81	3608
1	3626
0	5
0	3549
2	3612
3	0
0	1
0	0
0	0
10	0
0	0
0	155
0	155
0	300
1391	0
1	557
0	303
1	551
0	557
80	121
0	467
3	216
2	55
0	560
0	86
70	3
26	447
0	16
813	0
0	466
0	1661
0	2624
0	510
0	2639
0	1676
17	0
1	4269
486	4781
0	2458
7	2960
2	441
1	3131
16	910
742	1275
0	69
0	404
3	0
1	0
28	0
27	0
17557	3691
0	491
0	9
6658	811
6632	49495
75	49239
0	9
44	419
1	418
2	419
48	0
9	5
2	5
30	0
87	0
16	0
224	0
1	0
12	0
0	0
0	92
0	92
877	0
0	0
8709	19465
1111	18111
841	26170
137	4260
184	7933
0	0
45	221
24	122
4	9
22	212
4	0
1	7
0	7
0	22
2	24
0	3
0	26
0	20
47	0
5	0
1	0
0	352
0	352
5	0
0	486
0	513
0	523
0	119
0	480
2	399
0	517
0	507
0	159
0	519
0	513
0	165
0	483
0	143
0	489
3	0
268	0
1	0
0	0
0	0
0	1188
9	1190
1	1191
0	1193
5	79
0	1950
29	1950
0	0
0	25
0	25
0	25
31	430
0	11
59	430
2	342
0	5
0	777
0	3
0	780
0	9
2	288
6	293
0	16
2	241
2	3
0	8
0	338
0	11
1	366
0	121
0	365
0	147
0	363
0	0
154	3556
0	739
1	1849
0	3968
7	3284
0	11
0	6
1	6
0	11
0	6
0	11
265	0
4	0
0	0
0	1
0	10
20	121
0	1
0	20
0	18
0	2
0	6
0	35
5	425
4	425
51	154
0	63
245	0
1	47718
0	46980
2332	46989
12	39
197	0
0	0
0	500
0	632
0	505
0	637
0	69
2	60
1	69
1	2
1	63
840	2
0	554
5	364
8	377
7	28
2	503
1	0
25703	11226
6383	766
2	9611
18	9611
762	0
352	0
396	0
2	99
0	122
0	125
0	103
0	700
11	649
14	700
0	3
27	0
36	0
0	1
1	2
63	614
0	615
0	39
31	638
1	129
2	2623
0	2615
3	601
0	2625
12	0
23	0
19	0
103	0
15	0
9	0
0	0
1	0
5	218
9	218
0	412
0	7
9	667
11	1183
2	355
0	7
6	779
0	7
0	1351
0	1240
0	1368
32	1100
0	1364
0	1332
0	1287
0	1366
0	1353
0	10
0	1
0	1
7	209
0	7
0	214
139	423
0	0
1	945
6	0
3	936
0	139
2	14
0	115
0	136
1	118
0	1
0	127
0	142
0	2
1	0
1	0
2	0
0	20
179	1471
10	1223
32	749
254	1287
159	1490
1	0
0	0
0	88
20	76
0	92
0	78
0	177
0	187
0	191
285	0
15	892
5	873
0	998
9	762
5	76
11	118
39	125
0	0
0	1
1	1
0	877
20	1140
191	1140
566	40
2	40
331	0
14	0
4	0
0	8
0	12
0	13
0	13
8	121
0	112
0	22
4	105
0	110
15	99
4	7
0	5
577	261
0	509
1	409
38	1075
1	6
2	0
11	0
515	155
0	14
0	15
0	147
1	16
0	10
0	15
5	3
48	1
0	1
0	2
0	2
0	0
162	113
0	113
23	0
0	0
0	1
0	0
1	2
0	0
2	0
0	0
2	0
0	0
0	1637
92	2466
0	325
0	2085
2	1624
0	1920
6	0
2	0
1	80
13	2437
2	134
4	85
4	121
1	2300
15	2370
5	303
44	8
0	4
13	229
8	178
2	195
0	104
1	90
0	5
8	9
0	1
2	1
0	0
0	5
0	5
5	5315
0	6076
0	6243
0	5015
7	4909
0	4848
0	0
0	0
102582	23376
164	178754
3	201100
9	179521
388	199873
47	173688
18	143
0	150
0	19
7	25
2	56
5	133
3	0
1	0
0	323
11	355
6	355
0	39
0	350
1	0
0	3188
0	3331
0	3157
0	3321
0	3182
0	3164
0	3203
1	61
0	7
5	3331
0	3309
1	0
0	0
0	0
0	6682
1	137
0	173
0	1
0	6906
0	6644
1	1213
1	6964
2	2730
0	9
0	1
0	1474
0	6613
0	0
412	0
4017	0
27	569
0	569
7	0
0	0
4	0
0	0
4	0
2	0
2	0
3	0
0	0
109	0
0	22
2	22
1	15
0	182
0	182
0	265
111	265
2	1518
2	1509
10	1530
33	1405
1	1404
1015	370
2	362
0	368
0	32
0	576
0	552
0	520
0	544
362	3
3	0
47	0
0	0
0	471
3	5
0	457
4	50
4	203
1	72
0	627
180	803
0	613
347	0
0	1
0	780
1	32
1	9
2	763
0	1
0	770
0	779
0	0
513	0
0	0
7	3640
56	917
1	3345
0	3923
1	3774
2	23
0	3326
6	1623
2	3713
14	2270
31	695
33	643
0	25
5	108
0	72
0	675
1	0
62	329
10	34
9	329
0	0
0	659
0	562
13	889
0	899
33	647
0	35
0	747
0	63
3	32
0	565
9	831
0	868
0	888
1	3
0	0
0	0
506	0
32	0
2	0
0	0
0	16
122	4
0	328
60	344
0	909
14	909
437	0
0	172
0	839
0	1562
0	1543
0	1939
16	1189
0	1920
0	1928
0	828
5	0
280	0
6	0
0	0
1	0
1	0
8	1
13	0
7	0
487	0
2	0
2	0
1	0
0	242
0	779
0	667
0	695
0	674
0	251
0	751
0	249
0	279
0	270
0	758
0	258
2281	0
58	1426
0	1426
3646	0
63	0
474	607
3	607
561	0
400	0
0	0
203	0
91	0
0	900
5	900
0	387
1	354
0	385
0	372
0	382
0	382
0	377
0	10
0	10
0	10
0	10
131	0
0	0
0	5
0	5
0	0
2	0
4	0
0	0
0	0
52	0
1928	130
0	150
0	0
0	0
1	0
0	203
36	882
0	978
842	10029
0	695
30	1441
21	10060
662	1485
0	604
0	1084
40	8123
0	993
2	168
3	0
42053	671
13	1334
0	1351
5	1324
57	12
3	514
32	1002
0	1385
0	94
0	63
2	325
0	439
27	424
0	23
0	403
330	0
0	0
1	2
0	37
4	424
0	46
0	522
0	46
0	37
1	891
0	46
20	263
1	7
2	857
0	46
0	37
1	37
0	957
403	0
3	0
4	0
0	222
0	19
5	48
3	121
11	162
1	10
1	7
0	162
0	178
4	80
130	0
1	0
95	208
0	178
232	436
0	21
0	187
9	437
0	0
11	91
249	0
0	0
115	6483
0	1912
5	154
1576	6483
3	1898
1	0
23	3
1	133
0	1833
1	278
0	1621
0	1467
6	1595
0	1255
1	1233
0	1306
0	1683
30	20
13	130
5	63
1	5
1	3
3	131
12	45
1	145
0	8
0	165
1	137
0	153
0	165
0	153
0	0
5	0
7	0
3	982
2	435
112	506
159	1194
22	757
0	0
23	2278
13	2370
0	0
0	2363
30	637
3	2
0	88
103	90
1221	0
5	0
55	448
13	434
32	318
0	18
1	2
0	31
0	29
485	0
0	44
0	46
0	1
0	4
147	0
0	14082
205	7087
0	13611
0	14411
1	6
0	14086
0	14484
0	1460
0	14013
1	540
0	14009
0	0
0	150
0	337
0	341
2	318
0	309
1	369
325	0
330	0
0	7
976	0
1	0
0	0
966	86972
21689	83025
1571	83166
0	81704
139	113557
343	116305
0	102330
1	130016
0	77614
71	323
1132	144
670	353
11702	6112
12068	6022
0	0
0	2270
0	2441
0	25
5	1634
0	1775
0	2254
1	2261
2	0
0	4
0	1896
3	230
0	25
0	1826
0	180
1	2155
10	1773
0	0
1	7
1	0
2	0
4	0
0	0
0	0
0	0
0	0
51	0
2	2210
2	1515
42	1367
7	2392
275	2205
0	292
0	295
0	277
0	282
0	297
0	300
0	285
0	280
2	11
7	1075
0	72
1	67
0	13
0	1104
0	77
0	1089
0	96
0	15
4	1016
10	1003
0	744
5	0
0	0
0	0
2	2
0	2
24	0
1	0
51	0
63	0
0	0
0	0
0	147
0	130
0	5842
0	5681
0	6043
0	1739
16	237
16	336
0	950
0	42
0	5945
467	504
0	122
0	34
0	6000
42	869
1	626
0	5577
0	6264
0	1782
0	6307
1	71531
0	240
10977	71814
3	72079
12	72474
10989	69678
1052	31085
3	32920
5089	32928
835	6074
2	2
919	10175
0	10658
73	9106
1	25
3	1535
0	10657
2	7058
137	2255
6047	0
0	0
3	2
0	8
11	6
0	0
0	0
1	2
0	92
0	676
4	309
1	684
0	335
0	601
0	698
3	476
0	410
305	3194
4	3191
222	3591
4	3192
0	397
31	455
0	125
30	456
0	173
39	125
37	49
1	0
0	0
2	0
0	6309
0	6718
0	7731
1	339
4	7600
0	7322
5	0
71	0
0	336
0	316
0	349
0	303
21	318
2156	0
1	0
10	1
0	13
0	11
1	11
1822	0
151	0
1	0
1	0
38167	1053
6	2
1	2
1	0
1	0
413	0
7	0
0	116
29	116
211	0
1	1271
1	998
0	975
62	1294
5	1084
0	0
0	0
768	71
0	71
1162	3093
23	3002
98	3
3636	123
336	1907
43	815
0	6175
19	276
344	5390
0	1006
323	7120
159	1
3766	2
12	1204
6	820
1	1152
0	1116
1	1113
62	1315
1	123
1	4
3	11
10	14
1	575
56	6
0	5
7	582
59	0
88	164
1	3
0	93
3	77
0	93
269	0
1	0
0	8
0	329
2	211
1	234
0	235
0	5
0	57
0	0
2286	53
2	316
0	261
0	269
0	2
0	269
5	24
0	219
0	619
2	108
0	618
0	162
0	333
0	1
0	531
0	530
0	52
0	1
6	40
0	245
0	1
0	0
11	0
11	152
1	64
0	455
24	174
0	468
0	1277
0	513
0	269
0	1403
2	1558
0	514
0	513
0	513
3	1681
0	537
0	398
0	306
0	399
0	397
0	398
0	400
1	283
0	399
0	0
3	9
1	9
0	5645
0	2148
0	2040
0	0
1	2129
0	3082
0	1973
0	5110
0	5637
0	5643
0	2140
0	5641
0	1
0	5115
1	35
0	2141
0	5537
0	7
0	5
0	246
0	11
0	242
0	246
3	0
1	1
0	1
0	0
0	0
22	153
4	1249
9	1448
0	1363
25	1555
0	92
0	0
0	0
0	0
5	0
0	0
0	0
489	5927
553	5933
3	67
5	5796
9	9473
1	85365
23	57376
3	2597
766	83620
2	56098
1	7061
24	23849
8348	0
887	0
7822	0
25	0
1	0
0	6
0	5
0	6
642	382
429	391
0	293
16	1842
