UniqueCount	AmbigCount
6	0
13	175
4	52
0	460
0	734
0	0
0	477
0	883
0	907
0	710
0	882
0	906
0	0
0	0
5	599
0	478
0	957
63	913
0	640
0	449
27	80
1	3
0	1148
11	202
256	0
12	0
1	1
18	1
3	0
0	0
468	0
24	9285
31	9283
0	96
1	120
2	115
0	52
0	699
0	630
0	704
0	27
1	681
0	0
5	267
0	267
0	6
0	306
35	112
17	403
1	271
4	402
9	96
0	665
0	647
0	364
0	673
0	383
0	92
0	630
0	651
0	378
0	650
0	40
0	363
0	670
0	654
45	3
1	3
5	194
0	224
6	149
5	229
0	199
0	199
0	224
0	423
0	5
0	32
0	266
0	274
1	275
0	193
0	32
40	0
0	0
0	1503
13	788
0	596
0	1444
5	1460
0	2
0	645
1	1461
20	332
42	720
0	702
0	1483
0	1274
0	1454
0	1305
0	703
0	1431
0	1480
0	683
0	1258
39	93
17	559
0	10
0	644
8	0
1	0
0	0
0	0
3	5
0	98
0	98
2	288
0	341
0	341
0	0
18	68
3	63
0	0
0	0
0	0
0	0
7	0
140	720
146	745
0	37
9	37
2	12
1	2
0	12
88	0
0	240
0	443
54	188
0	115
0	257
0	46
0	406
0	112
0	203
0	49
0	220
0	680
0	669
3	175
0	197
0	433
8	648
0	172
21	1
0	0
7	0
0	45
0	45
7	21
44	0
0	1
0	1
1	0
0	0
0	1718
0	1454
0	1395
0	0
0	1401
2	2790
2	1302
3	82
52	214
0	2994
298	701
2	1568
1	157
16	24
341	79
18	249
0	25
95	249
1	79
0	0
14	803
114	803
75	0
10	699
67	699
192	0
0	3
0	2886
1	1932
0	2883
0	675
0	154
91	154
0	144
0	0
0	0
388	295
0	231
0	64
13	45
217	45
0	68
0	72
0	21
0	65
0	69
1	30
94	69
1	67
0	2
34	3
3	3
0	0
0	0
9	4
97	4
54	0
1	0
3	0
0	70
0	71
0	1
8	67
0	67
0	0
0	1
0	69
0	2
0	67
0	86
0	86
2	1383
0	211
0	1028
7	1419
4	0
16	192
10	192
8	0
35	13
4	110
1	249
0	240
0	84
0	145
0	0
0	98
0	49
0	161
1	60
1	156
0	53
0	151
0	165
0	116
1	15
0	67
3	0
0	42
3	0
0	55
93	0
9	1
2	0
7	305
0	3018
23	2593
84	1843
128	1469
6	2829
61	437
0	166
0	166
27	1387
10	0
0	4
87	0
1	4
15	208
21	208
58	207
287	3
102	0
0	346
0	324
0	321
0	349
675	34
0	295
1	292
0	297
1	285
4	213
0	290
0	283
0	322
0	143
0	295
0	312
380	115
0	2
0	2
4	113
0	2
0	531
0	549
0	903
22	94
0	736
0	375
0	599
0	801
0	1
0	56
0	706
0	539
44	61
1	65
0	5
0	1455
1	1465
0	1457
0	1468
0	3
3	538
0	335
0	173
36	1658
0	0
4	117
1	3
0	8
0	10
0	2
1	2
32	0
0	6
4	6
2	0
0	0
2	0
0	6300
1	635
15	3143
7	5779
44	5483
3	326
0	610
115	343
0	162
0	369
0	646
0	641
0	131
2	0
0	0
16	20
23	0
0	31
0	48
0	94
0	116
0	116
0	26
0	45
0	45
0	94
0	67
1	0
3	59
0	53
0	67
0	66
0	66
5	0
7	0
0	13
0	13
0	0
0	0
0	200
0	378
0	513
0	542
0	505
0	430
0	554
0	387
0	266
0	198
0	550
0	214
0	562
1	36
4	0
1	0
0	0
0	853
0	369
0	1008
0	567
14	360
0	5385
0	5779
0	5780
0	6
1	984
107	17
0	661
14	429
20	208
0	998
11	396
0	137
0	25
0	147
0	256
0	359
0	266
0	5384
8	5227
21	0
1	0
10	208
28	208
20	822
2	14
374	822
12	0
5	4940
8	4940
0	268
0	908
0	954
12	807
0	307
0	923
1	542
0	102
0	749
19	209
2	11
2	0
0	0
2	0
47	308
159	2263
257	2571
2	17
0	0
0	34
2	0
0	34
0	33
1	4
0	0
0	6
5	0
0	0
2	0
0	0
1820	20
105	20
6	0
4	0
0	2333
0	1703
0	2451
0	2485
2	1766
0	1968
0	2367
0	2436
0	2407
0	2447
8	239
0	2438
0	1667
0	1560
0	1562
0	132
0	2431
0	2404
0	130
3	1
0	1930
0	516
57	1933
0	374
0	1974
0	2043
0	491
0	2007
0	1978
0	414
0	439
0	349
0	2051
0	2072
0	1986
0	770
0	2022
0	1995
0	228
1	313
3	84
0	21
0	7
0	0
3	28
12	0
1	0
5	305
0	22
2	1959
3	405
30	48
11	286
0	345
87	1959
11	95
35	323
0	1986
0	1990
0	0
0	0
0	2
0	2
0	0
5	19
2	19
12	0
26	0
1	0
16	0
17	0
16	0
1	0
0	231
0	232
0	12
0	221
0	219
0	251
0	250
3	104
12	14
0	220
0	218
0	29
5	35
5	130
2	37
0	12
0	2
0	1
0	0
1	0
2	0
1	0
2	0
0	0
0	2985
1	4599
1	138
0	118
350	5418
0	467
0	0
9	3804
778	506
2	506
16	2548
8	776
4	1262
0	144
0	2483
0	2643
7	0
26	0
2	0
32	112
8	489
0	263
0	442
9	815
23	815
0	460
1	110
4	412
0	471
8	0
0	375
3	149
137	0
7	0
20	0
160	0
1686	0
18580	493
0	0
150	20
1	621
9	1453
0	6
3	657
13	462
12	424
15	1417
1	15
1	2
0	33
0	49
0	33
0	10
10	38
0	33
0	116
0	99
0	142
0	145
0	102
0	48
1	3
1	3
0	12
1	8
1	2
0	9
1	3
0	6
2	0
2	0
1	0
50	0
7	0
0	0
0	0
0	0
1	0
0	3631
0	2962
0	192
0	1408
0	851
0	358
0	164
1	55
52	1971
0	1429
3	3463
4	871
0	323
2	272
27	344
0	352
0	0
3	303
0	35
0	18
0	313
22	74
0	28
0	310
0	205
0	12
0	18
3	16
1	18
95	346
0	153
12	346
0	164
100	164
3	29
0	39
7	594
4	293
3	189
3	743
61	771
20	0
11657	27232
2	29834
5613	22655
167	814
15	7164
99	601
0	4
1	798
60	18292
12	4
0	0
2	0
0	0
5	0
2	0
5	0
1	19
82	19
0	0
0	229
4	31
36	274
1	11
0	243
2	0
0	0
0	13
0	192
1	205
1	79
0	202
0	161
0	233
0	327
0	573
0	403
