UniqueCount	AmbigCount
1	0
5	195
4	46
0	463
0	691
0	0
0	483
0	878
0	900
0	669
0	867
0	889
0	1
0	1
2	848
0	632
0	1346
125	1210
0	894
0	646
39	130
0	7
0	1594
11	330
402	0
13	0
0	1
20	1
3	0
0	2
1353	2
26	8397
38	8395
0	151
2	201
1	178
14	53
0	1071
0	947
0	1083
0	47
0	1019
0	0
6	244
0	244
0	23
0	497
50	224
24	710
0	444
10	710
5	192
0	789
0	805
0	458
0	795
0	453
3	111
0	777
0	813
0	446
0	790
0	49
0	449
0	810
0	798
61	3
0	3
2	330
0	306
1	194
31	322
0	340
0	339
2	306
0	645
0	16
0	41
0	443
0	473
0	473
0	320
2	41
29	0
1	0
0	2218
23	1164
0	932
0	2155
2	2169
0	6
0	1007
1	2185
21	512
63	1050
0	1022
0	2186
1	1883
0	2143
0	1928
0	1027
0	2141
0	2216
0	995
0	1855
37	136
15	873
2	14
0	964
3	0
1	0
2	0
0	0
2	12
0	138
0	137
4	455
0	529
0	528
0	0
42	86
5	74
1	0
1	0
1	0
0	0
33	0
131	742
129	759
4	59
14	55
4	23
1	4
2	23
261	0
0	270
0	334
51	40
0	209
0	279
0	91
0	292
0	217
0	228
0	83
0	237
0	933
2	915
3	200
0	220
1	646
14	914
2	203
14	1
1	0
10	1
0	66
1	66
6	31
84	0
0	0
0	0
0	0
0	0
0	4562
0	3899
0	3767
1	1
0	3773
4	7126
0	3572
5	253
177	700
2	7654
784	1929
4	4179
0	350
43	103
752	170
23	522
0	59
166	522
0	168
1	3
21	940
150	943
119	1
19	859
95	859
333	0
0	3
0	2750
0	1883
0	2747
0	644
0	327
146	328
0	304
0	3
0	0
446	416
0	303
0	110
16	46
261	47
0	104
0	109
0	40
0	94
0	99
0	51
187	157
1	154
2	3
1	0
0	0
1	0
1	0
5	13
156	13
40	2
0	0
0	0
0	45
0	46
0	1
5	42
0	43
0	0
0	1
0	43
0	1
1	42
0	57
0	57
1	1967
1	294
2	1502
7	2005
1	0
26	286
20	286
7	0
44	12
3	138
6	319
0	299
0	90
0	192
1	0
0	132
0	52
0	215
1	75
0	204
0	80
0	202
0	244
0	164
0	28
1	122
4	0
0	24
3	0
1	36
165	0
23	0
6	0
3	381
0	4813
13	4218
150	3150
169	2061
7	4571
92	618
0	217
1	216
53	2506
20	0
2	5
99	1
1	5
64	413
42	413
84	413
482	2
197	0
0	534
11	544
1	538
0	536
432	31
0	376
1	440
0	444
1	376
6	310
0	372
0	416
0	591
0	312
1	547
0	593
476	138
0	3
0	3
1	135
0	3
0	741
0	696
0	1285
30	177
0	1109
0	482
0	884
0	1172
0	3
0	51
0	955
0	779
72	58
0	62
0	4
0	1654
0	1669
0	1652
1	1667
0	2
2	648
0	332
0	160
44	1860
0	2
8	139
4	2
2	7
0	7
0	2
0	2
51	0
0	3
4	3
0	0
2	0
2	0
0	10737
1	1180
14	5748
10	9972
26	9468
3	511
0	1537
162	531
0	376
0	934
0	1363
0	1579
0	334
15	0
0	0
52	54
26	0
0	29
0	65
0	99
0	136
0	136
0	28
0	48
0	38
0	99
0	69
4	0
3	57
0	66
0	75
0	82
0	82
3	0
3	0
1	17
0	17
0	0
0	0
0	335
0	553
0	779
0	815
0	766
0	642
0	885
0	568
0	380
0	336
0	828
0	353
0	898
0	29
2	0
1	0
0	0
0	1323
0	610
0	1613
0	851
3	308
0	4873
0	5972
0	5972
0	7
1	1591
67	32
0	562
16	615
9	170
0	1599
12	550
0	226
0	32
0	240
0	446
0	596
0	460
0	4873
15	5364
11	0
1	0
3	83
16	83
7	239
1	5
107	239
0	0
2	196
0	196
0	303
0	1173
0	1216
15	998
0	453
0	1164
1	627
0	143
0	906
21	313
1	34
4	2
0	0
0	0
56	405
230	3020
269	3425
1	28
0	1
0	60
0	0
0	61
0	57
0	3
0	0
0	3
6	1
2	0
9	0
0	0
2190	58
148	58
5	0
2	0
0	2573
0	1901
0	2893
0	2922
8	2040
0	2257
0	2602
0	2850
1	2832
0	2880
5	208
4	2863
0	1822
0	1763
0	1766
0	142
0	2838
0	2818
0	139
1	5
0	3611
0	1060
75	3539
0	840
0	3701
0	3787
0	1010
0	3710
0	3664
0	913
0	963
0	790
0	3800
0	3833
0	3677
0	1242
0	3754
0	3734
0	347
5	541
2	86
2	12
0	16
0	0
0	28
15	0
1	0
7	456
1	40
0	2429
3	545
20	35
53	458
0	446
133	2426
3	156
43	441
0	2476
0	2481
0	0
4	50
0	92
0	92
0	1
3	44
4	44
6	0
13	0
1	0
13	0
30	0
16	0
2	1
0	362
0	365
2	9
0	348
0	332
0	399
0	396
10	159
13	12
0	345
0	329
0	62
6	69
8	198
2	76
0	9
0	1
0	1
0	0
3	0
9	0
1	0
0	0
1	0
0	159
0	206
0	6
0	5
15	262
0	19
0	1
1	215
312	234
1	234
8	3546
22	1298
4	1976
3	228
105	3698
0	3713
13	0
22	0
0	0
57	202
9	842
0	391
0	782
8	1222
22	1222
1	796
4	181
6	745
0	828
6	0
0	593
6	250
48	0
26	0
7	0
297	0
3372	0
29884	981
0	0
194	31
1	803
13	2130
1	1
6	836
12	579
16	535
27	2097
0	25
0	4
1	39
0	69
0	39
0	21
8	56
1	49
0	85
0	109
0	98
0	98
0	109
1	38
3	0
1	3
0	13
1	11
0	1
1	12
1	9
0	6
4	0
1	1
1	1
97	0
11	0
1	0
2	0
0	0
0	0
0	5336
0	4080
0	267
10	2067
0	1485
1	425
0	333
3	50
76	2658
0	1968
5	5151
12	1155
2	335
2	298
11	321
2	351
1	0
0	404
0	54
0	28
0	414
18	125
2	44
0	405
2	266
0	9
0	28
0	14
0	28
110	418
0	197
13	418
1	315
148	315
1	45
2	71
6	1107
9	586
4	332
10	1351
97	1390
23	0
2956	6176
1	5465
561	3885
83	484
6	1872
72	384
0	12
0	476
4	4091
23	12
0	0
5	0
0	0
1	0
1	0
10	3
1	29
95	32
0	4
0	330
7	39
53	407
2	22
1	368
2	0
3	0
1	19
0	291
0	281
1	149
0	276
0	235
0	332
0	494
0	660
0	543
0	654
0	625
0	19
0	542
0	669
0	619
0	663
0	631
0	456
0	493
1	32
0	660
0	666
0	661
0	664
1	28
0	668
0	666
0	631
1	2
8	103
7	0
0	16257
9	7126
3	16251
24	15588
23	16068
144	206
10	231
7	195
27	17989
297	17791
49	17903
61	17538
0	1348
38	1370
4	26
72	129
0	9
244	0
8	1130
16	1177
16	1236
3	86
0	958
0	422
0	93
0	948
97	981
0	8
0	977
0	967
0	234
0	354
0	222
0	366
0	0
62	107
1	16
0	17
0	12
0	14
4	16
0	0
27	2
0	5
858	7
1	289
4	121
0	203
53	409
0	97
17	0
1	0
487	0
0	0
1	0
4	96
0	61
30	272
0	132
4	218
20	66
5	360
36	336
3	103
12	71
8	371
5	46
1	361
6	429
5	410
15	1
0	1700
0	1677
0	1714
71	1520
2	210
0	1246
0	1737
0	5638
0	5309
0	4086
0	3757
0	5364
13	235
1	5
0	5189
0	5463
0	3911
2	96
1	2393
0	2840
0	4379
0	1046
6	301
42	284
63	1703
0	1703
2	3
0	9
12	20
0	26
1	6
0	6
1	4
0	11
2	25
21	0
66	0
0	0
20	0
0	55
50	127
0	4
0	85
5	123
1	8
2	2
0	2
1	0
0	3
2	1
0	0
0	0
0	0
0	662
483	474
35	379
0	1111
1	96
0	797
90	997
132	658
0	1039
8	231
8	1
3	1
0	0
0	0
4	1
0	0
0	135
6	5
603	135
1	7036
0	5454
554	9825
7274	8446
1	6967
0	4420
0	9959
12	13503
0	2454
0	6943
0	5827
0	9619
3994	9758
0	73
175	6707
0	2484
40	0
0	110
6	67
3	164
0	897
0	840
2	820
40	275
0	887
0	847
0	790
126	571
0	405
318	144
3	181
1	352
0	144
8	0
116	130
11	130
0	2
0	0
1	2
0	1
0	3
0	5
0	0
0	165
2	2
1	157
0	59
0	98
0	2
0	0
0	143
0	29
0	135
0	113
1056	9
2	0
776	0
7	0
4	0
1	0
0	31
0	72
0	62
0	145
0	156
0	168
0	157
0	164
0	152
0	31
0	42
0	164
0	152
16	0
0	0
1	1
0	1
0	13
1	0
2	13
1	0
5	1
1	2
0	13
5	8
15	2
10	14
0	885
6	885
24	4
2	4
163	658
120	980
79	815
59	812
10	909
5	980
0	969
79	1065
106	1065
11	25
0	29
0	453
2	174
0	496
0	480
3	173
0	506
5	235
0	490
0	125
0	154
0	421
2	420
0	0
0	0
3	0
1	0
4	0
0	1253
0	1398
724	844
547	826
194	88
116	104
130	91
25	91
0	8557
0	8335
0	5109
18	9235
509	9458
29	5084
57	3677
0	3940
579	4
38	0
0	2212
2	240
6	530
0	2118
0	2
36	2246
19	945
0	2229
0	2135
0	2169
1	1155
0	6
0	5
0	6
0	5
0	5
0	5
86	0
59	0
57	0
0	0
26	620
24	584
15	620
0	232
184	0
0	10221
169	7442
0	9582
0	10138
0	9666
5	3422
0	3580
0	841
1	182
24	1717
2	3321
0	226
0	1778
0	1521
3	8
39	1009
0	1841
0	400
5	781
0	1846
2	670
0	1711
0	1783
0	1454
0	1774
245	0
25	0
0	569
0	391
93	694
31	694
92	1
1378	793
0	793
1826	2
16	598
0	0
47	0
50	1
3	0
18	0
252	0
103	0
1	0
3	0
50	9214
0	16823
219	11437
70	17650
0	17824
233	18001
683	19774
384	12530
276	17858
18	19463
1	10512
4	21395
0	8843
1	18567
1	3929
1185	18737
0	442
0	583
0	172
0	14
0	696
0	1145
0	1131
28	454
0	682
9	249
0	297
4	569
3	461
0	151
84	32
4897	1051
3	7
1	29
0	8
0	2
2	8
0	11
1	50
0	9
0	10
0	19
0	15
0	58
0	60
0	9
0	9
10	1
0	5
0	0
42	5
0	7
0	5
0	6
3	1
3	0
0	0
0	742
0	147
0	391
0	534
0	264
0	692
0	615
0	565
0	532
5	32
1	145
0	0
0	0
87	0
17	12
55	89
17	4055
7	1751
10	3694
4	132
0	653
5	668
4	2151
0	804
2	740
3	402
153	140
4	1583
0	61
25	239
0	0
0	0
0	0
60	0
0	0
1	0
2	9
14	238
0	509
0	2
15	26
1	594
0	847
0	537
0	2
33	378
0	19
0	872
0	876
0	830
0	858
1	12
0	594
1	94
0	863
0	854
0	834
0	623
0	1270
0	1633
0	1634
0	2133
0	1625
0	1761
0	1619
2	5
0	1483
0	1997
1	81
0	0
8	0
0	0
2	0
5	0
53	0
166	0
6	0
10	0
26	2155
0	2017
0	2203
38	3640
0	1883
4	1371
1	2070
16	3640
1	1369
1	352
10	178
0	746
0	377
0	143
444	343
0	693
1	360
0	324
0	304
0	302
0	304
0	302
0	45
0	165
0	195
0	286
6	229
2	35
3	20
0	172
0	256
0	13
10764	340
57	0
3	534
0	835
0	31
0	795
1	685
2	633
0	701
0	593
1	59
0	317
0	1
4	122
0	1
0	451
0	929
5	0
4	0
2	0
1	1
22	0
0	111
0	135
0	175
0	246
0	225
0	165
0	114
1	6
9	6
840	0
9	0
15	246
1	229
4	128
40	0
0	0
118	0
13	0
29	399
0	845
69	7292
1179	4617
160	1400
89	7029
110	1
289	2
0	865
0	673
0	904
0	832
0	871
4	853
0	706
212	405
13	400
2	9
29	292
0	342
0	359
5	93
15	390
5	127
4	89
5	139
13	139
29	219
0	178
13	244
3	243
1	21
20	1
0	3
1	7
0	1
0	5
0	1
18	10
27	10
406	1
30	0
3	0
0	0
0	0
3	0
7	12
0	68
0	22
31	604
1	336
1	77
134	378
0	71
8	55
256	668
0	0
4	2541
5	2045
82	2798
2	0
130	1296
0	3030
15	343
2641	488
0	3050
29	6678
0	2402
872	6089
83	0
0	0
98	0
22	0
0	0
962	0
6	8
454	85
1	8
0	1929
0	2898
0	1907
0	2920
0	2368
0	2429
0	2390
0	2451
7	154
84	242
0	29
2	153
17	0
72	0
7	146
1	142
1	176
0	12
1	172
0	845
5	447
0	478
3	219
0	911
0	568
0	0
0	0
1	0
0	0
2	0
3	159
7	39
1	56
2	171
289	227
2	159
1	41
205	673
3	649
1	2
1	1
85	0
0	1034
0	979
0	973
0	1040
0	5
0	5
1110	0
280	0
24	0
48	658
171	658
275	893
3	311
18	893
281	1
45	0
709	0
14	840
31	610
1	1139
2405	0
1543	0
0	39
0	103
0	62
0	49
0	81
0	20
0	16
0	14
15	2
0	298
0	189
0	136
0	161
2	286
0	0
91	0
153	1
4	214
0	214
3	0
0	447
0	473
0	56
4	527
5	0
366	0
6	0
1	0
1	0
0	0
0	0
0	0
0	174
55	174
54	78
6	78
0	38
0	8
23	8
76	37
0	519
0	506
0	553
11	101
2	606
0	1035
0	540
0	173
0	841
113	0
8	810
0	174
1	119
93	9
18	402
27	2
207	0
437	796
19	462
4	484
1	493
0	223
0	101
0	88
0	86
0	83
0	91
0	100
110	87
0	95
4	2
0	2
0	2
0	0
0	0
0	1
2	37
1	37
0	0
5	1
0	3267
0	3358
0	3438
0	3409
0	3329
0	3336
0	3296
0	3473
0	3365
0	3502
2	1091
54	1084
2	1092
0	107
9	121
48	200
0	108
3	108
6	158
1	223
382	373
8	225
1	192
2	312
1	335
0	10
0	313
1	54
0	54
0	0
4	34
0	54
0	54
0	7
28	374
0	290
0	320
11	0
52	0
9	0
6	363
1	148
22	363
2	178
0	19
20	0
97	0
3	0
0	0
7	77
5	488
2	115
21	435
4	374
0	0
1	68
903	0
147	115
0	0
0	1027
0	194
0	6
13	741
1	30
10	931
1	2
0	0
0	0
12	0
1	0
2	16311
0	257
1	437
1660	34166
45	21857
52	25297
118	17505
1	20549
173	1567
3	614
0	0
0	677
4	744
0	428
127	0
1	74
30	124
0	50
0	17
109	17
32	0
4	174
33	32
348	174
153	122
0	63
436	1
60	418
0	417
0	2
375	2
0	6
0	6
4	1663
1	13
0	18
19	569
0	17
0	1667
0	742
51	889
11	1867
3	1833
19	0
17	0
4	26
0	25
0	114
0	93
0	82
1	55
0	0
114	0
0	41
19	57
1	57
1	0
120	0
13	0
0	0
0	2565
1	2463
0	3118
0	2879
72	430
0	2723
6	40
3	268
0	3128
1	23
0	2869
25	2806
0	19
0	339
0	97
11	207
31	495
128	320
3	141
7	17
8	594
0	364
246	258
14	266
0	230
50	0
24	0
1	1
1	1
0	0
4	0
1	1
9	1
0	0
64	0
0	0
143	7824
7	1042
5	8480
89	2362
0	421
101	2776
18	1353
0	9
42	243
81	2762
1	8051
1128	6836
70	15
0	264
0	49
0	353
4	330
1	0
2	0
0	0
2	1363
182	1336
36	1363
5	1780
0	3502
0	1625
0	3502
0	1912
0	3385
0	3385
82	3502
0	3393
22	1611
0	1912
0	1824
0	3393
4	1885
2	208
2	974
0	2057
0	2050
2	747
0	1784
0	1748
0	1654
0	2115
0	1683
0	2037
0	648
0	1690
0	932
0	2151
0	2021
228	372
0	2073
0	921
20	913
0	1979
3	16
0	16
0	252
0	150
0	138
0	135
0	117
0	230
1	22
0	46
0	209
0	429
0	429
12	0
0	32
6	33
2	24
3	52
27	28
5	51
83	78
1	23
3	31
429	585
1	0
0	410
0	112
1	189
3	212
0	348
0	174
0	101
0	205
0	1
0	0
1	58
0	77
0	99
0	97
0	185
0	19
0	108
5	0
0	68
0	4
0	88
0	10
0	119
0	109
0	109
5	0
1	0
6	0
0	1730
3	1480
51	805
15	1836
2	1031
1	2074
36	949
0	771
22	3425
1	2075
21	3421
5	5
241	1
