UniqueCount	AmbigCount
7	0
1	0
0	0
0	0
11	0
12	5
0	5
2	0
3	0
4	1
0	1
2	0
0	4
0	4
1	0
0	0
1	0
0	0
14	0
1	0
3	0
8	0
1	0
3	0
3	0
0	0
0	1
0	1
0	2
0	2
0	1
0	1
0	0
6	0
0	0
46	0
0	3
1	3
3	0
5	0
6	0
6	0
3	0
14	0
0	0
7	0
8	0
2	1
4	1
2	0
0	2
0	2
2	0
1	0
3	0
0	25
0	25
0	2
6	0
19	0
0	0
0	0
0	0
1	0
1	0
4	0
12	2
0	2
1	0
24	13
12	10
3	0
6	0
2	0
4	0
11	0
2	0
25	0
0	0
4	0
2	0
2	0
2	0
3	0
14	0
5	0
3	0
7	0
3	1
0	1
2	0
10	0
7	7
5	0
0	0
12	0
1	0
2	0
2	5
2	5
1	3
0	3
0	3
1	0
0	0
30	0
2	0
5	0
0	0
0	0
0	0
0	0
2	0
0	3
3	3
0	3
0	3
2	0
3	0
0	0
6	0
1	9
0	6
0	6
3	2
0	2
0	0
5	0
3	0
1	0
38	0
0	0
0	2
0	0
0	0
1	0
17	0
9	0
0	0
2	0
0	0
0	0
18	0
0	1
0	4
3	0
5	1
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	0
0	0
4	0
2	0
0	0
0	0
3	0
10	0
7	1
0	0
4	0
0	0
3	0
0	0
3	0
1	0
2	0
3	0
3	0
3	0
9	0
0	0
1	0
0	0
6	4
0	4
1	0
2	4
1	0
5	0
0	0
0	2
0	2
0	2
7	0
1	0
0	0
10	0
14	0
16	0
4	0
1	0
14	0
4	0
1	0
0	0
0	0
4	0
18	0
0	2
2	2
0	4
1	0
6	0
0	0
8	0
2	0
2	0
0	0
4	0
0	0
0	0
1	0
0	0
0	0
1	0
2	0
5	0
0	0
3	0
1	4
3	4
0	0
6	0
0	0
0	0
0	0
4	0
2	0
0	0
1	0
0	1
1	0
0	0
12	0
3	0
0	0
3	0
0	0
2	0
8	0
3	0
9	0
0	0
2	0
15	0
0	0
9	0
0	8
0	8
23	0
1	0
7	0
2	0
0	0
2	0
0	0
0	0
8	0
0	0
4	0
9	0
0	0
1	0
0	0
5	0
2	0
2	0
2	0
1	0
5	0
3	0
3	0
0	0
0	0
3	0
1	0
9	0
5	0
0	0
1	0
0	0
0	0
3	0
5	0
6	0
1	1
4	0
5	0
3	0
2	0
0	0
0	0
5	0
3	0
2	0
1	0
5	0
0	0
0	0
1	0
1	1
3	0
3	0
2	0
4	0
1	0
3	0
7	0
6	0
1	0
4	0
3	0
5	0
1	0
3	0
0	0
8	0
4	0
1	0
0	3
1	3
4	0
1	0
0	0
0	0
4	0
4	0
0	0
4	0
2	0
1	0
3	0
1	0
0	0
0	0
1	0
2	0
1	0
8	0
1	0
3	0
0	0
1	0
3	0
1	4
0	4
2	0
0	0
3	0
3	0
1	0
5	0
0	0
38	0
1	0
0	0
3	0
1	0
0	3
0	3
2	0
4	0
0	2
3	0
0	0
2	0
0	0
1	0
1	0
2	0
3	0
2	0
0	0
5	0
0	0
6	0
0	0
1	1
0	0
0	0
0	0
1	0
1	0
4	0
7	0
0	0
0	0
8	0
4	0
0	0
1	0
4	0
0	0
2	0
0	0
2	0
0	0
0	0
3	0
1	0
1	0
0	0
6	0
0	0
2	0
0	0
0	0
3	0
0	0
0	0
1	0
5	0
0	0
2	0
0	0
1	0
2	0
2	0
3	0
4	0
0	0
1	0
2	0
2	0
2	0
1	0
3	0
3	0
0	0
7	0
8	0
4	0
0	0
2	0
0	0
0	0
2	0
3	0
5	0
3	0
1	0
5	0
3	0
5	0
0	0
4	0
0	0
0	0
1	0
3	0
1	0
0	0
3	0
2	0
8	0
0	0
7	0
11	0
2	0
14	0
0	49
2	49
0	0
3	0
7	0
5	0
31	0
79	9
2	8
0	8
0	0
0	0
1	26
11	26
8	0
22	0
8	0
2	0
2	0
1	0
0	0
12	0
0	18
6	18
8	0
4	0
2	0
13	0
18	0
41	0
3	0
4	0
0	0
19	0
0	0
22	0
7	0
3	0
6	0
6	29
3	33
0	11
2	26
1	2
1	4
0	0
3	0
0	0
12	0
0	0
0	0
2	0
6	0
3	0
0	0
3	0
3	1
0	0
0	0
0	0
1	0
0	0
0	11
2	11
0	1
8	0
54	0
13	0
0	2
1	2
3	0
39	0
5	0
1	0
1	0
0	0
3	0
11	0
7	0
14	0
1	0
0	0
3	25
60	25
1	0
0	0
0	0
3	0
1	0
1	0
2	0
0	0
2	45
0	45
45	0
14	0
6	0
3	0
1	0
1	0
0	0
0	0
19	0
3	0
1	0
2	0
2	0
7	0
3	0
0	1
0	0
0	0
0	0
7	1
0	0
7	3
1	0
135	1
1	79
0	79
0	0
2	0
1	6
0	6
11	0
5	0
2	0
6	0
4	0
2	0
8	0
4	0
0	0
18	0
0	0
2	8
0	8
7	0
3	0
4	0
0	0
0	0
3	0
1	0
2	0
3	0
4	0
4	0
5	0
0	0
3	0
0	0
0	0
1	0
0	0
0	0
0	1
1	0
2	0
5	1
11	0
12	0
0	0
0	0
2	0
3	0
2	0
1	0
0	0
0	4
4	4
2	0
0	0
1	0
0	0
25	0
1	0
0	0
1	0
1	0
2	0
0	0
12	0
13	0
2	0
0	0
1	0
0	0
0	0
0	0
10	0
2	0
5	0
2	0
1	0
0	0
5	0
1	0
0	0
0	11
4	11
0	0
2	0
11	0
2	0
3	0
0	0
12	0
2	0
3	0
0	0
0	0
1	0
1	0
3	0
1	0
8	0
2	1
0	0
0	0
3	0
9	0
8	0
2	0
1	0
5	0
4	0
1	0
0	0
1	0
0	0
3	0
7	0
1	0
2	0
0	0
0	0
2	0
0	0
0	0
8	0
0	0
3	0
2	0
2	0
1	0
0	0
1	0
0	0
0	1
5	0
3	0
9	0
1	0
2	0
8	0
1	0
0	0
2	0
3	0
0	0
1	1
0	0
5	0
4	0
3	0
8	0
0	0
7	0
5	0
2	0
0	0
10	0
1	0
1	0
0	0
1	0
0	0
1	0
1	0
1	0
5	0
4	0
1	1
0	0
8	0
0	0
5	0
0	1
3	0
0	2
1	0
1	0
0	0
0	0
2	0
0	0
1	0
2	1
0	0
0	0
0	0
2	0
2	0
2	0
4	0
0	0
14	0
0	0
0	0
0	0
1	0
7	0
1	0
3	0
2	0
1	0
9	0
0	0
0	0
2	0
1	0
4	0
1	0
0	0
1	0
0	0
3	0
1	0
1	0
1	0
0	0
8	0
2	0
1	0
6	0
6	2
1	0
1	0
8	0
0	5
2	5
3	1
12	0
254	208
13	208
0	0
2	0
2	0
0	0
4	0
9	0
1	0
1	0
5	3
5	0
0	0
0	0
2	13
0	0
1	13
0	14
0	12
0	13
0	13
0	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
2	0
2	0
4	0
6	0
4	0
2	0
3	0
12	0
1	0
1	4
0	4
19	0
1	0
0	0
7	0
2	0
3	0
1	0
0	0
1	0
1	0
1	12
3	12
5	0
13	0
0	2
0	2
31	1
1	0
4	0
16	0
26	0
2	6
0	6
7	0
1	0
3	0
1	0
4	0
6	0
17	0
4	0
4	0
10	0
18	0
0	4
0	4
0	0
0	0
0	0
6	0
8	0
4	0
0	0
2	0
0	0
0	0
11	0
3	0
0	0
3	0
1	0
2	0
4	1
6	3
8	1
0	1
14	0
1	0
2	1
6	0
3	0
1	0
0	1
2	1
0	0
21	6
0	6
10	0
9	0
0	0
0	0
3	8
0	8
3	9
0	9
2	0
2	0
0	0
0	0
0	3
0	3
0	3
0	3
4	0
14	0
5	0
16	0
0	0
0	0
4	0
0	0
14	0
2	0
0	0
9	1
3	0
1	0
1	0
0	0
5	0
9	0
1	0
5	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
8	27
2	27
2	0
8	0
16	0
1	0
0	0
15	0
6	0
2	0
3	0
3	0
0	0
1	0
0	0
2	0
2	0
2	0
2	0
0	0
6	8
2	8
0	0
0	0
9	0
1	0
0	1
1	0
2	0
0	2
0	2
0	2
0	2
3	0
1	0
0	0
0	0
2	0
0	0
7	0
10	0
6	0
0	0
0	0
0	0
2	0
5	0
4	0
2	0
9	0
2	0
1	0
1	0
9	0
4	0
8	0
7	0
0	2
0	2
0	0
6	0
1	0
0	0
1	0
6	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
1	0
0	0
0	2
0	2
1	0
0	0
0	0
1	0
3	0
0	0
1	0
1	0
1	0
0	0
3	0
0	0
2	0
0	0
1	0
3	0
1	0
3	1
5	0
3	0
0	0
7	0
2	0
1	0
1	0
0	0
7	0
3	0
3	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
1	0
0	0
2	0
4	0
1	0
0	0
2	0
0	0
1	0
2	0
0	0
11	0
4	0
2	0
1	0
0	0
18	0
0	0
0	0
5	0
4	0
0	0
15	0
4	0
4	0
13	0
2	0
0	0
1	0
0	0
1	0
0	0
2	0
0	0
0	0
6	0
0	0
0	1
1	1
0	1
0	1
4	0
8	0
1	0
13	0
0	0
4	0
3	0
11	0
1	0
0	0
0	0
6	1
1	0
8	0
0	0
1	0
2	0
0	0
1	0
0	0
1	0
1	0
2	0
5	0
1	0
5	0
1	0
2	0
7	0
1	0
15	4
3	0
6	0
1	0
0	2
0	1
1	2
2	0
2	2
9	0
11	0
3	0
0	0
1	0
1	0
1	0
1	0
3	10
5	10
1	0
0	0
0	0
4	1
5	0
0	0
0	0
10	0
2	0
22	0
1	0
0	0
3	8
1	0
5	0
0	0
3	0
2	0
5	0
4	0
0	0
3	0
4	0
0	0
0	0
9	0
2	0
2	0
0	0
1	0
4	0
3	0
10	0
0	0
8	0
0	0
0	4
3	4
12	0
7	0
11	0
0	0
5	0
3	0
0	0
0	0
9	0
7	0
3	0
0	0
3	0
1	0
0	5
0	5
4	0
0	0
4	1
1	0
1	0
6	0
5	0
0	0
3	0
1	0
5	0
0	0
0	0
0	0
0	0
1	0
0	1
1	0
2	0
0	0
4	0
10	0
0	0
1	0
9	0
1	0
0	0
0	0
2	0
0	0
5	0
0	0
2	0
1	0
14	0
0	0
5	0
4	0
4	0
2	0
7	0
5	0
17	0
0	0
1	0
0	0
10	0
0	0
1	0
5	0
0	0
0	0
9	0
0	0
0	0
7	3
0	0
3	0
2	0
1	0
0	0
0	0
8	0
14	0
1	0
1	0
0	2
0	2
0	0
1	0
1	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
1	0
2	0
9	0
0	0
1	0
1	1
0	0
2	0
9	0
0	0
0	0
1	0
1	0
3	0
0	0
1	2
2	0
8	0
3	6
0	6
17	0
12	0
1	0
2	0
1	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
1	0
2	0
0	1
8	1
30	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
1	1
0	1
0	0
6	0
1	0
2	0
3	0
2	2
4	0
1	0
0	0
1	0
0	1
0	1
1	0
0	0
0	0
8	0
0	0
0	0
1	0
1	0
0	0
1	0
5	0
0	0
