UniqueCount	AmbigCount
12500	61
55	26232
2324	26233
5	149
0	2146
15	1880
0	824
21	2689
1	990
40	51
64	3004
46	982
69	33
2	33
34	0
4	4
0	526
0	528
8	302
0	518
0	520
1255	2023
113	2023
1	0
9	644
3	837
317	3709
51	3706
27	6670
1025	5220
1	1750
61	6455
47	7254
20	2559
36	5220
6	0
342	134
1	134
8	0
37	1618
0	887
1237	886
76	1591
79	1262
37	1536
335	2862
37	1326
60	1219
35	3
0	129
0	131
508	0
3	353
0	4149
0	88
0	11557
26	3033
27	11927
3	8354
10	8226
0	7783
1	8356
2	2686
0	11233
0	4149
3	7182
32	7742
4	11603
1279	0
0	1
0	0
17	1
564	0
65	0
7	0
2	5176
0	6955
4815	500
60	12102
133	10454
68	26
1080	17607
330	0
2	0
547	0
8	15618
19	17607
49	3158
361	3580
37	422
160	0
960	0
3889	1558
20	1
5	0
1	0
1499	16103
0	270
618	15713
38	6971
1	21
1	5
7	1
0	0
58	5649
15	5621
1	5853
482	4383
0	4784
2258	6591
0	4698
51	80
115	6089
100	960
301	3
228	0
327	2
16	0
0	844
1	30
4	311
0	299
539	1707
21	1745
0	857
1	858
13	2126
0	2783
0	3205
0	4058
0	3782
0	3512
0	2975
0	3013
0	2915
0	3204
0	3145
0	3367
0	3434
0	2162
0	4136
0	3704
0	3137
0	3282
2057	0
3	0
4	42
20	586
1	545
35	0
1	0
1	0
0	0
0	0
19	1
63	141
0	770
0	859
0	642
0	582
0	553
0	671
32	666
22	47
3	1
0	48
3	0
185	134
4	134
174	105
34	112
2	85
0	10
4	5
37	16
11	0
81	0
13	0
5	0
26	790
352	3812
4	2282
28	1661
196	3808
454	2149
172	1937
154	182
91	797
407	0
27	1062
25	1062
66	392
113	1218
941	0
6	14
31	1834
0	2059
0	287
0	2125
0	217
10	1862
0	1892
0	283
0	2129
0	451
0	2958
0	2489
0	2934
0	154
0	2513
0	2925
7	1302
0	2453
0	2949
0	164
0	2477
28	10
12	0
12	9838
2482	8205
3743	7752
4546	19335
8	3019
7	6809
247	5966
6	3862
108	2115
2	86
0	62
1	10
0	80
7	60
0	11
7	17
33	122
1	64
1	88
291	301
13	432
0	710
3	53
0	43
0	485
12	0
0	0
0	14434
0	10744
35	2302
2	1697
0	14802
0	14055
0	14807
0	2
0	14677
0	14469
0	10983
0	14050
0	14682
0	14439
7	328
6	1232
0	1271
15	240
6	394
18	48
4	807
0	1128
0	1390
0	398
0	1035
0	363
1	417
1	1483
30	134
3	116
0	343
1	187
1	735
0	735
1	187
20	1656
338	1656
19	647
0	92
14	92
42	0
4	0
7	0
2	0
1	0
23	3652
1007	8508
441	4380
2199	12554
0	3405
102	3081
227	1188
0	8315
365	654
282	7355
159	4145
307	11202
582	315
413	38
40	886
1160	945
176	58
0	0
0	112
5	112
6	169
23	171
122	0
1001	0
11	117
215	356
10	249
1	264
9	157
0	226
2	202
0	81
0	105
0	395
7	72
17	170
0	429
0	419
0	302
0	312
0	278
39	1493
6	1487
27	1302
109	2471
0	1852
0	1781
52	2134
844	2823
0	610
62	1757
0	2196
2	897
0	2250
8	2131
0	1000
1	2079
15	0
574	0
83	1692
0	0
4	1783
6	1783
0	2512
13	1905
8	787
12	2329
2785	2292
7	2329
165	753
0	753
352	0
359	0
37	0
308	0
0	0
612	0
547	0
310	1537
0	7915
1	1674
14	1431
0	8804
0	14181
8	224
4	15070
7	994
29	766
6	1189
0	1126
518	0
0	1335
1	1220
1	1038
6	302
0	1042
0	1168
0	1350
0	1153
171	975
0	0
4	291
454	291
18	0
31	16
20	16
98	512
3	430
9	511
2	2
2	0
425	22
21	22
2	0
2	0
5	0
2	0
9	546
153	86396
65	82760
88	86433
186	82287
15	86426
21	765
722	82608
4	0
0	0
69	1
21	59
53	129
2	36
0	125
11	38
47	47
35	9
19	7
68	4
61	4103
4	3644
25	4004
229	4463
0	722
1	733
14	2380
2	2391
0	2242
15	2191
0	2987
91	3462
229	2775
1	2229
0	2934
0	7238
0	7199
0	8665
0	6144
0	8626
5	569
5	6108
0	186
1	186
2008	0
675	3
1	0
106	0
297	130
59	130
0	47
72	47
1	0
0	2
1	2
40	0
75	0
64	0
12	449
19	321
26	87
39	449
3	0
59	0
1	0
7	1448
63	2
13	2396
0	639
1	112
0	2411
3	2373
4	1
2	2456
0	2519
0	1
46	1594
2	693
4	1749
0	67
7	2663
523	4412
0	3081
382	101558
1535	108905
577	190309
16	9813
14	54190
102	198252
45	12793
1	9075
5678	26752
5	3867
576	12821
989	6583
10	92110
0	1774
0	1775
0	1243
24	476
0	1244
69	1298
41	1298
0	1570
38	1844
4	1474
1	1551
28	1844
2	1455
213	22
49	36
1	3222
12	3073
188	2568
88	0
0	613
0	546
0	511
0	648
15	0
4	0
3	20
0	1568
20	2361
8	1354
28	2155
4	0
0	454
0	466
0	460
0	455
0	467
0	472
3	0
5	0
14	761
2	793
28	3
2	169
50	785
4	10759
9	1956
11	37
35	11285
1	3825
38	10035
104	0
0	2611
0	2605
0	2639
2	241
7	2563
0	2633
5	241
11	1991
2	0
1958	0
19	794
2	794
7	750
4	366
11	0
13	375
6	375
10	0
23	0
36	0
0	5
70	5
0	5
0	5
0	43
0	60
0	58
479	1
1	0
362	1
2	0
667	3044
7	3102
18	2639
17	77
14	6
10	0
8	0
7	0
9	155
3	393
6	88
75	877
284	955
3	81
0	359
10	315
12	711
0	1812
1	1261
0	1029
0	1238
5	912
0	847
2	0
0	0
3567	0
0	2572
18	571
0	2527
23	1901
2	2485
20	1409
33	64
0	2167
0	2314
141	1350
8	198
283	27973
58	22275
678	35532
73	19641
22270	38738
14	15472
6974	38083
0	34784
2	18684
0	18541
260	34562
158	6
161	10
82	1
946	36765
1420	39240
0	37551
0	37791
333	37813
0	42134
11	21189
25	20716
0	18245
2	42366
507	9
2532	3333
0	3527
66	207
17	6049
0	8375
0	7841
0	8579
0	8045
3	10
15	384
1	614
0	405
1	713
6	694
7	595
0	293
5	15
2	17
0	611
7	317
59	1
168	0
8	0
7	0
3	343
5	199
6	90
6	33
1	0
13	342
0	1309
2	219
0	1587
0	5729
0	6007
49	40
4	145
30	216
35	2693
11	5007
831	5007
42	1734
3	164
1	72
178	70
0	219
28	189
42	223
0	2782
0	4121
0	70
32	4126
20	2779
649	1379
0	83
5	83
0	1597
0	1653
0	1609
0	1665
0	3424
13	3269
17	336
0	1208
0	3472
5	1633
0	3505
0	8
19	1890
0	3439
0	3553
0	3520
151	0
0	68
4	1894
0	150
0	1818
0	1694
0	1816
0	1900
8	122
4	1241
130	0
0	9131
0	6588
3316	200
0	5413
19	9113
73	12401
0	13372
0	7978
0	6826
7	917
6	159
