UniqueCount	AmbigCount
6676	34
4	7077
1285	7077
7	69
0	791
5	705
1	341
14	1025
1	394
64	17
19	1115
18	377
31	31
0	31
18	0
2	1
0	175
0	176
4	89
0	170
0	171
297	513
41	513
0	0
0	279
3	385
174	1574
4	1574
9	2094
438	2365
1	531
13	1953
4	2234
4	1101
15	2365
4	0
240	88
0	88
10	0
19	749
0	448
539	448
25	748
53	601
19	631
140	1257
8	626
42	508
25	2
0	44
0	46
210	0
2	239
0	2026
0	94
0	5740
18	1362
12	5915
1	4131
2	4046
0	3928
0	4165
1	1386
0	5584
0	2026
0	3539
56	3934
0	5759
793	0
4	3
0	0
9	3
189	0
22	0
3	0
1	1938
1	2450
1612	132
23	4125
53	3626
19	8
753	9644
105	0
0	1
185	0
3	8312
19	9644
20	827
87	945
9	118
58	0
298	0
2338	889
3	0
2	0
0	0
491	5495
4	98
230	5343
11	2318
0	4
0	2
5	0
1	0
18	1524
2	1441
2	1482
228	2165
0	2309
656	2201
0	2141
8	24
30	2023
39	363
81	0
178	0
68	0
6	0
0	383
2	12
0	120
0	143
197	523
5	519
0	361
0	392
6	648
0	857
0	1083
0	1259
0	1252
0	1185
0	1030
0	909
0	988
0	1017
0	1041
0	1031
0	1070
0	670
0	1374
0	1137
0	979
0	1132
750	0
1	0
0	13
5	192
1	179
32	0
0	0
2	0
0	0
1	0
7	1
18	78
0	484
0	584
0	469
0	388
0	370
0	488
8	421
6	8
1	0
1	9
0	0
81	61
1	61
64	42
0	43
1	35
1	1
1	0
42	2
5	0
62	0
1	0
2	0
11	479
160	1743
2	1010
10	763
101	1742
150	905
47	857
65	135
52	487
212	0
6	266
4	266
10	137
48	566
240	0
0	10
15	827
0	919
0	148
0	942
0	110
4	843
0	848
0	133
0	957
0	183
0	1467
0	1262
0	1468
0	52
0	1261
0	1453
7	632
0	1242
0	1452
0	67
0	1241
12	5
4	0
10	4305
992	3698
1597	3546
1796	8613
4	1110
3	2827
89	2447
2	1490
47	1025
0	22
0	15
0	8
0	19
7	28
0	5
1	3
11	36
3	16
1	24
43	47
4	154
0	184
0	12
0	10
0	177
2	0
2	0
0	6180
0	4491
11	857
0	596
0	6329
0	6029
0	6293
1	0
0	6275
0	6150
0	4584
0	6065
0	6239
0	6144
1	85
0	337
0	351
5	70
1	107
7	16
0	236
0	391
0	497
0	113
1	365
0	110
2	122
1	523
10	60
0	49
0	101
1	83
0	330
0	331
0	82
5	502
116	502
12	220
0	103
8	103
39	1
1	0
9	0
0	0
2	0
0	59
16	213
2	82
16	296
0	71
1	46
8	26
0	224
16	18
6	198
0	84
2	276
6	9
6	1
19	246
360	280
24	34
0	0
0	3
0	3
0	3
0	3
3	0
246	0
0	24
26	62
2	52
0	51
3	22
0	39
0	22
0	25
0	42
0	146
2	43
4	75
0	157
0	151
0	104
0	110
0	99
18	490
4	499
12	440
35	940
0	727
0	692
23	813
380	1032
0	242
21	641
0	810
0	331
0	828
3	793
0	374
0	776
5	0
88	0
16	338
0	1
2	350
5	350
0	832
7	632
8	273
6	770
1219	781
11	770
83	444
0	444
264	0
166	0
11	0
141	0
0	0
195	0
164	0
84	510
0	2383
0	500
7	495
0	2651
0	4046
7	112
0	4314
6	312
8	272
0	396
0	350
198	0
0	554
0	506
2	456
2	153
0	454
0	505
0	558
0	501
69	387
0	0
0	156
270	156
5	0
15	8
8	8
20	193
0	162
4	190
0	3
4	0
141	9
20	9
1	0
1	0
2	0
2	0
0	15
0	1220
2	1176
0	1221
3	1173
0	1222
0	17
3	1176
0	0
0	0
1	0
0	0
2	1
0	0
0	0
0	0
0	1
2	0
0	0
3	0
7	1078
1	986
4	1152
42	1244
0	428
0	438
19	1867
1	1268
0	1580
1	1023
0	1923
74	2224
215	1878
0	1568
0	1973
0	4082
0	3663
0	4975
0	2935
0	4556
0	316
0	2518
0	105
0	105
542	0
211	1
0	0
17	0
168	60
40	60
0	14
13	14
3	0
0	0
0	0
59	0
36	0
32	0
4	184
3	125
5	32
20	184
0	0
22	0
0	0
2	594
9	11
1	1029
0	315
0	54
0	1038
3	1042
0	2
0	1070
0	1089
0	1
11	640
1	345
0	477
0	42
4	688
132	1165
1	1132
105	29680
154	33516
152	56647
9	6299
5	15123
57	62220
26	7810
0	1842
3299	16151
0	488
87	1483
681	1740
6	27183
0	639
0	637
0	432
9	192
0	430
56	597
4	597
1	852
24	700
1	812
0	834
12	700
1	794
60	14
13	25
2	1249
3	1193
74	1017
43	1
0	162
0	163
0	140
0	185
2	0
4	1
0	8
0	706
9	1062
5	609
3	965
1	0
0	202
0	207
0	208
0	201
0	206
0	213
1	0
1	0
3	251
0	262
21	9
1	41
26	257
4	4482
5	810
5	32
10	4639
2	1604
21	4173
66	0
0	977
0	956
0	986
0	122
0	908
0	965
8	64
5	827
2	0
616	0
8	230
0	230
1	214
5	107
11	0
10	219
3	219
12	0
9	0
3	0
0	0
11	0
0	0
0	0
0	34
0	43
5	37
75	0
3	0
115	0
1	0
280	1471
5	1492
9	1319
13	40
1	7
1	0
0	0
3	0
2	67
1	151
2	68
30	311
78	372
0	85
0	367
10	310
7	697
0	1759
2	1211
0	1027
0	1200
2	920
0	804
0	0
5	0
1145	0
0	592
3	130
0	590
1	461
0	550
14	326
7	12
0	467
0	553
40	298
4	81
474	20116
0	8641
294	27219
26	8110
15930	31310
7	9601
2211	29414
1	27882
56	7902
2	10318
145	27595
73	2
73	8
61	0
506	13940
44	13131
0	12333
1	12202
5	14093
0	15481
16	8127
17	8187
0	6409
0	15342
4	3
1293	1671
0	1682
3	15
3	1123
0	1650
0	1551
0	1568
0	1469
1	4
6	138
0	219
0	157
0	261
7	261
3	213
0	100
0	6
0	4
0	216
4	106
25	0
81	0
0	0
1	0
3	267
2	163
2	69
11	25
1	0
6	267
0	253
2	80
0	326
0	1181
0	1254
7	19
7	40
8	75
9	731
5	1310
288	1310
16	480
2	105
0	63
141	58
0	174
20	127
35	185
0	894
0	1251
0	53
3	1258
2	893
248	450
0	69
0	69
0	554
0	564
0	557
0	567
0	1466
6	1398
6	161
0	502
0	1481
2	731
0	1516
1	4
8	830
0	1474
0	1531
0	1524
76	0
0	53
0	818
0	78
0	795
0	716
0	793
0	820
1	65
1	530
95	0
0	3000
0	2592
1163	136
0	1815
9	2999
30	3715
0	4426
0	3036
0	2244
2	530
3	127
27	384
70	2512
0	2973
0	4489
2	2139
3	4
1	5
70	5
1	1784
0	1559
0	154
0	1679
0	1781
0	1888
0	351
0	1407
1	1280
0	0
5	0
0	0
72	123
9	50
5	9
3	123
14	1
11	228
444	205
4	293
23	0
0	958
1	1
5	942
34	930
12	813
39	13
0	4
24	17
3	1
0	7
54	202
0	1113
20	1212
0	1389
0	61
0	224
1	224
461	1
49	2
29	0
48	0
0	571
14	571
6	538
9	27
7	31
686	0
663	0
3	0
1	0
78	973
6	474
81	953
32	467
0	999
0	354
160	354
4	24
424	0
0	2
844	6934
15	4373
2997	7224
218	6874
39	22
5	71
93	190
77	218
2	161
13	55
0	0
0	0
119	0
505	0
0	958
0	844
0	994
0	966
0	916
0	1008
7	391
0	886
0	952
9	50
2	0
490	0
2	0
0	23
3	0
68	0
3	0
5	558
1562	188
143	186
560	559
0	0
15	459
12	459
0	5
0	400
2	247
1	440
1	437
0	25
54	25
0	1
45	1
4	384
1	329
5	395
0	574
1	113
0	76
0	396
0	631
4	393
9	401
2	574
0	634
508	0
25	0
56	0
84	0
0	1288
0	1616
1	145
1	1615
0	1618
0	1784
61	1580
0	8
0	1782
13	1646
325	2375
0	148
71	1862
1	1980
4	1193
0	0
4	0
3	0
2252	63371
162	62868
15267	5076
0	4959
313	3982
609	3982
41	954
0	228
0	339
0	419
0	317
0	397
0	293
27	322
1	322
0	30
0	29
0	30
0	20
2159	0
20	20
1	37
3	37
297	0
5	20
3	0
6	0
0	0
0	0
4	0
5	285
1	592
0	462
0	4
60	1012
0	4
3	444
0	4
2	42
0	1770
0	1866
26	1330
65	2105
5	1859
0	1856
1	2002
23	1267
0	291
10	1855
2	2120
0	925
0	1067
0	949
2	1208
0	194
0	1321
0	1179
1	663
1	0
0	1742
4	1811
7	202
0	1900
0	2
0	2182
4	64
352	0
0	56
0	95
4	84
45	95
0	46
1	982
26	0
0	916
0	2082
0	1020
0	1047
5	362
131	364
20	1526
1	0
49	0
0	2
1	0
74	0
3	0
31	0
1	0
1	0
0	284
17	6
0	258
0	281
0	248
0	155
3	266
0	260
1	266
0	402
0	411
0	448
1	457
10	32
6327	2447
36	2447
47	0
4	216
0	909
0	909
0	831
7	49
306	315
0	99
4	0
4	0
15	0
0	142
0	810
11	490
4	1562
6	1905
0	1048
3	24
0	2209
2	1
1	0
212	460
0	448
0	436
1	125
3	9
2	436
0	17
108	1592
2	215
0	2
3	252
0	5924
24	5853
7	2183
3	0
0	648
0	661
0	658
0	502
0	637
3	308
12	102
1	268
0	645
0	515
107	0
0	109
0	91
2	109
3	7
83	669
2	669
169	0
1	0
2	0
0	152
4	152
387	0
22	8
0	8
0	10
71	10
591	0
0	969
39	0
0	877
0	850
1	316
69	337
0	996
1	752
1	388
0	720
0	723
0	330
0	632
0	607
32	472
11	208
2	0
2	0
1	2
5	0
0	0
374	3435
169	5491
0	14
15	5372
1	2
1	0
2	0
110	1
490	131
0	3541
0	91
0	3612
1	0
7	3011
42	3516
12	594
48	178
36	2590
34	3
89	2
4	136
2	47
42	182
13	0
0	0
2	0
14	0
2	501
2	234
1	482
0	574
0	0
0	130
0	284
1	268
0	298
0	99
3	62
0	300
5	283
0	153
0	154
0	391
4	200
2	177
7	376
14	0
0	1447
24	4219
0	1386
0	180
0	1333
308	961
13	129
71	4541
0	1433
0	4298
2	2370
0	1151
8	700
124	700
0	4103
0	1372
19	4541
0	2561
0	28
0	2552
0	2519
0	2632
0	2590
1	671
0	2510
7	610
0	2481
604	0
15	0
0	0
711	0
715	0
0	849
2	20
6	11
0	0
0	25
59	849
8	31
6	536
0	432
13	355
0	116
0	533
0	539
0	122
0	438
0	283
1	265
4	242
0	124
0	866
0	176
4	349
52	349
770	2
4	2
1	0
0	867
0	177
4	0
0	4213
10	4015
0	4014
72	3998
9	4019
1	1923
9	3784
4	4221
2	4024
6	0
4	0
0	1
2	183
0	1240
0	292
0	1324
0	1264
25	182
171	185
0	1255
0	1219
0	1369
0	1341
0	1283
1	183
0	1154
286	1380
3	1380
0	6
3	901
0	429
19	302
84	949
0	35
3	311
97	190
5	151
15	151
7	68
88	0
0	8
2	8
15	0
0	1453
0	1438
0	1438
0	1406
3	1588
0	1825
35	1825
0	1406
2	0
2	41
0	609
0	676
0	196
0	0
0	1638
0	220
0	1323
3	1445
0	532
18	0
15	201
0	65
0	352
0	0
2	0
2	0
1	0
0	0
0	0
3	0
1	14
9	14
0	0
5	0
0	0
1094	0
0	0
0	573
181	766
3	193
2	0
64	0
13	0
1	795
0	2844
1	3
0	3066
2	832
38	1890
0	2933
0	2976
0	425
1	7
1	3004
6	2125
0	178
5	372
1	92
0	158
3	1
0	367
0	164
0	174
0	65
0	1004
0	993
0	1139
0	1264
0	1129
0	858
552	93
188	0
8	184
3	22
47	184
0	794
1	135
0	262
0	323
59	80
15	752
0	201
2	0
15	770
5	731
3	657
1	0
3	0
5	0
125	281
0	87
16	217
593	440
0	440
764	0
0	872
7	410
1	383
10	683
0	854
0	14
0	431
0	788
0	806
4	828
4	0
9	94
10	117
53	23
6	366
0	491
0	283
1	164
343	0
62	0
468	84
0	84
15	2010
1338	2010
1	0
741	0
0	470
0	325
0	490
0	440
0	460
7	16
1	212
0	276
0	305
0	111
39	7862
1467	8265
7	13818
1	4349
0	22
0	6
2	2
0	36
0	6
0	28
0	20
0	0
18	18
3	18
0	7
0	623
0	1010
0	891
0	505
4	911
6	717
3	12
1	12
5	0
1	1
1	1
0	0
0	1
0	1
0	89
0	134
114	223
85	0
7	0
7	0
6	14
5	5
2	9
0	16
11	16
24	0
23	0
4773	7
286	0
10	0
8	5961
4	1603
27	5371
6418	0
114	4551
5	2
54	2
120	38
28	38
2	76
323	101
1	34
6	34
4	0
1	0
0	0
22	0
13	0
2	0
498	0
0	1124
0	10
3	3
0	1085
3	30
0	383
0	329
0	1266
6	630
0	1020
0	6
0	257
0	1245
1	1022
1	0
12	41
5	33
3	20
15	8
155	393
0	393
3	0
3288	0
2937	1
654	9
0	9
0	9
899	0
121	0
152	0
0	164
0	114
23	208
4	1
18	400
262	403
163	251
110	1696
378	1314
155	1593
4744	133
0	0
6	1
0	1
4	0
1	0
0	0
1	54
13	74
2	427
199	427
2	51
21	125
5	0
0	0
0	299
0	175
4	259
0	276
0	97
0	144
2	1
0	198
2	259
57	1667
0	539
0	547
4	662
35	1782
37	1652
3	63
1	58
41	244
8	249
2	185
28	113
28	35
38	250
20	215
51	0
2	108
1	228
0	203
2847	17
310	17
1	1
17	0
0	0
32	7801
0	9140
19	2418
125	9107
1	3103
0	8817
0	5846
4	0
6	1208
12	1253
0	401
18	706
3	308
230	0
30	292
0	279
0	292
1	40
38	1324
14	2040
12	2188
71	0
0	1662
5	1656
0	1821
0	1631
0	1472
13	3654
189	3664
651	3746
0	0
63	0
4	0
1	478
21	434
0	479
75	1
1	0
1	10
238	1170
79	19
3	293
0	1170
32	99
502	287
0	409
0	1736
0	1820
3	1242
0	340
2	114
28	858
91	858
0	363
0	118
0	297
2	0
269	140
0	300
0	115
11	139
0	144
1	207
0	572
0	559
0	568
0	633
0	636
0	343
0	388
0	439
0	99
1	7
390	131
1	124
255	0
3	0
0	123
1	54
0	91
0	127
0	97
0	93
2	0
0	121
5	3
194	446
2	369
0	346
25	446
19	367
1	1
111	1
0	0
0	0
0	146
0	129
0	141
0	158
0	145
1	0
0	92
1	250
11	250
1	199
0	0
1	316
1	160
3	33
0	0
3	0
0	5557
0	4263
53	5046
12	2916
1	8122
0	8462
8	7216
0	7796
0	7455
12	7039
1	3827
1	228
3	467
0	125
0	498
0	499
0	504
1	106
0	493
3	0
8	2034
7	2054
43	2239
14	1188
148	862
4	862
0	0
9	239
7	254
0	1
2	20
0	90
4	15
2	188
4	351
52	539
2	129
0	489
0	331
1	470
8	84
0	230
0	388
0	365
1	4
23	168
1	168
3	0
0	0
0	278
0	535
2	356
3	514
0	0
0	0
33	0
3	0
0	101
0	387
2343	2895
431	403
1	2895
20	101
1	0
2	961
2974	1124
2	163
0	1237
0	927
42	617
1	1195
11	181
0	1094
1	1224
1	125
16	321
110	1242
2	1095
13	55
41	454
1	616
17	0
3	0
49	0
47	0
67	432
407	432
10	1426
1	880
77	1426
1	822
74	0
12	76
0	76
0	795
0	172
3	155
0	795
41	11
0	1
63	0
0	5
2	6
0	1
7	0
98	0
1	0
9	0
0	0
48	975
0	244
1	0
1	731
148	0
137	5437
0	462
1	123
25	5437
3	463
3	290
90	764
0	216
230	216
603	0
293	248
6	239
0	9
0	149
0	436
2	994
6	994
282	2
0	622
64	580
46	317
5	579
0	66
0	138
5	100
2	100
3	250
1	250
38	291
0	320
0	315
0	32
0	1
0	1
0	673
0	614
0	656
0	621
0	639
0	648
134	0
0	16
2	13
1	12
0	0
0	6
0	1
0	12
0	14
0	11
0	7
0	11
0	13
0	16
145	0
0	0
68	0
277	0
0	747
0	2017
0	787
1	1433
3	1871
0	869
0	607
0	719
0	41
0	191
25	262
5	71
0	254
0	560
0	325
7	449
0	20
1	307
5	314
0	158
0	323
301	0
12	58
2	0
9	58
3	0
0	4778
8	4776
0	4327
0	3953
14	808
1	8
0	3502
3	1506
0	1957
1	545
95	140
107	445
140	84
0	240
5	385
17	415
508	0
85	0
145	610
16	0
2	0
345	0
0	0
0	0
0	226
2	25
0	212
7	76
11	41
0	178
0	156
11	86
5	196
0	230
12	3
11	0
31	0
1	6
0	6
0	0
0	469
26	200
1	5
0	125
1	410
14	186
20	186
1	0
22	0
1	0
10	221
0	47
10	221
63	0
65	0
24	0
0	5
0	1812
0	2375
0	2116
2	2210
1	2000
10	2108
0	1920
177	1907
1	0
8	0
333	3352
3	3717
460	3517
145	3545
0	3821
408	797
51	3445
0	217
516	5225
27	3101
2	216
0	205
12	4511
4	214
27	646
1	54
183	54
731	12
1	159
23	437
9	438
0	260
0	247
0	290
151	119
3	144
2	139
0	277
1	244
25	28
4	28
333	0
341	0
235	207
5	207
8	0
0	0
1	243
0	231
0	99
0	1000
0	425
1	0
0	428
1	0
4	262
0	788
0	990
4	0
0	190
1	66
0	152
0	95
36	121
491	1461
21	1461
4	1432
3	36
193	1432
5	0
3	3066
231	4782
6	167
0	5239
3	5
0	5
1	0
0	0
1	0
0	0
9	236
22	0
39	236
0	1621
0	1623
0	272
52	298
45	23
2	228
3	178
6	40
0	2
0	409
1	1600
0	379
3	443
3	173
0	2
0	24
15	0
0	0
0	0
35	34
0	34
0	4
2	4
0	1857
0	1917
6	1680
0	1834
0	1774
0	2039
4	1697
0	1979
1	1589
3	100
0	1223
0	1732
0	1025
0	1024
0	563
0	1029
2	480
2	465
0	510
1	94
0	892
13	504
0	893
0	1028
13	58
276	58
0	20
5	20
3	0
201	0
5	74
0	244
0	264
16	113
0	207
0	250
0	271
0	290
0	277
21	15
0	263
975	0
184	161
1	161
27	0
13	0
1	0
267	0
0	22
2	31
29	38
1	38
144	0
0	0
0	134
0	74
35	315
21	179
0	134
18	103
20	11
0	83
0	83
3	62
0	80
0	80
550	0
425	0
0	63
2	28
1	23
0	70
2	13
5	16
0	0
7	64
0	0
6	0
2	0
5	0
46	243
39	226
230	411
0	13
14	261
9	244
15	244
17	32
2	158
9	158
0	35
0	278
1	118
0	85
8	295
0	321
0	265
19	0
0	159
0	265
6	144
0	270
0	277
0	397
0	277
5	389
0	385
0	282
0	144
6	0
0	6
3	81
0	142
0	174
0	172
13	78
3	0
1	1192
151	2620
4	1930
10	2045
0	2493
0	1179
1	212
0	392
0	310
10	20
0	346
7	196
4	100
1	353
9	75
2	75
0	0
1	0
224	0
382	0
0	402
0	391
2	100
0	382
0	393
0	400
0	373
0	4
2	620
30	620
8	0
0	48
1	48
1	48
4	0
0	0
0	26
2	58
5	12
6	58
4	126
0	113
6	102
18	79
4	50
6	58
0	12
176	12
4	0
0	0
114	8265
320	8318
7	195
125	195
0	7
2	206
1	36
0	213
2	200
0	241
1	731
13	731
0	6
0	161
2	252
0	220
3	188
2	151
318	0
7	1
0	18
0	21
21	167
96	257
3	237
0	25
38	257
0	230
1	229
0	33
0	2282
26	529
2	2217
75	1
203	0
2	10
5	0
8	0
501	0
118	0
2	3
0	3
0	1320
0	1566
1	819
0	1365
5	1491
0	1429
0	1458
0	453
1	1675
3	1245
0	3047
1	2
75	888
0	734
0	4152
0	202
11	888
359	0
0	3021
2	3251
0	3142
0	3049
11	1327
0	1
0	4134
0	4030
0	3140
0	1218
0	4175
0	154
0	59
0	3120
0	209
0	4157
0	1350
0	3122
1	191
0	203
0	178
1	45
23	460
14	460
441	0
256	24
15	44
7	20
0	128
1560	161
0	131
6	0
0	0
1	0
3	0
0	343
0	988
20	93
3	1455
7	441
0	12
1	81
1	439
1	1500
0	38
0	1554
10	16
4	0
1	0
2	8
0	8
61	2633
1	2633
72	35
0	296
14	405
0	110
10	125
13	566
7	566
0	84
4	89
0	89
1	90
1	656
14	651
97	1
0	1
0	836
0	833
0	1023
0	1020
59	826
0	335
4	318
0	308
10	303
57	42
0	42
19	0
2	283
0	0
64	283
4	113
0	113
2	4685
80	4314
1	4648
0	4715
0	3944
0	4765
26	597
1	4296
4	186
0	248
0	650
2	0
7	846
10	58
0	52
0	592
0	324
0	0
29	58
0	438
367	438
0	168
4	0
0	0
6	0
0	258
1	39
0	242
0	224
12	28
0	80
2	22
2	159
0	197
2	277
3	64
0	145
0	16
3	59
6	92
1	48
0	205
2	184
122	0
1	12
0	184
0	177
2	46
0	27
0	182
8	44
12	153
0	179
81	2
8	1
1	0
15	1
8	78
0	344
0	368
0	356
2	2
0	78
1	2
0	54
0	380
433	50
0	1309
5	912
6	915
0	295
8	1127
0	1411
82	1127
0	1024
16	412
76	412
1	101
1	0
17	388
7	388
0	5
0	5
4	0
2	51
65	51
57	0
29	0
0	397
0	378
4	162
3	270
1	277
0	477
19	0
0	585
46	78
181	585
43	78
31	150
1	224
0	57
1	794
0	55
0	332
4	481
0	185
1	813
1	569
0	184
0	338
0	190
0	211
0	358
1	235
0	236
5	16
0	0
0	9
1	9
1	8
0	0
13	0
1	412
1	0
9	634
2	301
3	583
0	976
25	1520
2	0
4	301
0	742
5	2
0	644
1	860
0	886
0	530
0	600
4	943
1	181
2	3
1	185
0	944
0	574
0	930
0	0
1	0
0	0
0	1275
89	29
1	760
0	928
0	1185
4	29
0	1226
0	1172
0	513
0	1214
0	988
0	1246
0	959
88	0
2	12
4	273
0	271
1	170
2	172
20	116
0	43
0	0
8	9
7	58
25	13
24	35
10	36
0	6
222	0
7	13
0	823
39	425
4	5
0	184
0	196
2	139
2	14
6	167
6	872
4	893
0	8
0	921
0	947
399	3228
5	1419
2	1463
64	1
26	3228
9	2276
6	180
539	0
6	979
0	995
7	977
3	962
0	1135
12	1136
0	301
210	301
0	687
0	724
0	744
0	739
0	796
2	750
7	727
0	435
0	618
25	2
4	266
16	266
52	5
0	5
2	0
3	0
303	0
0	0
1266	1
2	1
1	0
82	402
1	1
0	427
9	406
3	422
6	47
22	13
7	645
0	445
13	255
0	291
0	0
0	1
4	99
4	2
2	163
8	204
165	206
2	0
2	0
4	819
0	13
3	309
5	634
0	1
0	9
7	635
0	5
5	653
0	1470
0	4
0	1474
1	1481
1	0
4	14
0	0
3	135
0	0
16	0
4	135
0	0
0	0
106	27
71	27
0	1069
0	225
2	4705
232	2688
0	75
4	5091
1	287
177	4684
49	5153
3	1185
8	0
47	434
731	260
9	434
2	102
4	120
2	45
0	35
3	236
63	244
8	0
237	31
0	31
0	16
0	4546
0	4779
0	4794
0	4315
1	1090
0	4050
18	4059
0	109
0	138
1	13
2	39
0	61
0	184
0	186
2	15
0	107
1	2
2	33
0	37
2	13
1	5
1	33
8	403
154	403
9	12
2	12
76	0
0	0
13	0
2	0
0	0
1	0
10	524
0	751
134	4
0	377
1	113
3	737
5	662
2	9
0	0
0	0
1	0
2	0
4	185
2	1
0	339
1	332
3	244
2	135
1	0
1	429
13	437
2	437
0	411
822	0
0	1245
85	598
0	594
0	1357
1275	0
0	116
0	1019
13	24
0	901
0	850
2	32
6	495
0	1070
22	70
3	29
30	51
15	43
12	0
7	1
0	1
1	2
12	24
0	8
7	11
1	9
0	3
0	6
1	9
0	18
0	3
2	3
0	3
1	3
0	0
4	4
194	4
0	0
5	227
12	353
0	179
2	112
0	58
0	255
2	106
0	231
0	372
0	164
0	114
6	724
1	304
5	698
0	742
0	1
1	101
10	0
21	23
187	203
0	203
5	1295
2	380
214	1915
0	1897
0	1918
1	1821
0	1823
0	7
4	7
5	521
32	521
0	150
2	36
1	145
78	0
72	0
391	0
221	42
3	8
31	62
7	62
4	59
10	50
0	9
152	266
0	266
1	414
1	80
2	357
0	424
18	90
3	217
13	164
0	239
3	285
0	72
0	144
0	106
4	68
0	88
0	742
0	18
1	253
0	20
17	526
2	15
0	566
0	682
260	0
1	8
22	481
3	709
1	169
0	506
0	0
57	0
0	138
0	2624
0	2626
0	1845
0	2838
516	1071
0	2057
0	2836
2	1438
2	6628
1695	6442
1	6106
62	2605
4	3310
18	3018
0	6911
5	5036
0	1033
0	3384
8	1545
34	0
0	1280
0	1213
0	343
0	1398
0	1088
85	353
0	1140
0	1331
18	11
20	164
8	1093
2	725
0	1228
0	1346
12	164
38	0
0	493
0	66
20	472
10	66
0	478
1	40
5	14
0	36
7	58
57	0
25	4
0	7
25	6
5	7
67	0
2	0
3	924
4	901
2	1053
0	192
7	589
0	119
0	962
0	20
0	7
1	0
4	0
2	0
0	82
8	82
0	5
3	8
2	3
3	0
0	0
90	10331
0	339
502	5370
5	442
0	563
1	700
1	8692
272	10331
0	476
1	4363
0	492
33	487
4	415
20	0
1	0
7	0
65	0
295	0
0	216
0	256
0	272
0	223
0	263
0	207
0	247
877	0
2829	0
18901	724
124	1
699	0
0	155
5	155
10	106
0	10
4	100
67	128
1	100
0	9
0	6
290	0
89	0
158	0
6	90
10	90
235	0
81	0
2	45
126	45
31	0
1	0
0	0
0	1
142	0
2	79
33	79
3	0
7	0
39	0
33	2
1	0
7	0
3	0
1	0
9	1304
28	1297
0	1332
28	126
0	941
0	983
6	375
0	916
0	1008
33	334
1	334
3	279
10	293
0	14
74	0
61	0
28	0
32	0
381	0
32	802
0	802
11	532
0	767
3	0
11	40
0	46
0	16
0	114
0	66
1	28
0	134
0	7
38	1
0	4
1	3
11	5
0	1
2	0
0	1
0	1
83	0
162	0
11	0
0	0
0	0
12	83
14	81
0	28
49	137
6	498
1	435
0	416
0	479
0	0
0	534
0	873
0	795
0	830
0	577
0	802
0	838
0	0
3	0
2	413
0	27
1	69
0	434
1	345
0	375
0	609
1	0
0	0
0	834
8	464
1	848
32	1046
0	1714
4	641
0	1774
0	768
0	1765
0	1705
290	1050
4	411
0	553
0	560
0	594
0	589
0	519
0	548
2	264
5	264
2	643
23	660
0	217
1	664
0	57
2	79
0	160
0	158
2	161
0	157
76	0
314	0
3	0
7	0
9	250
0	23
1	388
11	143
7	414
0	23
18	414
48	0
3	16
4	237
0	49
1	0
5	167
0	10
0	65
0	46
0	128
0	9
1	13
0	129
0	38
0	47
0	66
10	125
0	132
4	5
0	117
0	131
6	10
8	9
2	0
10	5
0	4
1	1118
15	327
6	949
8	1146
363	43
2	1273
29	208
0	345
5	832
0	345
6	380
17	490
1	95
0	918
3	549
2	0
0	0
161	0
0	0
0	266
0	517
0	271
15	216
0	450
0	338
26	1
0	19
4	19
5	0
11	50
0	63
3	73
0	695
0	258
0	252
0	665
0	202
0	690
3	482
0	228
1	225
5	184
0	494
0	654
1	237
0	689
5	198
0	1
5	0
0	40
7	200
1	91
0	1501
0	355
17	171
4	1485
0	1529
0	1486
0	107
7	1433
0	1489
1	1508
0	440
0	73
0	288
0	280
0	291
0	277
8	222
5	225
3	47
0	907
3	790
3	796
0	1111
0	1182
0	624
4	972
0	1735
7	1596
0	2165
0	2405
0	2354
3	1532
