UniqueCount	AmbigCount
0	0
6	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
4	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
2	0
2	0
3	0
2	0
3	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
3	0
2	0
1	0
3	0
6	0
2	0
1	0
7	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
1	0
2	0
0	0
2	0
1	0
0	0
1	0
1	0
1	0
2	0
5	0
0	0
0	0
1	0
0	0
7	0
3	0
1	0
1	0
3	0
0	1
0	2
2	2
1	0
2	0
3	0
2	0
1	0
3	0
4	0
3	0
0	0
4	2
1	2
2	0
2	0
6	0
1	0
3	0
3	0
1	0
3	0
0	0
3	0
4	0
3	0
2	0
0	0
1	0
2	0
1	1
12	0
1	0
3	0
1	0
1	0
2	0
0	0
2	0
0	0
0	0
1	0
2	0
2	0
1	0
2	0
1	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
4	0
3	0
2	0
1	0
0	0
1	0
0	0
0	0
5	0
1	0
1	0
0	0
2	0
0	0
2	0
2	0
3	0
0	0
3	0
1	0
3	0
1	0
4	0
0	0
0	0
5	0
0	0
1	0
0	0
2	0
2	0
0	0
3	0
0	0
5	0
1	0
0	0
0	0
2	0
1	0
0	0
2	0
0	0
0	0
1	0
2	0
3	0
1	0
0	0
2	0
4	0
2	0
2	0
1	0
0	0
0	0
3	0
1	0
1	0
1	0
1	0
0	0
2	0
4	10
0	0
0	0
0	0
3	0
3	0
4	0
1	0
1	0
0	1
0	1
0	1
0	0
1	0
1	0
0	0
1	0
1	0
1	0
1	0
0	0
0	0
2	0
0	0
1	0
1	0
0	0
1	0
0	0
1	0
0	0
1	0
1	0
1	0
1	0
4	0
1	0
1	0
2	0
1	0
1	0
2	0
1	0
22	0
2	0
0	0
2	0
1	0
0	0
2	0
2	0
0	0
5	0
0	0
1	0
0	0
1	0
1	0
2	0
0	0
1	0
4	0
0	0
0	4
0	3
0	3
0	4
2	0
2	0
0	0
0	0
0	0
1	0
1	0
1	0
1	0
2	0
1	0
2	0
0	1
0	1
0	0
0	0
1	0
0	0
2	0
1	0
0	0
0	0
2	0
1	0
1	0
0	0
1	0
1	0
1	0
0	0
0	0
1	0
3	0
1	0
5	0
2	0
0	0
1	0
2	0
1	0
0	0
0	0
2	0
3	0
2	0
2	0
1	0
1	0
1	0
0	0
2	0
3	0
5	0
1	0
2	0
9	0
1	0
7	0
3	0
3	0
0	0
1	0
1	0
0	0
19	0
0	0
0	0
1	0
17	0
3	0
1	0
0	0
7	0
8	0
0	0
2	0
6	0
6	0
5	0
1	0
0	0
0	0
2	0
2	0
3	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
4	0
1	0
1	0
1	0
1	0
1	0
0	0
2	0
7	0
2	0
4	0
0	0
3	0
2	0
0	0
0	0
0	0
6	0
1	0
4	0
2	0
2	0
2	0
7	0
4	0
1	0
4	0
2	0
1	0
3	0
5	0
1	0
4	0
4	0
0	0
0	0
1	0
0	0
2	0
0	0
3	0
0	0
0	0
1	0
3	0
3	0
7	0
1	0
0	0
2	0
1	0
3	0
2	0
0	0
4	0
2	3
0	0
3	0
2	0
1	0
0	0
1	0
2	0
12	0
1	0
6	0
3	0
5	0
8	0
5	0
0	0
1	0
0	0
2	0
1	0
3	0
2	0
0	0
2	0
2	0
3	0
3	0
1	0
3	0
4	0
1	0
15	0
2	0
1	0
5	0
0	0
2	0
1	0
2	0
1	0
0	0
5	1
5	0
3	0
0	0
0	0
2	0
0	0
4	0
4	0
2	0
2	0
4	0
0	2
0	2
1	0
1	0
3	0
0	0
3	0
0	0
7	0
1	0
2	0
0	0
0	0
6	0
3	0
0	0
0	0
1	0
1	0
14	0
0	0
0	0
5	0
0	0
2	0
3	0
7	0
3	0
3	0
1	0
1	0
4	0
1	0
1	0
1	0
1	0
2	0
0	0
1	0
3	0
1	0
0	1
0	1
0	1
2	0
0	0
2	1
1	0
2	0
1	0
3	0
1	0
2	0
2	0
1	0
3	0
1	0
1	0
0	0
1	0
2	0
6	0
2	0
1	0
0	0
1	0
0	0
2	0
3	0
0	0
1	0
0	0
5	0
0	0
1	0
0	0
1	0
2	0
0	0
1	0
0	0
2	0
0	0
3	0
0	0
3	0
2	0
0	0
0	0
2	0
1	0
2	0
0	0
2	0
1	0
2	0
0	0
1	0
0	0
0	0
1	0
3	0
4	0
3	0
1	0
0	0
3	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
4	0
1	0
4	0
3	0
2	0
1	0
0	0
3	0
0	0
3	0
0	0
4	0
2	0
3	0
1	0
0	0
0	0
4	0
1	3
6	0
5	2
6	0
0	0
1	0
3	0
0	0
5	0
2	0
2	0
1	0
1	0
1	0
3	0
2	0
2	0
2	0
1	0
1	0
1	0
2	0
0	0
0	0
1	0
0	0
5	0
1	0
0	0
2	0
3	0
1	0
2	0
1	0
0	0
0	0
0	0
1	0
0	0
4	0
1	0
0	0
0	0
3	0
2	0
2	0
0	0
0	0
1	0
1	0
2	0
1	0
2	0
5	0
3	0
3	0
1	0
0	0
4	0
0	0
1	0
2	0
0	0
3	0
1	0
3	0
2	0
0	0
13	0
6	0
3	3
1	0
0	0
4	0
4	0
0	0
3	0
2	0
0	0
11	0
3	0
5	2
7	2
3	0
1	0
4	0
1	0
2	0
0	0
2	0
6	0
0	0
8	0
1	0
1	0
1	3
0	0
3	0
8	0
1	0
0	0
0	0
3	0
2	0
0	0
0	0
2	0
1	0
2	0
1	0
0	0
2	0
2	0
3	0
4	0
2	0
0	0
0	0
1	0
3	0
1	0
0	0
5	0
0	0
0	0
1	0
3	0
1	0
3	1
2	0
0	0
0	0
3	0
0	0
2	0
2	0
5	0
4	0
0	0
4	0
2	0
0	0
2	0
6	0
1	1
0	0
1	0
3	0
4	0
1	0
0	0
0	0
2	0
2	0
2	0
0	0
2	0
0	0
1	0
0	0
1	1
4	0
3	0
1	0
0	0
1	0
2	0
1	0
2	0
2	0
5	0
0	0
4	0
0	0
1	0
1	0
0	0
0	0
1	1
0	1
1	0
2	0
3	0
2	0
1	0
2	0
0	0
3	0
0	0
1	0
1	0
1	0
1	0
3	0
2	0
2	0
0	0
1	0
3	0
2	2
0	2
1	0
0	8
0	7
0	6
0	6
0	8
1	8
1	0
1	0
1	0
0	0
5	0
3	0
1	0
2	0
4	0
3	0
0	0
2	0
1	0
2	0
1	0
1	0
2	0
8	0
0	0
4	0
27	0
5	0
6	0
0	0
0	0
0	0
0	0
30	3
0	0
1	0
3	0
0	1
1	1
3	1
2	0
0	0
2	0
2	0
3	0
4	0
4	0
5	0
1	0
3	0
0	0
0	0
1	0
1	0
1	0
2	0
7	0
1	0
3	0
2	0
0	0
3	0
5	0
12	0
21	0
1	0
0	0
1	0
0	0
4	0
2	0
0	0
1	0
2	0
3	0
6	0
1	0
4	0
0	0
1	0
7	0
2	0
0	0
1	0
7	0
0	0
1	0
0	0
13	0
0	0
1	2
3	0
6	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
2	0
2	0
0	0
1	0
2	0
2	0
4	0
2	0
1	0
3	0
5	0
0	0
3	0
1	0
0	0
0	0
1	0
0	0
0	0
3	0
1	0
1	0
4	0
1	0
1	0
0	0
1	1
0	0
1	0
2	0
6	0
0	0
4	0
2	0
2	0
0	0
1	0
1	0
1	0
1	0
1	1
2	0
1	0
0	0
2	0
1	0
2	0
0	0
0	0
2	0
3	0
3	0
0	0
2	0
2	0
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	0
2	0
4	0
2	0
0	0
4	0
1	0
2	0
0	0
0	0
1	0
5	0
1	1
0	0
0	0
1	0
0	0
1	0
4	0
1	0
3	0
2	0
1	0
1	0
1	0
0	0
2	0
0	4
4	0
1	0
4	0
0	0
1	0
2	0
2	0
1	0
3	0
4	0
2	1
1	0
0	0
3	0
0	0
0	0
3	0
1	0
1	0
0	0
0	1
4	3
2	0
1	0
1	0
3	0
0	0
1	0
5	0
2	0
3	0
2	0
0	0
1	0
4	1
1	0
1	0
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
2	0
0	0
3	0
0	0
2	0
2	0
3	0
2	0
0	0
2	0
1	0
2	0
1	0
1	0
8	0
0	0
1	0
1	0
2	0
1	0
5	0
5	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
2	0
0	4
4	0
6	0
5	0
3	0
1	0
2	0
1	0
1	0
2	0
2	0
6	0
1	0
4	0
1	0
1	0
0	0
0	0
