UniqueCount	AmbigCount
2035	25
274	25
209	138
1	138
0	0
94	14377
3	14507
0	13895
3	13520
0	16067
25	7025
0	6732
223	9018
0	15455
0	113
9	113
7	112
17	4
2	7923
0	7748
2	6
2	2806
0	7928
1	2090
6	25
0	7362
49	7442
0	7935
0	7155
0	6968
0	7549
0	7741
1	0
16	0
0	320
0	244
0	94
4	164
0	570
4	94
0	168
0	238
1	94
0	105
17	129
0	330
0	174
31	528
0	95
0	104
0	476
0	349
0	495
0	368
0	487
0	360
0	371
0	498
61	0
3	91
0	91
11	83
158	0
32	174
4	4
32	0
0	141
0	831
7	870
1	864
0	863
0	867
0	865
0	868
9	655
4	867
1	109
0	89
0	72
13	85
1	106
6	111
2	111
1	0
2	167
5	458
34	448
14	419
5	330
44	947
9	214
0	853
1	214
4	206
1	208
0	0
2	18
0	477
25	66
2	302
3	129
2	342
3	35
77	35
0	0
1	611
28	640
16	585
1	652
5	562
37	611
10	0
5	0
0	23
5	179
0	174
4	239
36	309
0	505
0	755
0	677
0	658
0	736
46	209
7	208
8	1
2	1
8	1
19	0
0	0
1	3798
0	3798
0	3890
3	3890
0	737
14	737
0	902
0	1948
0	722
6	2100
35	791
18	1149
12	66
39	2150
0	2009
0	316
5	314
0	302
0	220
0	206
0	203
0	2
5	198
0	50
0	92
0	54
0	51
0	83
0	90
0	50
2	164
1	116
4	175
1	51
2	0
0	18
0	20
1	0
0	7
63	0
3	9
0	10
0	2
0	10
1	2
7	124
0	65
0	162
7	159
8	3757
0	3757
0	3757
21	46
0	151
0	114
0	561
1	136
0	1
11	583
0	441
13	624
0	521
2	0
0	0
0	1124
7	389
368	438
1	227
0	1081
101	189
6	1050
37	749
0	512
7	18
0	976
1	0
0	1072
5	16
0	17
2	1032
0	1063
0	93
0	985
3	675
1	17
1	918
1	291
4	3
0	0
1	0
0	0
0	536
9	152
1	501
0	518
0	418
0	503
31	7
1	181
0	75
14	204
0	265
0	200
14	376
2	90
3	90
0	26
1	41
3	389
0	142
0	381
7	156
0	391
0	128
0	161
6	385
7	0
0	154
0	84
0	199
0	142
3	0
0	196
0	117
0	273
0	156
7	263
0	145
1	25
213	0
0	62
0	5
0	49
0	4
0	58
0	71
4	19
0	4
1	16
4	3
4	3
0	60
0	1529
12	255
21	365
0	1680
52	326
29	29
0	1688
18	140
0	18
0	616
0	1788
0	1676
0	289
2	433
0	1787
0	10
0	874
1	91
0	76
0	1800
0	59
3	170
3	0
0	0
20	84
0	78
0	0
4	44
0	0
0	85
0	19
0	98
0	90
3	1260
15	1106
17	1274
25	119
7	1098
27	0
7	142
0	400
5	56
0	48
0	667
0	397
10	173
0	49
0	664
553	0
321	0
10	0
0	100
20	100
10	368
0	472
0	465
0	472
0	412
0	465
0	161
99	124
2	161
1	70
0	70
4	0
2	0
0	181
2	304
4	119
35	130
0	251
27	0
2	232
0	206
13	128
0	259
30	64
4	29
4	33
9	54
4	7
3	104
0	129
2	121
0	134
1	3
3	0
0	323
13	130
0	314
14	240
0	343
4	26
0	456
1	485
0	294
2	240
0	153
0	627
0	157
0	604
0	652
0	132
0	180
0	675
9	314
0	627
0	579
4	0
0	29
0	29
127	1
16	206
2	929
0	2324
7	2345
1	3085
0	2763
1	2312
0	2543
0	4305
454	1161
0	764
1295	660
116	1171
4	1186
37	399
15	399
7	0
1	541
0	478
0	419
0	555
24	13
1	373
0	285
0	337
0	524
0	383
0	179
42	196
12	17
15	1
57	0
35	0
0	5
0	5
2	0
19	194
7	3
5	167
0	503
20	1712
80	511
13	1298
207	1049
0	1218
141	1365
10	945
0	3
0	522
0	1017
2	969
0	32
1	973
0	698
1	993
0	943
4	3
3	3
0	1555
10	2586
45	5301
77	3271
50	1890
4	5333
0	3815
0	5579
18	2293
7	12
0	1
27	1
1	0
4	0
6	0
3	0
0	1089
39	807
1	310
8	377
1	694
0	789
0	1121
30	807
1	1020
0	1152
9	781
8	351
121	121
58	207
64	192
7	144
83	30
11	38
2	60
3	61
25	98
0	22
1	31
11	5
0	119
0	114
0	118
0	104
0	117
0	105
0	113
3	4
0	111
0	3
0	88
0	4
0	113
2	23
49	41
0	18
0	0
0	4
3	4
0	4
3	2
0	2
27	0
4	0
0	303
0	261
0	304
0	238
0	306
0	260
0	260
0	301
4	22
0	306
0	263
0	258
25	16
0	8
0	368
12	153
0	351
0	362
0	373
0	92
3	33
14	357
0	125
0	218
0	396
0	409
3	112
1	257
1	386
0	29
0	0
3	0
4	4
0	4
50	1
0	105
0	101
0	233
0	156
0	224
1	242
9	20
8	20
34	268
183	5758
2	5791
7	218
0	5843
48	273
24	214
3	5710
41	341
4	5796
19	5967
229	5746
17	95
107	136
13148	9204
4	54059
17	7321
0	9324
0	64650
6962	62744
2	4346
191	45840
0	60008
3	58160
28	49257
79	14136
4	94
800	155
0	0
4	0
0	49
0	108
0	204
0	22
0	142
0	31
24	0
0	0
0	124
1	106
1	112
0	52
0	1
0	0
3	0
0	3
3	3
28	279
0	2307
0	22853
0	15952
0	2308
0	16626
1	3055
0	2281
0	9135
603	9555
0	2334
0	8461
0	22179
0	73
0	73
0	425
0	480
0	465
0	421
0	469
0	476
1	95
6	91
0	85
2	16
1	110
10	26
0	119
0	109
0	120
9	11
10	158
5	296
0	33
0	256
1	93
2	83
0	296
0	90
1	51
1	54
23	158
0	62
8	158
3	0
86	0
0	81
12	81
0	33
0	42
0	43
3	399
12	258
0	30
0	262
0	416
0	55
0	427
0	1
0	458
0	469
3	200
0	298
0	297
0	264
1	200
0	265
0	277
6	802
3	649
0	796
0	32
0	14
3	1245
5	795
83	81
3	0
0	2
1	599
371	600
1	424
2	88
0	0
0	0
2	0
0	650
0	583
0	541
0	496
0	778
0	666
0	737
1	131
0	640
0	634
0	794
5	88
128	88
5	213
0	236
6	234
0	236
9	218
0	234
0	235
3	38
