UniqueCount	AmbigCount
0	0
1	0
0	0
0	0
1	1
1	0
0	0
1	0
0	0
1	0
1	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	0
0	0
2	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	2
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
5	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
1	0
1	0
1	0
1	3
0	3
0	12
6	13
0	0
0	0
0	0
0	2
0	2
0	0
0	0
8	0
1	1
0	0
0	0
0	0
0	0
2	0
1	0
0	0
2	0
0	2
0	0
5	4
3	0
0	0
0	0
0	0
2	0
8	0
10	0
0	0
1	0
0	0
1	0
4	4
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
5	1
0	1
0	0
0	0
0	0
0	0
2	0
1	0
2	0
0	0
0	0
0	1
1	0
2	0
3	4
0	0
0	0
0	0
11	0
1	0
0	0
4	0
1	0
1	0
1	0
0	0
0	0
2	0
0	1
3	0
0	0
0	0
1	0
5	1
1	1
3	0
0	0
0	1
0	1
0	1
0	1
1	0
0	0
0	3
2	3
0	2
6	2
0	2
3	0
4	1
2	0
2	0
12	0
0	0
3	0
0	0
0	0
0	0
2	0
2	0
0	0
0	2
0	2
0	2
4	0
0	1
0	0
1	1
0	1
0	0
5	0
0	0
0	1
0	0
1	0
0	0
0	7
2	7
1	0
1	0
2	0
1	1
3	0
0	0
6	0
0	0
0	0
0	0
1	0
1	0
2	0
0	0
0	1
1	1
0	0
1	0
0	0
0	0
1	1
0	1
42	5
0	5
0	2
0	2
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
5	0
0	0
1	2
0	0
0	0
1	0
0	0
0	0
1	1
0	1
0	2
0	2
2	0
0	0
3	0
0	0
2	1
1	1
2	0
0	0
1	0
0	0
0	0
0	0
3	0
1	0
0	0
5	0
1	0
1	0
0	0
0	0
1	0
0	0
1	0
3	0
0	0
2	0
7	0
0	0
0	0
0	0
0	0
11	8
1	0
1	8
3	1
0	1
0	1
1	1
0	1
0	0
0	0
0	0
2	0
0	0
1	0
4	0
0	0
2	0
0	0
2	2
0	3
6	0
2	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
1	0
3	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	1
1	0
0	0
2	0
5	0
0	0
11	0
0	0
4	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
8	0
0	0
1	0
0	1
0	1
5	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
2	2
0	2
0	0
0	2
2	0
4	0
1	0
0	0
0	0
0	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
2	0
2	0
0	0
0	0
2	0
3	0
0	0
0	0
0	1
0	1
0	0
1	0
0	0
5	0
1	0
1	0
0	0
0	0
0	0
2	0
1	0
0	0
1	0
1	0
1	0
4	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
2	0
3	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	1
0	1
4	2
0	2
0	0
1	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
2	0
3	0
3	0
0	0
1	0
0	0
0	0
2	0
1	0
0	0
1	0
1	0
3	11
1	0
1	0
0	0
2	0
3	0
1	0
1	0
3	1
0	1
1	0
1	0
1	0
3	0
3	0
0	0
0	0
2	0
0	1
0	1
0	1
0	0
3	0
3	0
6	1
0	0
0	0
0	0
1	0
1	0
0	0
0	0
3	0
4	4
2	4
0	0
6	0
1	0
3	0
0	0
1	0
4	0
4	0
1	0
3	0
0	2
0	0
