UniqueCount	AmbigCount
0	0
1	2
0	2
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
2	0
0	0
1	0
5	0
2	0
0	0
0	0
7	0
0	0
0	0
1	0
0	0
1	0
1	0
1	0
1	0
0	0
4	0
0	0
2	0
1	0
1	0
2	0
1	0
2	0
3	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
3	0
1	0
0	0
0	0
0	0
0	1
1	1
1	0
2	0
1	0
0	0
0	0
0	0
1	0
1	0
2	0
0	0
0	0
0	0
1	0
1	0
4	0
0	0
1	0
3	0
0	0
0	0
2	0
2	1
1	0
1	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
20	0
0	0
3	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
3	0
1	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
5	1
1	0
5	0
3	0
1	0
0	0
2	0
0	0
3	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	1
2	1
2	0
1	0
0	1
2	1
1	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
1	0
1	0
0	0
1	0
0	0
0	0
1	0
1	0
0	0
2	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
1	0
0	0
1	0
2	0
0	0
1	0
0	0
0	0
1	0
0	0
4	0
0	0
0	0
2	0
0	0
4	0
1	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
21	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
1	0
2	0
0	0
1	1
2	0
2	0
1	0
1	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
1	0
1	0
0	0
0	0
1	0
1	0
1	0
2	0
0	0
0	0
0	0
1	0
1	0
1	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
1	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
3	0
0	0
0	0
0	65
0	87
0	1
1	73
0	68
4	140
1	96
0	107
1	73
0	0
0	53
0	58
9	15
0	127
0	103
0	0
2	67
1	0
0	66
0	59
0	0
0	0
0	0
4	0
0	0
24	0
0	0
0	0
0	175
1	138
0	46
0	47
0	173
1	1
8	0
3	0
1	4
0	4
0	103
7	57
6	136
0	102
1	102
0	34
1	2
0	1
1	5
1	139
1	34
0	105
10	0
0	44
0	69
0	77
3	18
4	11
0	40
0	91
0	72
4	7
0	29
4	14
0	89
0	96
0	30
0	105
1	1
3	71
1	0
0	0
0	1
0	0
0	1
0	0
5	4
2	180
0	180
35	180
1	12
0	15
0	5
0	14
0	14
0	14
0	0
12	0
1	0
0	0
0	0
0	1
1	1
6	0
1	0
0	0
1	0
0	0
0	0
0	0
1	2
0	1
2	1
1	2
0	2
1	0
0	0
0	0
0	1
0	1
0	1
0	0
2	0
0	0
0	0
0	3
1	0
0	3
2	0
5	2
0	17
0	18
0	15
0	14
0	5
1	0
4	0
0	1
1	40
1	40
1	28
0	2
0	0
0	2
3	2
17	0
0	5
0	4
1	3
0	3
0	3
3	5
1	0
0	0
0	255
0	51
0	25
0	21
0	166
0	11
0	182
15	74
0	172
0	11
0	188
0	261
0	0
0	0
0	0
0	1
0	1
0	1
6	20
2	20
0	0
0	0
0	0
0	0
0	0
1	0
0	3
253	2
17	3
49	9
6	9
5	0
29	19
3	0
1	2
14	21
0	1
1	1
2	0
0	0
0	140
2	38
0	6
9	140
3	20
0	8
2	7
0	0
1	0
0	38
0	141
12	131
0	7
0	71
0	1
4	8
1	1
11	131
0	52
33	71
0	1
0	0
1	0
3	0
7	27
1	27
0	1
0	1
21	59
2	58
0	0
8	0
3	39
0	0
1	29
2	38
1	0
2	0
3	2
1	17
6	17
3	3
0	26
145	0
1	354
15	353
1	132
0	32
19	32
5	3
124	0
7	0
93	0
0	181
12	17
9	181
4	2
1	2
6	10
2	2
0	9
1	9
0	0
26	201
8	87
45	201
0	111
0	190
2	0
1	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	96
0	78
0	80
0	88
1	0
0	86
0	88
1	22
0	86
0	19
0	11
0	94
0	0
0	0
0	0
415	0
1	0
0	0
1	0
0	0
0	1
1	1
1	1
6	1
2	0
17	11
1	11
0	0
1	15
4	0
0	1
0	6
0	0
0	10
0	0
0	3
0	4
0	5
0	0
0	0
0	0
0	0
0	0
1	0
3	1
0	1
0	0
0	1
3	1
2	3
0	2
1	0
0	0
2	0
0	0
0	0
0	7
3	14
2	7
45	0
2	4
8	4
3	9
0	8
12	8
0	0
88	0
111	28
0	28
100	0
0	6
2	9
15	7
0	198
0	124
40	198
0	9
35	44
22	39
90	72
0	1
0	3
0	75
13	131
8	131
23	24
0	24
6	5
6	5
3	0
3	0
0	0
0	4
2	4
0	6
0	127
7	31
0	0
3	12
12	133
1	25
0	28
0	26
0	27
398	1
0	1
0	1
0	1
0	2
0	4
2	4
2	0
0	0
0	3
2	3
0	2
0	0
0	2
0	0
0	0
0	0
0	1
1	1
0	0
1	2
0	1
2	2
1	1
0	1
0	2
0	20
0	17
0	9
0	15
0	0
0	6
0	5
0	5
1	3
0	0
79	1157
85	1154
0	1
0	0
0	0
0	1
1	0
15	0
5	0
0	0
1	0
1	0
0	0
29	0
49	0
0	0
0	3
55	0
10	42
0	42
135	2
1	0
6	0
0	0
0	1
14	1
11	210
0	14
4	77
0	215
0	216
0	123
0	11
0	239
2	0
0	26
0	196
0	192
0	118
0	235
0	0
0	0
6	173
23	11
2	3
0	74
28	133
1	130
1	156
0	3
3	0
209	0
0	1
48	1
0	147
2	5
0	102
0	86
0	106
0	143
1	7
0	126
1	60
53	48
0	63
1	61
0	63
0	0
3	0
0	0
0	0
1	0
372	0
139	0
0	0
0	0
0	6
1	6
0	1
5	34
7	35
0	35
4	0
0	23
44	23
0	0
1	0
2	50
1	47
0	31
1	0
4	6
10	36
0	3
1	3
0	2
0	0
0	0
0	0
0	0
0	0
1	1
2	87
2	88
2	1
7	88
0	1
0	0
0	1
9	0
0	0
0	0
0	0
0	0
0	1
2	1
0	0
1	0
27	0
0	2
14	8
0	8
0	6
0	0
0	0
0	0
3	0
0	78
106	78
7	5
0	5
0	10
2	30
0	3
1	37
3	8
0	1
406	1
421	62
0	62
5	213
0	23
7	216
5	209
0	0
7	102
0	21
0	0
0	0
0	0
0	0
0	63
0	18
0	134
0	5
9	18
0	27
0	92
0	170
0	0
0	56
0	23
0	0
0	2
7	18
0	20
1	21
0	0
0	2
0	2
0	0
1	0
42	16
0	30
1	34
0	0
0	0
20	421
0	1
220	421
0	0
9	58
7	351
5	0
0	0
0	0
0	0
0	0
93	296
20	278
0	0
5	273
0	20
0	20
11	25
0	25
16	0
1	182
0	43
18	4
1	6
1	210
0	231
0	174
0	0
1	0
2	37
0	24
0	20
3	13
28	0
24	0
6	5
0	5
7	0
3	0
0	0
0	0
1	0
1	0
0	2
0	2
0	2
0	2
0	0
6	15
2	15
0	13
0	4
0	1
0	0
0	1
0	1
0	0
0	8
2	4
0	10
0	0
0	1
0	6
0	6
0	1
0	0
0	0
0	0
16	0
4	9
4	9
0	0
0	14
18	5
14	15
0	5
2	0
11	0
4	0
2	84
0	84
0	0
4	10
2	10
77	0
0	0
0	0
0	219
0	0
5	219
0	4
0	0
1	2
1	0
6	0
2	0
0	0
0	2
0	21
0	18
0	18
4	0
0	21
4	0
2	0
2	0
1	0
0	3
0	3
0	40
23	40
36	0
0	0
1	0
3	0
1	0
3	0
15	18
15	18
1	0
0	0
1	7
4	0
0	0
2	8
0	4
0	0
1	0
1	0
0	0
1	0
0	0
4	0
7	0
9	0
52	1
0	0
0	4
24	536
0	4
0	117
37	545
19	70
0	122
1	20
4	0
0	0
1	0
0	77
30	81
0	74
16	8
3	4
0	75
0	0
1	122
0	76
1	129
0	73
0	0
4	0
1	71
12	71
1	12
22	91
0	91
0	15
12	107
0	42
2	107
0	20
1	0
0	26
0	27
0	7
0	16
0	0
0	9
0	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
10	0
5	0
4	2
0	2
0	2
0	2
1	2
9	0
5	50
2	866
0	1335
2	1035
0	2740
0	1054
0	2585
0	1487
1	0
0	1
0	2
1	1
0	2
0	0
7	0
24	51
0	0
0	51
0	44
0	0
2	0
2	97
9	97
2	0
3	1
1	0
10	31
0	31
2	112
0	112
1	113
0	0
0	2
0	3
36	95
7	3
0	0
0	7
1	4
0	7
1	2
2	1
2	6
0	148
0	389
6	169
0	196
0	1
0	296
0	26
2	291
0	0
0	1
0	1
0	1
40	0
4	10
0	14
2	23
1	14
0	1
0	0
0	211
0	182
0	4
0	265
0	257
17	180
0	88
0	0
0	0
3	0
2	0
6	1
10	0
0	294
4	19
0	267
0	187
1	5
0	180
0	260
5	7
0	287
0	298
5	59
0	175
0	291
0	264
0	0
0	0
1	0
3	0
0	0
0	0
0	0
16	4
9	5
2	5
0	1
0	4
0	5
0	4
0	11
0	2
0	1
17	5
1	9
0	3
0	0
1	0
0	12
3	6
0	0
6	0
0	2
0	1
0	0
0	2
0	2
2	1
0	2
0	10
0	1
0	8
0	7
4	14
0	3
1	31
3	31
0	1
89	1
2	0
0	431
0	430
0	465
0	396
0	0
3	3
0	46
512	49
