UniqueCount	AmbigCount
0	119
0	151
0	152
0	123
0	216
0	618
0	108
0	102
8	149
0	504
0	204
0	620
0	30
0	521
0	718
0	30
0	503
0	0
0	806
5	543
0	0
0	0
0	0
0	11
0	11
11	135
11	135
1	6
0	4
0	5
0	3
0	178
4	178
0	1
0	1
1297	2774
337	0
4	2774
1	0
1	5
0	5
2	0
380	6
0	7308
4821	2686
0	8446
3	8022
0	8446
18	1773
8	1660
75	669
8	614
1	1031
26	1848
4	1724
13925	5076
2	3694
11	0
0	0
0	240
0	192
10	323
0	272
0	7
3	3
0	323
10	233
0	273
1	215
0	175
5	232
0	34
15	1044
2	3
6	585
893	1626
0	463
0	0
0	0
0	0
0	0
0	1439
0	195
1587	2105
0	2573
4380	1714
7	0
1	42
34	9381
601	9423
52	2633
2	1432
0	2
0	1
7	2
7	3867
0	12955
31	11373
0	13223
2	2593
11	11895
3	69
88	1724
5	12721
0	13329
119	97
30	12523
4	7
1	7
3	0
2	0
0	0
0	0
0	0
490	439
1	500
35	405
585	611
336	3347
36	3347
118	1505
0	1546
6	1311
0	1394
54	1213
0	1164
0	126
0	838
0	802
0	116
2	244
0	802
0	213
0	80
0	838
0	60
0	67
3	67
0	6
0	9
0	6
2	15
1	39
0	33
298	34
4	0
0	3
12	3
32	334
0	207
0	127
0	219
0	78
26	176
0	184
0	45
0	45
0	40
0	0
0	6111
0	6938
144	687
0	6108
6	5798
0	6639
0	6283
124	3994
40	6982
0	6595
0	6922
0	146
0	143
0	217
1	43
0	151
0	208
0	313
0	214
0	94
16	211
0	138
5	0
52	558
0	2
52	504
9	369
5	0
7	0
0	9
1	9
0	4
0	4
0	1
2	2404
15857	58063
239	229
211	2182
7451	2453
708	54324
852	23546
1087	6714
91	44559
1	254
111	0
1621	126
227	228
202	18008
329	18008
0	0
754	23
9	21
0	5
1	2
4	5
0	5
0	5
8	85
17	447
0	445
0	433
28	205
40	205
22	535
7	598
0	440
0	909
0	3497
0	1043
0	3363
7	0
84	12
0	24
21	4
1	61
0	46
0	38
0	19
1	2
1	22
1	19
0	19
0	2
0	0
0	22
0	6
99	6
0	2
0	2
4	18
0	18
0	0
0	0
0	10700
0	133
0	10580
0	117
0	10716
1904	10556
5	10554
184	0
7	0
57	406
0	345
1	409
14	423
2	423
0	67
5	124
0	73
0	106
0	114
0	83
1	1621
2	1315
0	10
0	53
13	840
0	1804
0	1811
6	1633
0	1601
0	1666
0	122
0	1715
0	2
1	1461
4	1
0	232
0	233
5	210
345	0
0	2388
0	630
3	2244
0	434
0	559
16	854
0	1837
0	1981
0	124
15	990
0	2261
0	504
9	1754
0	2276
0	2375
0	2153
37	1870
0	2273
0	2054
0	1156
0	594
110	435
0	579
0	742
8	33
0	540
2	225
0	1141
0	1195
0	525
1	225
0	1210
39	509
20	583
0	126
0	26
65	26
41	3
0	15
0	91
4	19
3	45
0	86
0	87
0	92
23	46
0	573
0	1341
0	725
0	1107
0	537
0	1094
0	9
