"","GeneID","F_parvapinis_BW_1.quant","F_parvapinis_BW_2.quant","F_parvapinis_BW_3.quant","F_parvapinis_FW_1.quant","F_parvapinis_FW_2.quant","F_parvapinis_FW_3.quant","F_parvapinis_transfer_1.quant","F_parvapinis_transfer_2.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","baseMean_BW_v_FW","log2FC_BW_v_FW","lfcSE_BW_v_FW","stat_BW_v_FW","pvalue_BW_v_FW","padj_BW_v_FW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"132192","gi|831492667|ref|XP_012707692.1| PREDICTED: keratin, type I cytoskeletal 18-like isoform X1 [Fundulus heteroclitus]","1256.91630195903","1068.08462962255","1928.55813895843","43.6662992924837","34.5455333780928","60.1503643575918","368.951948934735","22.9422296771804",597.976930772512,2.08650286331937,0.937854907439822,2.22476083109183,0.0260972981558731,0.999906097828751,597.976930772512,-2.85578151037986,0.927351112990316,-3.07950405232293,0.00207345549652392,0.116152629607161,597.976930772512,4.94228437369923,0.840412815182109,5.88078178297208,4.08333210700491e-09,5.94309596409868e-06,"TRINITY_DN116193_c5_g1_i21","TRINITY_DN116193_c5_g1_","Transcript_64047","gi|831492667|ref|XP_012707692.1| PREDICTED: keratin, type I cytoskeletal 18-like isoform X1 [Fundulus heteroclitus]"
"74299","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i1","TRINITY_DN115564_c2_g1","Transcript_73174","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74300","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i9","TRINITY_DN115564_c2_g1","Transcript_73182","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74301","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i4","TRINITY_DN115564_c2_g1","Transcript_73177","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74302","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i3","TRINITY_DN115564_c2_g1","Transcript_73176","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74303","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i6","TRINITY_DN115564_c2_g1","Transcript_73179","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74304","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i8","TRINITY_DN115564_c2_g1","Transcript_73181","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"74305","ENSXMAP00000007248","2413.23310589501","2083.77540677485","2621.84321348911","6281.58623866623","5238.20535383968","5887.46070784576","3733.58868295838","4040.50849982095",4037.52515116125,-0.577885625985948,0.257341688032891,-2.24559662448506,0.0247298568972753,0.999906097828751,4037.52515116125,0.712029689998487,0.257687534768312,2.76315146807033,0.00572461940121066,0.205601552445901,4037.52515116125,-1.28991531598443,0.230776206616889,-5.58946407384978,2.27771482877852e-08,2.390657181574e-05,"TRINITY_DN115564_c2_g1_i7","TRINITY_DN115564_c2_g1","Transcript_73180","gi|831490786|ref|XP_012707028.1| PREDICTED: sodium/hydrogen exchanger 3 [Fundulus heteroclitus]"
"143040","gi|831570518|ref|XP_012734744.1| PREDICTED: protein AF1q [Fundulus heteroclitus]","18.1429543767427","18.4183657158679","17.9110968575373","348.179980736207","110.689756145227","191.989544969283","66.8879884239792","20.14584688889",99.0456917642168,-2.31880521515796,0.712813262060128,-3.25303321161042,0.00114180151138738,0.322352768360711,99.0456917642168,1.25821877978863,0.743273430602266,1.69280742185162,0.0904921295159926,0.540585779744431,99.0456917642168,-3.57702399494659,0.66881376369481,-5.34831097850856,8.87788289811009e-08,6.94079714114938e-05,"TRINITY_DN97884_c0_g2_i2","TRINITY_DN97884_c0_g2","Transcript_286910","gi|831570518|ref|XP_012734744.1| PREDICTED: protein AF1q [Fundulus heteroclitus]"
"143041","gi|831570518|ref|XP_012734744.1| PREDICTED: protein AF1q [Fundulus heteroclitus]","18.1429543767427","18.4183657158679","17.9110968575373","348.179980736207","110.689756145227","191.989544969283","66.8879884239792","20.14584688889",99.0456917642168,-2.31880521515796,0.712813262060128,-3.25303321161042,0.00114180151138738,0.322352768360711,99.0456917642168,1.25821877978863,0.743273430602266,1.69280742185162,0.0904921295159926,0.540585779744431,99.0456917642168,-3.57702399494659,0.66881376369481,-5.34831097850856,8.87788289811009e-08,6.94079714114938e-05,"TRINITY_DN97884_c0_g2_i1","TRINITY_DN97884_c0_g2","Transcript_286909","gi|831570518|ref|XP_012734744.1| PREDICTED: protein AF1q [Fundulus heteroclitus]"
