"","species","Complete_euk","Complete.and.singlecopy_euk","Complete.and.duplicated_euk","Fragmented_euk","Missing_euk","Total_euk","Complete_euk_perc","Complete_metazoa","Complete.and.singlecopy_metazoa","Complete.and.duplicated_metazoa","Fragmented_metazoa","Missing_metazoa","Total_metazoa","Complete_metazoa_perc","unique_kmers_new","unique_kmers_old","assembly_new","n_seqs_new","smallest_new","largest_new","n_bases_new","mean_len_new","n_under_200_new","n_over_1k_new","n_over_10k_new","n_with_orf_new","mean_orf_percent_new","n90_new","n70_new","n50_new","n30_new","n10_new","gc_new","CRBB_hits_new","n_contigs_with_CRBB_new","p_contigs_with_CRBB_new","rbh_per_reference_new","n_refs_with_CRBB_new","p_refs_with_CRBB_new","assembly_old","CRBB_hits_old","gc_old","largest_old","mean_len_old","mean_orf_percent_old","n10_old","n30_old","n50_old","n70_old","n90_old","n_bases_old","n_contigs_with_CRBB_old","n_over_10k_old","n_over_1k_old","n_refs_with_CRBB_old","n_seqs_old","n_under_200_old","n_with_orf_old","p_contigs_with_CRBB_old","p_refs_with_CRBB_old","rbh_per_reference_old","smallest_old","assembly_new_v_NCBI","n_seqs_new_v_NCBI","smallest_new_v_NCBI","largest_new_v_NCBI","n_bases_new_v_NCBI","mean_len_new_v_NCBI","n_under_200_new_v_NCBI","n_over_1k_new_v_NCBI","n_over_10k_new_v_NCBI","n_with_orf_new_v_NCBI","mean_orf_percent_new_v_NCBI","n90_new_v_NCBI","n70_new_v_NCBI","n50_new_v_NCBI","n30_new_v_NCBI","n10_new_v_NCBI","gc_new_v_NCBI","CRBB_hits_new_v_NCBI","n_contigs_with_CRBB_new_v_NCBI","p_contigs_with_CRBB_new_v_NCBI","rbh_per_reference_new_v_NCBI","n_refs_with_CRBB_new_v_NCBI","p_refs_with_CRBB_new_v_NCBI","assembly_NCBI","n_seqs_NCBI","smallest_NCBI","largest_NCBI","n_bases_NCBI","mean_len_NCBI","n_under_200_NCBI","n_over_1k_NCBI","n_over_10k_NCBI","n_with_orf_NCBI","mean_orf_percent_NCBI","n90_NCBI","n70_NCBI","n50_NCBI","n30_NCBI","n10_NCBI","gc_NCBI","CRBB_hits_NCBI","n_contigs_with_CRBB_NCBI","p_contigs_with_CRBB_NCBI","rbh_per_reference_NCBI","n_refs_with_CRBB_NCBI","p_refs_with_CRBB_NCBI"
"1","A_xenica",302,101,201,0,1,303,99.6699669966997,967,311,656,6,5,978,98.8752556237219,163706957,155886664,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/A_xenica.trinity_out.Trinity.fasta",301664,180,21149,381329529,1264.06219,39,101463,1093,79919,41.86545,431,1532,2814,4393,7266,0.46408,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/A_xenica.trinity_out.Trinity.fasta",0,0.46369,21484,959.13109,45.44903,5273,3108,1942,987,335,347956455,0,235,99994,0,362783,0,80788,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/A_xenica.trinity_out.Trinity.fasta",301664,180,21149,381329529,1264.06219,39,101463,1093,79919,41.86545,431,1532,2814,4393,7266,0.46408,118955,118955,0.39433,2.88936,26471,0.64297,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,37211,37211,0.90384,0.12335,23822,0.07897
"2","F_catanatus",301,90,211,2,0,303,99.3399339933993,966,314,652,7,5,978,98.7730061349693,198347597,207876356,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_catanatus.trinity_out.Trinity.fasta",325956,181,32158,392758373,1204.91345,50,102986,1204,78828,41.45704,399,1453,2757,4343,7399,0.46306,2,2,1e-05,0,2,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_catanatus.trinity_out.Trinity.fasta",2,0.46238,16496,929.74692,45.07548,4858,2917,1822,931,330,377352662,2,164,110326,2,405866,0,88872,0,1e-05,1e-05,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_catanatus.trinity_out.Trinity.fasta",325956,181,32158,392758373,1204.91345,50,102986,1204,78828,41.45704,399,1453,2757,4343,7399,0.46306,133504,133504,0.40958,3.24275,28805,0.69966,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,37973,37973,0.92235,0.1165,24441,0.07498
"3","F_chrysotus",299,81,218,3,1,303,98.6798679867987,966,312,654,6,6,978,98.7730061349693,192813036,195497111,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_chrysotus.trinity_out.Trinity.fasta",328866,180,27960,417877726,1270.6405,38,107578,1425,82126,39.82807,421,1589,2961,4650,7673,0.45807,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_chrysotus.trinity_out.Trinity.fasta",0,0.4573,18920,938.88902,43.69029,5102,3070,1903,954,328,372175608,0,161,106644,0,396400,0,83803,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_chrysotus.trinity_out.Trinity.fasta",328866,180,27960,417877726,1270.6405,38,107578,1425,82126,39.82807,421,1589,2961,4650,7673,0.45807,112067,112067,0.34077,2.72205,22050,0.53558,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,37272,37272,0.90532,0.11333,23743,0.0722
"4","F_diaphanus",301,107,194,2,0,303,99.3399339933993,966,385,581,5,7,978,98.7730061349693,157163913,152649111,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_diaphanus.trinity_out.Trinity.fasta",320734,181,22815,325735698,1015.56567,48,81921,709,65787,44.20562,338,1071,2369,3918,6749,0.45889,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_diaphanus.trinity_out.Trinity.fasta",0,0.45876,15435,808.25382,47.69805,4836,2794,1632,697,291,310545666,0,183,82367,0,384218,0,69301,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_diaphanus.trinity_out.Trinity.fasta",320734,181,22815,325735698,1015.56567,48,81921,709,65787,44.20562,338,1071,2369,3918,6749,0.45889,109703,109703,0.34204,2.66463,28108,0.68273,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,38043,38043,0.92405,0.11861,24386,0.07603
"5","F_grandis",298,70,228,5,0,303,98.3498349834984,968,255,713,7,3,978,98.9775051124744,301047217,330249634,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_grandis.trinity_out.Trinity.fasta",676974,170,64901,564126240,833.27679,102,136211,885,101233,44.08229,291,712,1809,3305,6066,0.45872,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_grandis.trinity_out.Trinity.fasta",0,0.45483,27264,614.7746,48.72163,3388,1821,946,447,256,497389535,0,34,121051,0,809060,0,99062,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_grandis.trinity_out.Trinity.fasta",676974,170,64901,564126240,833.27679,102,136211,885,101233,44.08229,291,712,1809,3305,6066,0.45872,118422,118422,0.17493,2.87641,18194,0.44192,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,38811,38811,0.9427,0.05733,25326,0.03741
"6","F_heteroclitusMDPL",300,72,228,3,0,303,99.009900990099,966,254,712,7,5,978,98.7730061349693,220122131,222237027,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPL.trinity_out.Trinity.fasta",489882,172,30723,487813606,995.74709,78,133395,711,93088,42.73127,345,1018,2068,3426,5987,0.45674,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_heteroclitusMDPL.trinity_out.Trinity.fasta",0,0.45147,19404,701.17806,46.46367,3599,2028,1186,564,275,415391207,0,81,115159,0,592419,0,83117,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPL.trinity_out.Trinity.fasta",489882,172,30723,487813606,995.74709,78,133395,711,93088,42.73127,345,1018,2068,3426,5987,0.45674,178172,178172,0.3637,4.32771,30354,0.73728,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,38844,38844,0.9435,0.07929,25546,0.05215
"7","F_heteroclitusMDPP",301,60,241,2,0,303,99.3399339933993,967,236,731,5,6,978,98.8752556237219,233149064,236621408,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPP.trinity_out.Trinity.fasta",552205,179,30054,488797077,885.15265,59,121064,722,87407,42.95918,318,762,1852,3311,5883,0.45068,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_heteroclitusMDPP.trinity_out.Trinity.fasta",0,0.44529,19937,646.90655,46.99285,3537,1932,1010,477,268,432448617,0,42,106419,0,668487,0,82970,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPP.trinity_out.Trinity.fasta",552205,179,30054,488797077,885.15265,59,121064,722,87407,42.95918,318,762,1852,3311,5883,0.45068,111184,111184,0.20135,2.70061,18761,0.4557,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,38979,38979,0.94678,0.07059,25460,0.04611
"8","F_notatus",301,84,217,2,0,303,99.3399339933993,969,317,652,5,4,978,99.079754601227,182354234,187227288,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notatus.trinity_out.Trinity.fasta",343128,179,28093,434881519,1267.37302,54,110707,1617,83586,39.58724,416,1578,3001,4726,7872,0.46011,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_notatus.trinity_out.Trinity.fasta",0,0.45893,24934,984.05275,42.90191,5419,3249,2017,1032,341,409660177,0,322,116957,0,416299,0,90773,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notatus.trinity_out.Trinity.fasta",343128,179,28093,434881519,1267.37302,54,110707,1617,83586,39.58724,416,1578,3001,4726,7872,0.46011,137037,137037,0.39938,3.32856,28682,0.69667,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,38145,38145,0.92652,0.11117,24508,0.07143
"9","F_notti",299,167,132,1,3,303,98.6798679867987,955,542,413,11,12,978,97.6482617586912,74597887,75952312,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notti.trinity_out.Trinity.fasta",131628,182,27001,159730981,1213.49136,8,43735,347,39296,47.95473,412,1458,2642,4106,6868,0.46897,3,3,2e-05,2e-05,3,2e-05,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_notti.trinity_out.Trinity.fasta",3,0.4683,16855,1002.38946,50.11518,5659,3379,2130,1066,344,160152766,3,119,44756,3,159771,0,41330,2e-05,2e-05,2e-05,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notti.trinity_out.Trinity.fasta",131628,182,27001,159730981,1213.49136,8,43735,347,39296,47.95473,412,1458,2642,4106,6868,0.46897,62883,62883,0.47773,1.5274,22717,0.55179,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,33486,33486,0.81336,0.2544,20299,0.15421
"10","F_olivaceous",302,108,194,1,0,303,99.6699669966997,961,345,616,9,8,978,98.2617586912066,146401065,165155159,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_olivaceous.trinity_out.Trinity.fasta",296801,176,33490,358020368,1206.23933,38,92174,1065,70836,41.5289,396,1468,2819,4433,7389,0.46045,0,0,0,0,0,0,"/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_olivaceous.trinity_out.Trinity.fasta",0,0.46132,18651,1031.75012,43.55405,6071,3653,2293,1148,343,361385955,0,429,98290,0,350265,0,77240,0,0,0,201,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_olivaceous.trinity_out.Trinity.fasta",296801,176,33490,358020368,1206.23933,38,92174,1065,70836,41.5289,396,1468,2819,4433,7389,0.46045,116192,116192,0.39148,2.82225,27711,0.67309,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,37483,37483,0.91044,0.12629,23879,0.08045
